"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/blueprints.xml.append:18","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/title","ERROR","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/title","","","",""
"src-en/data/blueprints.xml.append:21","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/desc","You should never see this.","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/desc","","","",""
"src-en/data/blueprints.xml.append:57","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""PLAYER_SHIP_TUTORIAL""]/class","Kestral","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""PLAYER_SHIP_TUTORIAL""]/class","","","",""
"src-en/data/blueprints.xml.append:94","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""DEFAULT""]/class","THIS IS A BUG. REPORT IT ALONG WITH THE EVENT AND SECTOR.","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""DEFAULT""]/class","","","",""
"src-en/data/blueprints.xml.append:119","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/desc","???","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/desc","","","",""
"src-en/data/blueprints.xml.append:121","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/title","Errorman","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/title","","","",""
"src-en/data/blueprints.xml.append:125","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[1]","Skills improve slightly faster","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[1]","","","",""
"src-en/data/blueprints.xml.append:126","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[2]","Resilience and determination makes them take less damage from the environment","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[2]","","","",""
"src-en/data/blueprints.xml.append:177","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/title","Burst Laser Mark I","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/title","","","",""
"src-en/data/blueprints.xml.append:180","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/desc","This simple burst laser isn't flashy but it gets the job done.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/desc","","","",""
