"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/blueprints.xml.append:18","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/title","","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/title","","","",""
"src-en/data/blueprints.xml.append:21","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/desc","","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/desc","","","",""
"src-en/data/blueprints.xml.append:57","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""PLAYER_SHIP_TUTORIAL""]/class","","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""PLAYER_SHIP_TUTORIAL""]/class","","","",""
"src-en/data/blueprints.xml.append:94","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""DEFAULT""]/class","","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""DEFAULT""]/class","","","",""
"src-en/data/blueprints.xml.append:119","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/desc","","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/desc","","","",""
"src-en/data/blueprints.xml.append:121","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/title","","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/title","","","",""
"src-en/data/blueprints.xml.append:125","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[1]","","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[1]","","","",""
"src-en/data/blueprints.xml.append:126","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[2]","","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[2]","","","",""
"src-en/data/blueprints.xml.append:177","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/title","","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/title","","","",""
"src-en/data/blueprints.xml.append:180","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/desc","","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/desc","","","",""
