"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/dlcBlueprints.xml.append:4","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/title","Emergency Respirators","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:5","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/desc","Crew take half damage from low oxygen.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:13","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/title","Explosive Replicator","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:14","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/desc","Missile based weapons have a 50 percent chance of not using a missile.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:22","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/title","Fire Suppression","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:23","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/desc","Automatically put out fires throughout the ship.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:31","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/title","Distraction Buoys","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:32","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/desc","Leaves a false signal at sector start to delay Rebels 1 jump.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:40","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/title","Reconstructive Teleport","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:41","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/desc","Crew gets fully healed by teleportation.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:49","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/title","Battery Charger","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:50","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/desc","Backup Battery's lock time is halved.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:58","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/title","Defense Scrambler","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:59","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/desc","Prevents enemy defense drones from targeting anything.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:67","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/title","Backup DNA Bank","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:68","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/desc","Your crew is safe in clone storage even if the system is off or broken.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:76","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/title","Hacking Stun","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:77","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/desc","All crew inside a room during a Hacking Pulse will be stunned for the duration.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:84","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/title","Lifeform Scanner","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:85","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/desc","Detects the location of any life forms, even when sensors don't function.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:93","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/title","Zoltan Shield Bypass","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:94","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/desc","Allows crew/bomb teleportation and mind control to work through Super Shields.","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:177","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/title","Ion Intruder Drone","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/title","","","",""
"src-en/data/dlcBlueprints.xml.append:179","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/desc","Manually controlled drone that breaches through the enemy hull and ionizes systems.

-Periodic Ability: inflicts 3 ion damage to a system and 6s stun to nearby enemies
-175 HP, 0.8x movement speed","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/desc","","","",""
