"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/dlcBlueprints.xml.append:4","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:5","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""O2_MASKS""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:13","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:14","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""EXPLOSIVE_REPLICATOR""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:22","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:23","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FIRE_EXTINGUISHERS""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:31","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:32","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""FLEET_DISTRACTION""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:40","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:41","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""TELEPORT_HEAL""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:49","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:50","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BATTERY_BOOSTER""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:58","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:59","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""DEFENSE_SCRAMBLER""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:67","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:68","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""BACKUP_DNA""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:76","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:77","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""HACKING_STUN""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:84","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:85","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""LIFE_SCANNER""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:93","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/title","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/title","","","",""
"src-en/data/dlcBlueprints.xml.append:94","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/desc","","data/dlcBlueprints.xml.append$/FTL/augBlueprint[@name=""ZOLTAN_BYPASS""]/desc","","","",""
"src-en/data/dlcBlueprints.xml.append:177","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/title","이온 확산 드론","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/title","","","",""
"src-en/data/dlcBlueprints.xml.append:179","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/desc","적 함선의 선체를 뚫고 들어가, 이온 피해를 입히는 조종 가능한 드론입니다.

-주기적 능력: 시스템에 3의 이온 피해를 입히고 주변의 적들을 6초간 기절시킴
-최대 체력 175, 이동속도 0.8배","data/dlcBlueprints.xml.append$/FTL/droneBlueprint/desc","","","",""
