"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_abandoned.xml:34","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/text","크리스탈 함선 한 기가 다 타버린 잔해와 잊혀진 기지들의 골조 사이를 누비고 있었습니다. 당신의 함선을 못 본듯 합니다.","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/text","","","",""
"src-en/data/events_abandoned.xml:37","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/text","그들과 통신한다.","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/text","","","",""
"src-en/data/events_abandoned.xml:39","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/text","""오, 안녕하시오! 그대의 함선을 풍경의 일부라 생각해서 못 봤던 모양이오. 정말로 아름다운 구역이지 않소? 여기 함선들 디자인도 참 흥미롭고 말이오. 누가 사는지는 몰라도 여기 거주민들의 취향 참 좋구만 그래!""","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/text","","","",""
"src-en/data/events_abandoned.xml:41","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[1]/text","이 구역이 오래전에 버려졌다고 설명한다.","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_abandoned.xml:43","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[1]/event/text","""맙소사... 나의 무지함을 까발리고 말았구만. 첨언하자면 나는 이 구역을 몇 개월째 돌아다니고 있었소! 보아하니 그대는 이곳저곳 좀 다녀본거 같은데, 그대와 동행하는 게 좋을 것 같군.""","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_abandoned.xml:48","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[2]/text","그들에게 우리 임무에 도움을 줄 수 있는 물자가 있는지 물어본다.","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_abandoned.xml:50","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[2]/event/text","""물론이오. 나는 이 흥미로운 구조물에서 유물을 수집하고 있었소. 원래 소유자들이 개의치 않아야 할텐데. 뭐, 소유권을 주장할 주인들은 없었지만 말이야. 자네에게 더 쓸모가 있을지도 모르겠군.""","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_abandoned.xml:55","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[3]/text","(크리스탈 선원) 그들의 데이터 저장소에 접근할 권한을 요구한다.","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[3]/text","","","",""
"src-en/data/events_abandoned.xml:57","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[3]/event/text","""우리 지도 말이오? 물론이고 말고! 그대에게 유용할거요. 그럼 즐거운 항해 되시오!""","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[3]/event/text","","","",""
"src-en/data/events_abandoned.xml:62","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[4]/text","(분석기 + 해킹) 그들의 데이터 저장소에 원격접근 한다.","data/events_abandoned.xml$/FTL/event[@name=""ABANDONED_CRYSTAL_TOURIST""]/choice[1]/event/choice[4]/text","","","",""
