"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_ancient.xml:364","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/text","The creature begins to speak in the same garbled way as the Auto-scout before but stops. It scans the area where your translator is located, and the device lights up. You look at your translator to find its database entries have been updated even further - expanding on the entries given to you by the Augmented.","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/text","","","",""
"src-en/data/events_ancient.xml:367","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/text","Continue...","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/text","","","",""
"src-en/data/events_ancient.xml:369","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/text","The alien speaks again. ""Language Calibration: Complete. Hello, strange creature. I have taken the liberty of updating your translator to understand our spoken language. You have done me a great service, though I know you probably had no idea what you were doing. The closest pronunciation of my name in your language is Aenwithe, but I suspect that might be a mouthful. I recommend you call me Wither, as my true dialect would make your head explode if attempted to be pronounced.""","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/text","","","",""
"src-en/data/events_ancient.xml:372","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/text","Uh, hello Wither.","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/text","","","",""
"src-en/data/events_ancient.xml:374","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/text","""I am sure you have plenty of questions, and I would be happy to answer any I can. Would you care for the long story, or the short story? I assure you, the long one is much more interesting than the short one, and I only recommend listening to the short one if you've heard this all before. Er, forgive me for my fourth wall breaking, I am not quite sure how else to say this.""","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/text","","","",""
"src-en/data/events_ancient.xml:376","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/text","Long Story.","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/text","","","",""
"src-en/data/events_ancient.xml:378","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/text","""Ok then, well where to start... As I have said, my name is Aenwithe. Though my species's given name would translate to something similar to 'Ancient', it's probably easier to refer to us as the Obelisks. Our race has been around for far longer than most, the only other competitors we had in our glory days were the Crystals, the Dynasty, and the Lanius.""","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/text","","","",""
"src-en/data/events_ancient.xml:380","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/choice/text","Continue...","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_ancient.xml:382","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/choice/event/text","""We have been divided culturally by centuries between the Commoners and the Royals, who are biologically much stronger than us and as such the natural leaders, a fact which most of us accept without complaint. We were not always these cubical mechanical things you see now, but the Royal's drive for perfection led to our need to perfect everything we had. Our organic bodies were left behind in favor of these, factoring out any weaknesses like disease or aging.""","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/choice/event/text","","","",""
"src-en/data/events_ancient.xml:384","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/choice/event/choice/text","Continue...","data/events_ancient.xml$/FTL/event[@name=""ANCIENT_LORE_DUMP""]/choice/event/choice/event/choice[1]/event/choice/event/choice/text","","","",""
