"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_anomaly.xml:4","data/events_anomaly.xml$/FTL/ship/destroyed/text","","data/events_anomaly.xml$/FTL/ship/destroyed/text","","","",""
"src-en/data/events_anomaly.xml:8","data/events_anomaly.xml$/FTL/ship/deadCrew/text","","data/events_anomaly.xml$/FTL/ship/deadCrew/text","","","",""
"src-en/data/events_anomaly.xml:21","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_WACKY""]/text",".","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_WACKY""]/text","","","",""
"src-en/data/events_anomaly.xml:26","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/text","An MV portal opens nearby, and a bright green Auto-ship exits. ""Well golly, I'm Callie the Calculator, and you must be [STUDENT NAME HERE]. I'm so excited to be your teacher here at [SCHOOL NAME HERE]!!! Let's begin! What's 7+3?""","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/text","","","",""
"src-en/data/events_anomaly.xml:30","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[1]/text","4","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[1]/text","","","",""
"src-en/data/events_anomaly.xml:34","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/text","10","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/text","","","",""
"src-en/data/events_anomaly.xml:36","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/text","""OMG That's correct! G-g-g-g-good job [STUDENT NAME HERE]! Next quest- OOPS! Seems there's an interuption! My MATH senses are tingling! What could this be?! Shall we find out [STUDENT NAME]?""","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/text","","","",""
"src-en/data/events_anomaly.xml:38","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/text","Continue...","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/text","","","",""
"src-en/data/events_anomaly.xml:40","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/event/text","Callie's voice suddenly switches from her usual high pitched one to a much more reserved, matter of fact tone. ""Signal intercepted. Origin: Unknown. Beginning transcript: if you are hearing this, we are in dire need of help. Quarantine has been breached but we cannot hold temporarily. Prime already- already suspects we've broken through. You need to find- [static] and tell them we're- signal lost. Resuming standard education protocols.""","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/event/text","","","",""
"src-en/data/events_anomaly.xml:42","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/event/choice/text","What the hell was that?","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/event/choice/text","","","",""
"src-en/data/events_anomaly.xml:44","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/event/choice/event/text","""Haha, wasn't that wacky [STUDENT NAME]? Haha! Unfortunately it seems we're all out of time for math today! Goodbye!""","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[2]/event/choice/event/choice/event/text","","","",""
"src-en/data/events_anomaly.xml:53","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[3]/text","13","data/events_anomaly.xml$/FTL/event[@name=""ANOMALY_CALLIE""]/choice[3]/text","","","",""
