"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_augmented.xml:3","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_QUESTION""]/text","The store owners look over the robot in curiosity. You wait for their response.","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_QUESTION""]/text","","","",""
"src-en/data/events_augmented.xml:6","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_QUESTION""]/choice/text","Continue...","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_QUESTION""]/choice/text","","","",""
"src-en/data/events_augmented.xml:8","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_QUESTION""]/choice/event/text","""While I certainly have never seen anything like this in particular, it reminds me of these strange ships I saw flying past. They were of Lanius build, but oddly colored. They stopped by here briefly, trading some strange cubical weapons for fuel. Here's their last known co-ordinates, in case you want to ask them about it.""","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_QUESTION""]/choice/event/text","","","",""
"src-en/data/events_augmented.xml:19","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/beaconType/unvisitedTooltip","These are the coordinates you found at the Harmony Link.","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_augmented.xml:20","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/beaconType/visitedTooltip","Explored location. Nothing left of interest.","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_augmented.xml:22","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/text","You've arrived at the coords marked on your map. You notice the remains of some much smaller but similar cubical ships as before. The main difference from last time however, other than location, is three massive Lanius vessels in colors you've never seen before.","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/text","","","",""
"src-en/data/events_augmented.xml:25","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/text","Contact the Lanius.","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/text","","","",""
"src-en/data/events_augmented.xml:27","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/text","You hail the ships, but receive no verbal response. Instead, a strangely colored Lanius pops out of their hull, and glides towards you. It attaches to your hull, and burrows its way through, but the damage shouldn't be too hard to patch up quickly.","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/text","","","",""
"src-en/data/events_augmented.xml:29","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/text","Continue...","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_augmented.xml:31","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/event/text","The Lanius unfolds, spitting out some metal. It speaks in a monotone but strangely well-translated voice. ""Apologies damage. Not wanting take airlocks, my bad. You call me, assuming question have?""","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/event/text","","","",""
"src-en/data/events_augmented.xml:33","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/event/choice/text","Show them the robot.","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/event/choice/text","","","",""
"src-en/data/events_augmented.xml:35","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/event/choice/event/text","The strange Lanius inspects the robot before speaking. ""No, not robot. Lifeform, like you. Metal, like me. Showing this to leader, best option. She wanting see this, rare find one alive! Allowing me to assist FTL drive?""","data/events_augmented.xml$/FTL/event[@name=""AUGMENTED_DISCOVERY""]/choice[1]/event/choice/event/choice/event/text","","","",""
