"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_boss.xml.append:11","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/text","The Federation base in this reality is just as impressive as the one back in Universe 0. Much of the city below has been evacuated, but the capitol building, the center of operations, is still operational. If the Flagship destroys it, the Federation will be powerless and this reality will be lost.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/text","","","",""
"src-en/data/events_boss.xml.append:16","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:18","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/text","Luckily you've arrived here before the Flagship. One of the few remaining Federation support ships patches up your hull and gives a few supplies.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/text","","","",""
"src-en/data/events_boss.xml.append:22","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[1]/text","Do something onboard the ship.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[1]/text","","","",""
"src-en/data/events_boss.xml.append:26","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[2]/text","Do nothing.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[2]/text","","","",""
"src-en/data/events_boss.xml.append:38","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START""]/choice/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:56","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/text","Name: Federation Capital
	Type: Friendly
	Unique: True
	Dominant Faction: The Federation
	Rebel Threat Level: !CRITICALLY HIGH!

	The Federation Capital is your final destination. Under siege by the Rebellion, to save this reality you must kill the Rebel Flagship before it destroys the Federation base.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/text","","","",""
"src-en/data/events_boss.xml.append:65","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[1]/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[1]/text","","","",""
"src-en/data/events_boss.xml.append:69","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[2]/text","Exit hyperspeed.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[2]/text","","","",""
"src-en/data/events_boss.xml.append:73","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[3]/text","Exit hyperspeed.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[3]/text","","","",""
"src-en/data/events_boss.xml.append:77","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[4]/text","Reroute.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[4]/text","","","",""
"src-en/data/events_boss.xml.append:95","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/text","It seems your impromptu departure from Node 17 has spelled disaster for the Federation. The Flagship has already reached the base and the Federation forces here are overwhelmed. There's no time to waste, you need to get to the base immediately!","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/text","","","",""
"src-en/data/events_boss.xml.append:97","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/choice/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:104","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/text","The second you exit light speed, it becomes clear something is wrong. It looks as though the entrance beacon is under attack by an MFK Ace!","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/text","","","",""
"src-en/data/events_boss.xml.append:113","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/choice/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:118","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/text","The MFK Ace has been taken care of, and you scrap the remains before carrying on. You contact the survivors of the Federation fleet, including Admiral Tully himself.","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/text","","","",""
"src-en/data/events_boss.xml.append:122","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/choice[1]/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/choice[1]/text","","","",""
"src-en/data/events_boss.xml.append:126","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/choice[2]/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/choice[2]/text","","","",""
"src-en/data/events_boss.xml.append:131","data/events_boss.xml.append$/FTL/event[@name=""DETERGENT_WIN""]/text","Before you can leave, you receive another hail from Tully. ""Wait - is that detergent you have? Oh thank Newton, the Rebel blockade has drained us of essential supplies, and we have a surplus of uniforms to clean. It's not much, but with this, maybe we can get our troops back into shape!""","data/events_boss.xml.append$/FTL/event[@name=""DETERGENT_WIN""]/text","","","",""
"src-en/data/events_boss.xml.append:134","data/events_boss.xml.append$/FTL/event[@name=""DETERGENT_WIN""]/choice/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""DETERGENT_WIN""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:136","data/events_boss.xml.append$/FTL/event[@name=""DETERGENT_WIN""]/choice/event/text","DETERGENT MODE COMPLETE!
			Congratulations Renegade on successfully completing DETERGENT MODE! It was a turbulent journey for certain, but you've pulled through triumphantly! The Federation shall have dirty laundry no more, thanks to you.","data/events_boss.xml.append$/FTL/event[@name=""DETERGENT_WIN""]/choice/event/text","","","",""
"src-en/data/events_boss.xml.append:143","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/text","You've finally arrived at Node 17, the Federation Capital. You've heard the stories of this conflict back in Universe 0, the reality where the Multiverse tech was discovered. Now, you're about to take a part in it. Your actions here will either save or doom this reality.","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/text","","","",""
"src-en/data/events_boss.xml.append:149","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/text","","","",""
"src-en/data/events_boss.xml.append:151","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/text","With a quick scan of your ID, you are allowed through the beacon without issue.","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/text","","","",""
"src-en/data/events_boss.xml.append:153","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[1]/text","Contact Federation command.","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_boss.xml.append:155","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[1]/event/text","On the vidscreen appears several Federation and Engi officers, as well as Admiral Tully in the center. ""So you're the Multiverse ship I've heard about? You've come a long way, and I can only hope it's all paid off. You're the Federation's last stand against the Flagship.""","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_boss.xml.append:157","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[1]/event/choice/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_boss.xml.append:163","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[2]/text","Contact Federation command.","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_boss.xml.append:165","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[2]/event/text","On the vidscreen appears several Federation and Engi officers, as well as Admiral Tully in the center. ""Oh dear god, the Rebellion's sent ANOTHER Flagship? We're screwed... wait, you aren't with the Rebels. Universe 0 sent the Rebel's super weapon to destroy the super weapon? I guess it's about freaking time we fight fire with fire.""","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_boss.xml.append:167","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[2]/event/choice/text","Continue...","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START""]/choice[1]/event/choice[2]/event/choice/text","","","",""
