"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_boss.xml.append:11","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/text","이 현실의 연방 본부도 제0 우주에 있는 것 만큼이나 인상적입니다. 함선 밑으로 보이는 도시 상당수는 이미 대피를 마친 상태지만, 연방 정부의 중심인 의사당은 여전히 불이 켜져 있었습니다. 기함이 의사당을 파괴한다면 연방은 힘을 잃을 것이고 이 현실에서 패배하게 될 것입니다.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/text","","","",""
"src-en/data/events_boss.xml.append:16","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/text","계속...","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:18","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/text","운 좋게도 기함보다 먼저 본부에 도착했습니다. 몇 안 남아있는 연방의 지원선 중 한 척이 선체를 수리해주고 보급품을 제공했습니다.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/text","","","",""
"src-en/data/events_boss.xml.append:22","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[1]/text","함선에서 무언가를 한다.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[1]/text","","","",""
"src-en/data/events_boss.xml.append:26","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[2]/text","아무것도 하지 않는다.","data/events_boss.xml.append$/FTL/event[@name=""FEDERATION_BASE""]/choice/event/choice[2]/text","","","",""
"src-en/data/events_boss.xml.append:38","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START""]/choice/text","계속...","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:56","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/text","명칭: 연방 수도
	유형: 우호적
	고유성: 있음
	통치 세력: 연방
	반군 위협 수준: !치명적으로 높음!

	연방 수도는 당신의 마지막 목적지입니다. 이 현실을 반군의 포위로부터 구하려면 연방 본부가 파괴되기 전에 반군 기함을 격침해야 합니다.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/text","","","",""
"src-en/data/events_boss.xml.append:65","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[1]/text","계속...","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[1]/text","","","",""
"src-en/data/events_boss.xml.append:69","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[2]/text","한계속도 항해를 마친다.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[2]/text","","","",""
"src-en/data/events_boss.xml.append:73","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[3]/text","한계속도 항해를 마친다.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[3]/text","","","",""
"src-en/data/events_boss.xml.append:77","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[4]/text","경로를 바꾼다.","data/events_boss.xml.append$/FTL/event[@name=""LASTSTAND_WARP_REAL""]/choice[4]/text","","","",""
"src-en/data/events_boss.xml.append:95","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/text","계획 없이 17번 노드를 이탈했던 게 연방에 재앙을 불러온 것 같습니다. 기함은 이미 본부에 도착했고 연방군은 압도당했습니다. 지체할 시간이 없습니다, 당장 본부로 가야 합니다!","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/text","","","",""
"src-en/data/events_boss.xml.append:97","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/choice/text","계속...","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EMERGENCY""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:104","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/text","광속을 벗어나는 순간 무언가 잘못됐음을 알아챘습니다. 입구 송신소가 MFK 에이스의 공격을 받고 있는 것 같습니다!","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/text","","","",""
"src-en/data/events_boss.xml.append:113","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/choice/text","계속...","data/events_boss.xml.append$/FTL/event[@name=""TRUE_LAST_STAND_START_EXTREME""]/choice/text","","","",""
"src-en/data/events_boss.xml.append:118","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/text","당신은 MFK 에이스를 물리치고 잔해를 수거한 다음 툴리 제독을 포함한 연방 함대의 생존자들과 접촉했습니다.","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/text","","","",""
"src-en/data/events_boss.xml.append:122","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/choice[1]/text","","data/events_boss.xml.append$/FTL/event[@name=""LAST_STAND_START_EXTREME_FINISH""]/choice[1]/text","","","",""
