"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_civilian.xml:19","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/text","You've arrived at the Long-Range Beacon. When the FTL Drive is charged you can jump to the next Sector.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/text","","","",""
"src-en/data/events_civilian.xml:21","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/choice[1]/text","Explore.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/choice[1]/text","","","",""
"src-en/data/events_civilian.xml:25","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/choice[2]/text","Check the storage.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/choice[2]/text","","","",""
"src-en/data/events_civilian.xml:29","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/choice[3]/text","Do nothing.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN""]/choice[3]/text","","","",""
"src-en/data/events_civilian.xml:34","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/text","You've arrived at the Long-Range Beacon. When the FTL Drive is charged you can jump to the next Sector.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/text","","","",""
"src-en/data/events_civilian.xml:36","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/choice[1]/text","Explore.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/choice[1]/text","","","",""
"src-en/data/events_civilian.xml:40","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/choice[2]/text","Check the storage.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/choice[2]/text","","","",""
"src-en/data/events_civilian.xml:44","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/choice[3]/text","Do nothing.","data/events_civilian.xml$/FTL/event[@name=""FINISH_BEACON_CIVILIAN_COREWORLDS""]/choice[3]/text","","","",""
"src-en/data/events_civilian.xml:92","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/text","As is customary in Union space, several corporate advertisements from the planet nearby play over your radio. You listen to them idly as you browse the nearby shipyards, gazing at various antique vessels. One in particular catches your eye, a Kestrel in seemingly full working order! You don't get to look at it very long though, when one of the advertisements catches your ear. It seems one from ""Dewey Alms"", CEO of Archive Incorporated, has an outgoing request for any capable mercenary vessel.","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/text","","","",""
"src-en/data/events_civilian.xml:95","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[1]/text","Inquire about the offer.","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[1]/text","","","",""
"src-en/data/events_civilian.xml:99","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/text","Ignore the offer.","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/text","","","",""
"src-en/data/events_civilian.xml:101","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/event/text","Your mission here is for the Federation, you can't be getting sidetracked with other mercenary work.","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/event/text","","","",""
"src-en/data/events_civilian.xml:103","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/event/choice[1]/text","Check the storage.","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_civilian.xml:107","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/event/choice[2]/text","Do nothing.","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_civilian.xml:114","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/text","It seems these shipyards are in fact owned by Archive, so it's not difficult to get in touch with a correspondant who patches you in to Dewey directly. ""Renegades? I have experience with your types. Before we begin, I would like to make it clear that, while I might be the CEO of Archive Inc., in this request I am not speaking on behalf of the company in any way. It would be... bad PR to get involved with more inter-dimensional renegades after the disaster of the 'Rusting Hulks' incident. I'm sure you understand.""","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/text","","","",""
"src-en/data/events_civilian.xml:116","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/text","We do.","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/text","","","",""
"src-en/data/events_civilian.xml:118","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/event/text","""Good, good. Heh, don't worry. We aren't skirting the Union's laws or anything with this. I just don't want any backlash from a personal affair. As you may or may not already know, Archive specializes in the... well, archival of Antiquum Terrae (or as you might know it, Old Earth) technology and culture. This matter concerns one of my most prized antiques, a 23rd century 'Kasparov', the first FTL-capable ship produced by humankind. Originally made to transport passengers to and from Tau Ceti. A remarkable achievement... but she has been stolen by pirates! I can't gather why... sure, she marks a new age in exploration and discovery, but why would a pirate want such an outdated piece of technology?""","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/event/text","","","",""
"src-en/data/events_civilian.xml:120","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/event/choice/text","To sell it?","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_civilian.xml:122","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/event/choice/event/text","""But to who? Plenty of Kasparov's were made. This particular model would be of no interest to anyone but an avid historian or ship enthusiast like me. Never the matter. My request; hunt down those thieves and secure the Kasparov. I haven't in mind any particular reward, but I'm sure we can work something out. Name your price.""","data/events_civilian.xml$/FTL/event[@name=""KESTREL_UNLOCK_OFFER""]/choice[1]/event/choice/event/text","","","",""
