"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_coalition.xml:30","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/text","You're shocked to see a Federation Auto-Ship here. ""This ship has been deployed by the Federation to provide relief to soldiers on the Coalition front. It's dangerous to go alone, take this.""","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/text","","","",""
"src-en/data/events_coalition.xml:33","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/text","Accept the supplies.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/text","","","",""
"src-en/data/events_coalition.xml:35","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/event/text","""Best of luck Captain."" The Auto-Ship jumps away.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/event/text","","","",""
"src-en/data/events_coalition.xml:40","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/text","(Analyzer) Disable the Auto and download its data stores.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/text","","","",""
"src-en/data/events_coalition.xml:42","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/event/text","You power down the Auto-ship then download all of the data onboard. Seems it has already mapped most of this sector, which is very helpful for you!","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/event/text","","","",""
"src-en/data/events_coalition.xml:48","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/text","Attack the ship, there must be more supplies on-board.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/text","","","",""
"src-en/data/events_coalition.xml:50","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/text","""Treachery detected. Activating combat procedures.""","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/text","","","",""
"src-en/data/events_coalition.xml:53","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/choice/text","Continue...","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/choice/text","","","",""
"src-en/data/events_coalition.xml:60","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/text","As you scrap the ship, you notice the cargo bay managed to survive the wreckage.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/text","","","",""
"src-en/data/events_coalition.xml:63","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[1]/text","Open the cargo.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[1]/text","","","",""
"src-en/data/events_coalition.xml:67","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[2]/text","(Elite Crew) Have your elite carefully open the door.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[2]/text","","","",""
"src-en/data/events_coalition.xml:69","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[2]/event/text","Your crew approaches the storage bay, taking note of a subtle explosive trap to deter pirates. Your crew disables the trap and enters.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[2]/event/text","","","",""
"src-en/data/events_coalition.xml:74","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[3]/text","Leave it be.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[3]/text","","","",""
"src-en/data/events_coalition.xml:80","data/events_coalition.xml$/FTL/eventList[@name=""COALITION_FED_AUTO_WIN_OPEN""]/event[1]/text","As you tear open the cargo bay, you hear a distinct clicking noise. You quickly try to get out of the way but it's too late. The trapped cargo explodes, damaging the ship and destroying all of the cargo and the rest of the Auto-ship wreckage.","data/events_coalition.xml$/FTL/eventList[@name=""COALITION_FED_AUTO_WIN_OPEN""]/event[1]/text","","","",""
"src-en/data/events_coalition.xml:84","data/events_coalition.xml$/FTL/eventList[@name=""COALITION_FED_AUTO_WIN_OPEN""]/event[2]/text","You tear open the cargo bay to find excess amounts of resources for you to take.","data/events_coalition.xml$/FTL/eventList[@name=""COALITION_FED_AUTO_WIN_OPEN""]/event[2]/text","","","",""
"src-en/data/events_coalition.xml:90","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/text","As soon as you arrive, an ear-bleedingly loud advertisement blasts through your ship's stereo. ""ATTENTION ALL SHOPPERS! HEKTAR INDUSTRIESSS ISSS PROUD TO ANNOUNCCCE THE ARRIVAL OF OUR NEW HEKTAR BRAND MILITARY SSSUPPLY DEPOTSSS, OPEN TO ALL COALITION SHIPSSS (or anyone elssse willing to give usss money) SO COME IN AND SSSSHOP SSSSHOP SSSSHOP! I DEMAND IT OF YOU!""","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/text","","","",""
"src-en/data/events_coalition.xml:93","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[1]/text","Go in and ""shop shop shop"".","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[1]/text","","","",""
"src-en/data/events_coalition.xml:95","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[1]/event/text","""Ah, another brainlesss idi- er... no way, no that'sss right. Another brainless idiot who'll give usss their money! Welcome to Hektar Indussstriesss! If you like what you see here, conssssider visssiting the Hektar Mega-Market ssssome time in the future!""","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[1]/event/text","","","",""
"src-en/data/events_coalition.xml:100","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[2]/text","[Federation Database] What is Hektar?","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[2]/text","","","",""
"src-en/data/events_coalition.xml:102","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[2]/event/text","","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[2]/event/text","","","",""
"src-en/data/events_coalition.xml:104","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[2]/event/choice/text","Continue...","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[2]/event/choice/text","","","",""
"src-en/data/events_coalition.xml:112","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[3]/text","(Hektar Crew) Request an employee discount.","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[3]/text","","","",""
"src-en/data/events_coalition.xml:114","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[3]/event/text","""AHAHAHAHAHAHHAHAHAH! HAH! AHAH! Hah... oh boy. An employee dissscount? Are you ssstupid? Hektar doesssn't give employee dissscountsss, it gives employee markupsss! How dare you try and sssteal money from me, you leech!""","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[3]/event/text","","","",""
"src-en/data/events_coalition.xml:117","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[3]/event/choice/text","Continue...","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[3]/event/choice/text","","","",""
"src-en/data/events_coalition.xml:123","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[4]/text","(Billy) Request a Hektar(tm) brand supply package.","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[4]/text","","","",""
"src-en/data/events_coalition.xml:125","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[4]/event/text","It only takes a few minutes before Billy returns, and soon after a Hektar package is deposited in your hold. Guess it pays to have the CEO of a major corporation aboard your ship.","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[4]/event/text","","","",""
"src-en/data/events_coalition.xml:131","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[5]/text","Attack the depot.","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[5]/text","","","",""
"src-en/data/events_coalition.xml:133","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[5]/event/text","Hektar, for as good as their products might be, is a villainous corporation. If they're selling to the Coalition now, then it's your duty to shut them down.","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[5]/event/text","","","",""
"src-en/data/events_coalition.xml:136","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[5]/event/choice/text","Continue...","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[5]/event/choice/text","","","",""
"src-en/data/events_coalition.xml:142","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[6]/text","Ignore the depot.","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[6]/text","","","",""
"src-en/data/events_coalition.xml:144","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[6]/event/text","""Hey! Where do you think you're going? I sssaid I DEMAND you come in and sssshop! Damn it, you WILL SSSHOP OR DIE!""","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[6]/event/text","","","",""
"src-en/data/events_coalition.xml:147","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[6]/event/choice/text","Continue...","data/events_coalition.xml$/FTL/event[@name=""COALITION_HEKTAR""]/choice[6]/event/choice/text","","","",""
"src-en/data/events_coalition.xml:155","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/text","A Rebel ship is stuck at this beacon, with noticeable damage to their engines. They make no attempt to attack you, too heavily damaged to take the risk.","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/text","","","",""
"src-en/data/events_coalition.xml:159","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/text","Hail the Rebel.","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/text","","","",""
"src-en/data/events_coalition.xml:161","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/text","""God damn it, not the Feds. What the hell do you want? If you're going to kill us, make it quick.""","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/text","","","",""
"src-en/data/events_coalition.xml:163","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/text","We aren't here to fight.","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_coalition.xml:165","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/text","The Rebel captain chuckles weakly. ""Yeah, right. Well if you're telling the truth, we could use some help with repairs, or some scrap. Took a pretty bad shot from the Coalition guard, and we leaked the fuel all the way here.""","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_coalition.xml:167","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[1]/text","Give them the scrap.","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_coalition.xml:169","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[1]/event/text","The Rebel Captain growls, expecting the cargo to be trapped. But when nothing explodes and he's certain theres no infectious murder-bugs inside, he reluctantly thanks you and promises to delay the fleet when he returns to them.","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_coalition.xml:177","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[2]/text","Take some time to repair their engines.","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_coalition.xml:179","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[2]/event/text","It takes a while, but you're able to patch up the damage. The Rebel captain is surprised at your willingness to help. ""Maybe I misjudged you... don't think this changes anything, but it's only right that you are paid for your efforts.""","data/events_coalition.xml$/FTL/event[@name=""COALITION_REBEL_STRANDED""]/choice[1]/event/choice[1]/event/choice[2]/event/text","","","",""
