"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_coalition.xml:30","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/text","당신은 이곳에 연방 무인기가 있는 것을 보고 깜짝 놀랐습니다. ""이 선박은 연합군 전선에 있는 병사들에게 구호품을 제공하기 위해 배치되었습니다. 바깥은 혼자 돌아다니기엔 위험합니다. 이걸 가져가십시오.""","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/text","","","",""
"src-en/data/events_coalition.xml:33","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/text","구호품을 받는다.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/text","","","",""
"src-en/data/events_coalition.xml:35","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/event/text","""행운을 빕니다 선장님."" 무인기는 다른곳으로 도약해 갔습니다.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[1]/event/text","","","",""
"src-en/data/events_coalition.xml:40","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/text","(분석기) 무인기를 정지시키고 그것의 데이터 저장소를 다운받는다.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/text","","","",""
"src-en/data/events_coalition.xml:42","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/event/text","당신은 무인기를 정지시키고 그 안의 모든 데이터를 다운받았습니다. 보아하니 이 무인기는 이미 이 구역의 대부분을 기록해 놓은 것 같습니다. 이건 정말 도움이 되겠군요!","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[2]/event/text","","","",""
"src-en/data/events_coalition.xml:48","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/text","무인기를 공격한다. 분명 그 안에 더 많은 구호품이 있을 거다.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/text","","","",""
"src-en/data/events_coalition.xml:50","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/text","""배반이 감지됨. 전투 절차 활성.""","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/text","","","",""
"src-en/data/events_coalition.xml:53","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/choice/text","계속...","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO""]/choice[3]/event/choice/text","","","",""
"src-en/data/events_coalition.xml:60","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/text","당신은 무인기의 선체를 긁어 모으다가, 아직 파괴되지 않은 화물칸을 발견했습니다.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/text","","","",""
"src-en/data/events_coalition.xml:63","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[1]/text","화물칸을 연다.","data/events_coalition.xml$/FTL/event[@name=""COALITION_FED_AUTO_WIN""]/choice[1]/text","","","",""
