"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_defeat.xml:14","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[1]","Tune them out and finish this.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[1]","","","",""
"src-en/data/events_defeat.xml:15","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[2]","There will be no mercy.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[2]","","","",""
"src-en/data/events_defeat.xml:16","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[3]","Ignore their pleas.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[3]","","","",""
"src-en/data/events_defeat.xml:17","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[4]","Refuse their surrender.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[4]","","","",""
"src-en/data/events_defeat.xml:18","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[5]","Finish them off.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[5]","","","",""
"src-en/data/events_defeat.xml:19","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[6]","Continue your attack.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[6]","","","",""
"src-en/data/events_defeat.xml:20","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[7]","Deny them mercy.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[7]","","","",""
"src-en/data/events_defeat.xml:21","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[8]","Ignore their cries.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[8]","","","",""
"src-en/data/events_defeat.xml:22","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[9]","End the comms and finish this fight.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[9]","","","",""
"src-en/data/events_defeat.xml:23","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[10]","We will show no mercy.","data/events_defeat.xml$/FTL/textList[@name=""GENERIC_SURRENDER_CHOICE_NOMERCY""]/text[10]","","","",""
