"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_droppoint.xml:29","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/text","""Stop! Stop! Take a slave and let us go. Kill us, and they all die regardless!""","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/text","","","",""
"src-en/data/events_droppoint.xml:31","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[1]/text","Accept their offer.","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[1]/text","","","",""
"src-en/data/events_droppoint.xml:38","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[2]/text","Surrender is not an option.","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[2]/text","","","",""
"src-en/data/events_droppoint.xml:58","data/events_droppoint.xml$/FTL/event[@name=""SPECIAL_DROPPOINT""]/text","BUG BUG BUG BUG THIS IS A BUG!
	You should never ever see this! Please report this to the Multiverse discord with as many specifics as possible including;
	Sector #
	Sector type
	Beacon type (nebula/clearing, distress, store, unmarked, etc)
	MV Version number and hyperspace version number","data/events_droppoint.xml$/FTL/event[@name=""SPECIAL_DROPPOINT""]/text","","","",""
"src-en/data/events_droppoint.xml:82","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[1]","""Blegh, you're the ship we traveled all the way from Universe 1 to meet? I thought they said you were a THREAT."" Looks like you'll have to show these guys not to underestimate you.","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[1]","","","",""
"src-en/data/events_droppoint.xml:83","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[2]","""Looks like you've stumbled into my.... AMBUSH! Nyeh heh heh! Heh. Heh... Die."" The Rebel ship moves in to attack.","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[2]","","","",""
"src-en/data/events_droppoint.xml:84","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[3]","""Your mistake for coming here, bucko. End of the line!"" It's the end of the line for someone, but let's hope it's not you!","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[3]","","","",""
"src-en/data/events_droppoint.xml:85","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[4]","The Rebel captain says nothing, but imitates a pair of guns with his fingers and draws a line across his throat. When did the Rebels get so childish?","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[4]","","","",""
"src-en/data/events_droppoint.xml:86","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[5]","The Rebel captain breaks into laughter upon seeing your ship. You won't take this insult lightly. Not like you have a choice, since their weapons are already firing!","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[5]","","","",""
"src-en/data/events_droppoint.xml:92","data/events_droppoint.xml$/FTL/event[@name=""FINISH_BEACON_DROPPOINT_ENCOUNTER_CASUAL""]/choice/text","Continue...","data/events_droppoint.xml$/FTL/event[@name=""FINISH_BEACON_DROPPOINT_ENCOUNTER_CASUAL""]/choice/text","","","",""
