"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_duskbringer.xml:30","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/text","Friends of the Federation aren't all that common in these parts, but a Militia Transport protected by an escort is passing through. They must have noticed you, but they don't attempt to make contact.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/text","","","",""
"src-en/data/events_duskbringer.xml:33","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/text","Approach.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/text","","","",""
"src-en/data/events_duskbringer.xml:35","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/text","It appears that the transport has sustained some damage, and judging from the nature of the damage it appears to have been Energy Cannons, meaning they were most likely attacked by the Duskbringers.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/text","","","",""
"src-en/data/events_duskbringer.xml:37","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/text","Offer some scrap to help repair.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_duskbringer.xml:39","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/event/text","The Militiamen are surprised by your offer, but they gratiously accept.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_duskbringer.xml:44","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/event/choice/text","Continue...","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_duskbringer.xml:46","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/event/choice/event/text","They offer you a gift as thanks for your generous donation.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[1]/event/choice/event/text","","","",""
"src-en/data/events_duskbringer.xml:54","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[2]/text","They make easy targets. Attack!","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_duskbringer.xml:56","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[2]/event/text","The Escort isn't about to let you get away with your attack. The Transport is unable to fight back and watches the battle in despair.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_duskbringer.xml:59","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[2]/event/choice/text","Continue...","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[2]/event/choice/text","","","",""
"src-en/data/events_duskbringer.xml:65","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[3]/text","(Repair Drone) Offer to use the drone to fix up their ship.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[3]/text","","","",""
"src-en/data/events_duskbringer.xml:67","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[3]/event/text","The Militiamen are surprised by your offer, but they gratiously accept.","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[3]/event/text","","","",""
"src-en/data/events_duskbringer.xml:72","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[3]/event/choice/text","Continue...","data/events_duskbringer.xml$/FTL/event[@name=""DUSK_MILITIA_ESCORT""]/choice[1]/event/choice[3]/event/choice/text","","","",""
