"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_engi.xml.append:19","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/text","You've arrived at the Long-Range Beacon. When the FTL Drive is charged you can jump to the next Sector.","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/text","","","",""
"src-en/data/events_engi.xml.append:21","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/choice[1]/text","Explore.","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/choice[1]/text","","","",""
"src-en/data/events_engi.xml.append:25","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/choice[2]/text","Check the storage.","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/choice[2]/text","","","",""
"src-en/data/events_engi.xml.append:29","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/choice[3]/text","Do nothing.","data/events_engi.xml.append$/FTL/event[@name=""FINISH_BEACON_ENGI""]/choice[3]/text","","","",""
"src-en/data/events_engi.xml.append:52","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/beaconType/unvisitedTooltip","This is the location of a Harmony Link.","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_engi.xml.append:53","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/beaconType/visitedTooltip","This is the location of a Harmony Link.","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_engi.xml.append:55","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/text","It appears you've discovered a Harmony Link. These massive planet-sized structures are made up of trillions of nanobots, and transmit a strong signal to all of the Engi in the sector.","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/text","","","",""
"src-en/data/events_engi.xml.append:58","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/choice[1]/text","Continue...","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/choice[1]/text","","","",""
"src-en/data/events_engi.xml.append:62","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/choice[2]/text","Continue...","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_DEFAULT""]/choice[2]/text","","","",""
"src-en/data/events_engi.xml.append:70","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/beaconType/unvisitedTooltip","This is the location of a Harmony Link.","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_engi.xml.append:71","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/beaconType/visitedTooltip","This is the location of a Harmony Link.","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_engi.xml.append:73","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/text","It appears you've discovered a Harmony Link. These massive planet-sized structures are made up of trillions of nanobots, and transmit a strong signal to all of the Engi in the sector.","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/text","","","",""
"src-en/data/events_engi.xml.append:76","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/choice[1]/text","Continue...","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/choice[1]/text","","","",""
"src-en/data/events_engi.xml.append:80","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/choice[2]/text","Continue...","data/events_engi.xml.append$/FTL/event[@name=""HARMONY_LINK_UNIQUE""]/choice[2]/text","","","",""
