"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_estate.xml:22","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/text","You've arrived at the headquarters of Wentworth Innovations. An impressive cityscape is laid out before you, lush with life and architecture reminiscent of old-Earth decorum: this is the clear work of the Wentworth family without a doubt. Despite the importance of this location, security seems sparse when you arrive. Perhaps overconfidence has overtaken even the most vital aspects of Vance's illustrious life.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/text","","","",""
"src-en/data/events_estate.xml:26","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/beaconType/unvisitedTooltip","Your active task from C.U.R.A. is located here.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_estate.xml:27","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/beaconType/visitedTooltip","Explored location. Nothing left of interest.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_estate.xml:28","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/beaconType/undiscoveredTooltip","An unvisited location.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/beaconType/undiscoveredTooltip","","","",""
"src-en/data/events_estate.xml:33","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/text","Approach.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/text","","","",""
"src-en/data/events_estate.xml:35","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/text","As you make way towards the distant, monolithic citadel that heads the city, your luck runs out, and your identities as Renegades are quickly discovered. You incur several minor firefights, but miraculously the only casualties are on the corporation's side. After an awkward stay in the crowded citadel elevator for some 30 floors, you find your way to the office of Mr. Cayden Stimly - Vice President of Wentworth Innovations, and your target. The shriveled prune of a man - the left half of his face bleached from the fires of a Theocracy Inquisition many decades ago, sits behind his elaborately decorated swivel chair, facing the maw of a giant window with a view of the entire city. The suffocating aroma of the man's perfume forces you to hold back an ill-timed gag.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/text","","","",""
"src-en/data/events_estate.xml:37","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[1]/text","Announce your arrival.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[1]/text","","","",""
"src-en/data/events_estate.xml:41","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/text","Stand there and wait.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/text","","","",""
"src-en/data/events_estate.xml:43","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/event/text","You motion for your crew to stand behind you, and together you face down the back of the elderly man's head. You wait for him to move.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/event/text","","","",""
"src-en/data/events_estate.xml:45","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/event/choice/text","Continue...","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/event/choice/text","","","",""
"src-en/data/events_estate.xml:47","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/event/choice/event/text","You continue to wait. Stimly taps his fingers out of rhythm against the leather rest of his chair, still facing the window.","data/events_estate.xml$/FTL/event[@name=""CURA_PRESIDENT""]/choice/event/choice[2]/event/choice/event/text","","","",""
