"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_federation.xml:34","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/text","A Federation station is sending out a request for ammunition, in return for scrap. Their high demand is likely due to the increasing number of Rebel blockades.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/text","","","",""
"src-en/data/events_federation.xml:36","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[1]/text","Sell 3 missiles.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[1]/text","","","",""
"src-en/data/events_federation.xml:46","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[2]/text","Sell 7 missiles.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[2]/text","","","",""
"src-en/data/events_federation.xml:56","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[3]/text","Sell 12 missiles.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[3]/text","","","",""
"src-en/data/events_federation.xml:66","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/text","We don't have anything to sell.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/text","","","",""
"src-en/data/events_federation.xml:68","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/event/text","You ignore the station.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/event/text","","","",""
"src-en/data/events_federation.xml:70","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/event/choice[1]/text","Do something onboard the ship.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/event/choice[1]/text","","","",""
"src-en/data/events_federation.xml:74","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/event/choice[2]/text","Do nothing.","data/events_federation.xml$/FTL/event[@name=""FED_AMMO_STATION""]/choice[4]/event/choice[2]/text","","","",""
"src-en/data/events_federation.xml:82","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/text","Not long after you jump in you're hailed by a Zoltan ship. ""Life is a cycle, and this war has upset it. You must not mess with the balance. Does this make sense?""","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/text","","","",""
"src-en/data/events_federation.xml:85","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[1]/text","Absolutely.","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[1]/text","","","",""
"src-en/data/events_federation.xml:87","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[1]/event/text","""I see you are not blind as the others. Many have come to hear our message, and few have left with a proper understanding. You are blessed. May your trails be filled with fortune.""","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[1]/event/text","","","",""
"src-en/data/events_federation.xml:92","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/text","Not really.","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/text","","","",""
"src-en/data/events_federation.xml:94","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/event/text","""The balance must be preserved. You are not the one to preserve it."" The Zoltan mute the comms and jump away.","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/event/text","","","",""
"src-en/data/events_federation.xml:96","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/event/choice[1]/text","Do something onboard the ship.","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_federation.xml:100","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/event/choice[2]/text","Do nothing.","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_federation.xml:106","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[3]/text","We don't have time for a lecture.","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[3]/text","","","",""
"src-en/data/events_federation.xml:108","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[3]/event/text","""This is no lecture, but merely a lesson. It is those like you who refuse enlightenment who endanger the cycle. You must be purged.""","data/events_federation.xml$/FTL/event[@name=""FED_ZOLTAN_RANT""]/choice[3]/event/text","","","",""
