"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_finalboss.xml:3","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_PLACEHOLDER""]/text","You should never see this.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_PLACEHOLDER""]/text","","","",""
"src-en/data/events_finalboss.xml:10","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_CASUAL""]/triggeredEvent/triggeredEventBox/tooltip","The MFK Flagship is charging its MV drive. If you cannot destroy it before this time, it will escape! Nothing, not even destroying its engines, will stop this timer.","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_CASUAL""]/triggeredEvent/triggeredEventBox/tooltip","","","",""
"src-en/data/events_finalboss.xml:29","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_NORMAL""]/triggeredEvent[2]/triggeredEventBox/tooltip","The MFK Flagship is charging its MV drive. If you cannot destroy it before this time, it will escape! Nothing, not even destroying its engines, will stop this timer.","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_NORMAL""]/triggeredEvent[2]/triggeredEventBox/tooltip","","","",""
"src-en/data/events_finalboss.xml:51","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_CHALLENGE""]/triggeredEvent[2]/triggeredEventBox/tooltip","The MFK Flagship is charging its MV drive. If you cannot destroy it before this time, it will escape! Nothing, not even destroying its engines, will stop this timer.","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_CHALLENGE""]/triggeredEvent[2]/triggeredEventBox/tooltip","","","",""
"src-en/data/events_finalboss.xml:73","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_EXTREME""]/triggeredEvent[2]/triggeredEventBox/tooltip","The MFK Flagship is charging its MV drive. If you cannot destroy it before this time, it will escape! Nothing, not even destroying its engines, will stop this timer.","data/events_finalboss.xml$/FTL/ship[@name=""SHIP_MFK_FLAGSHIP_EXTREME""]/triggeredEvent[2]/triggeredEventBox/tooltip","","","",""
"src-en/data/events_finalboss.xml:88","data/events_finalboss.xml$/FTL/event[@name=""FLAGSHIP_DIRTY""]/text","The Flagship trembles. It has already sustained immense damage, but it holds together. A teleporter signature is registered, and it becomes clear the Rebels are playing dirty. They must have had a few Cognitives lying around after their raid, because several hostile entities are detected aboard!","data/events_finalboss.xml$/FTL/event[@name=""FLAGSHIP_DIRTY""]/text","","","",""
"src-en/data/events_finalboss.xml:93","data/events_finalboss.xml$/FTL/event[@name=""FLAGSHIP_DIRTY_HARD""]/text","The Flagship trembles. It has already sustained immense damage, but it holds together. A teleporter signature is registered, and it becomes clear the Rebels are playing dirty. They must have had a few Cognitives lying around after their raid, because several hostile entities are detected aboard!","data/events_finalboss.xml$/FTL/event[@name=""FLAGSHIP_DIRTY_HARD""]/text","","","",""
"src-en/data/events_finalboss.xml:106","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_AUTO""]/text","It appears this ship is also equipped with an advanced AI system. Now that the crew is dead, it has taken control! You sense oxygen levels dropping on the Flagship as well...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_AUTO""]/text","","","",""
"src-en/data/events_finalboss.xml:111","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_BEGIN""]/text","As you pursue the Flagship, you know this is your last chance to prepare whatever you might need before the battle. This will be it, there's no going back once you've caught up to them. Now would be a good time to check your mission report one last time.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_BEGIN""]/text","","","",""
"src-en/data/events_finalboss.xml:114","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_BEGIN""]/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_BEGIN""]/choice/text","","","",""
"src-en/data/events_finalboss.xml:120","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_FAIL""]/text","The Flagship jumps away, escaping from you. You've failed... and now the future of the Federation across all realities look bleak. This is a crushing defeat, and your mission is lost.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_FAIL""]/text","","","",""
"src-en/data/events_finalboss.xml:123","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_FAIL""]/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_FAIL""]/choice/text","","","",""
"src-en/data/events_finalboss.xml:131","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/text","You've done all you can. Now, it's time to fight this Flagship.","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/text","","","",""
"src-en/data/events_finalboss.xml:134","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[1]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[1]/text","","","",""
"src-en/data/events_finalboss.xml:138","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[2]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[2]/text","","","",""
"src-en/data/events_finalboss.xml:142","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[3]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[3]/text","","","",""
"src-en/data/events_finalboss.xml:146","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[4]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""GO_TO_SHOWDOWN""]/choice[4]/text","","","",""
"src-en/data/events_finalboss.xml:165","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/text","You chase down Vance as fast as possible. You manage to catch up to his titan of a ship, similar in build to the Rebel Flagship, but armed with an even stronger arsenal of artillery and sporting an MFK paint job.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/text","","","",""
"src-en/data/events_finalboss.xml:169","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[1]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[1]/text","","","",""
"src-en/data/events_finalboss.xml:171","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[1]/event/text","You didn't come this far to give up now. There's nothing left to do but destroy this ship. Fail, and the Federation is doomed, succeed and save this reality forever. The stakes are high, but you don't have time to think about them as you get ready to fight.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[1]/event/text","","","",""
"src-en/data/events_finalboss.xml:174","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[1]/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_finalboss.xml:180","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[2]/text","(Jerry) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[2]/text","","","",""
"src-en/data/events_finalboss.xml:184","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[3]/text","(Tully) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[3]/text","","","",""
"src-en/data/events_finalboss.xml:188","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[4]/text","(Nights) Nights seems to have something to say to Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CASUAL""]/choice[4]/text","","","",""
"src-en/data/events_finalboss.xml:193","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/text","You chase down Vance as fast as possible. You manage to catch up to his titan of a ship, similar in build to the Rebel Flagship, but armed with an even stronger arsenal of artillery and sporting an MFK paint job.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/text","","","",""
"src-en/data/events_finalboss.xml:197","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[1]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[1]/text","","","",""
"src-en/data/events_finalboss.xml:199","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[1]/event/text","You didn't come this far to give up now. There's nothing left to do but destroy this ship. Fail, and the Federation is doomed, succeed and save this reality forever. The stakes are high, but you don't have time to think about them as you get ready to fight.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[1]/event/text","","","",""
"src-en/data/events_finalboss.xml:202","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[1]/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_finalboss.xml:208","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[2]/text","(Jerry) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[2]/text","","","",""
"src-en/data/events_finalboss.xml:212","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[3]/text","(Tully) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[3]/text","","","",""
"src-en/data/events_finalboss.xml:216","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[4]/text","(Nights) Nights seems to have something say to Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NORMAL""]/choice[4]/text","","","",""
"src-en/data/events_finalboss.xml:221","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/text","You chase down Vance as fast as possible. You manage to catch up to his titan of a ship, similar in build to the Rebel Flagship, but armed with an even stronger arsenal of artillery and sporting an MFK paint job.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/text","","","",""
"src-en/data/events_finalboss.xml:225","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[1]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[1]/text","","","",""
"src-en/data/events_finalboss.xml:227","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[1]/event/text","You didn't come this far to give up now. There's nothing left to do but destroy this ship. Fail, and the Federation is doomed, succeed and save this reality forever. The stakes are high, but you don't have time to think about them as you get ready to fight.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[1]/event/text","","","",""
"src-en/data/events_finalboss.xml:230","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[1]/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_finalboss.xml:236","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[2]/text","(Jerry) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[2]/text","","","",""
"src-en/data/events_finalboss.xml:240","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[3]/text","(Tully) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[3]/text","","","",""
"src-en/data/events_finalboss.xml:244","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[4]/text","(Nights) Nights seems to have something to say to Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_CHALLENGE""]/choice[4]/text","","","",""
"src-en/data/events_finalboss.xml:249","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/text","You chase down Vance as fast as possible. You manage to catch up to his titan of a ship, similar in build to the Rebel Flagship, but armed with an even stronger arsenal of artillery and sporting an MFK paint job.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/text","","","",""
"src-en/data/events_finalboss.xml:253","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[1]/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[1]/text","","","",""
"src-en/data/events_finalboss.xml:255","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[1]/event/text","You didn't come this far to give up now. There's nothing left to do but destroy this ship. Fail, and the Federation is doomed, succeed and save this reality forever. The stakes are high, but you don't have time to think about them as you get ready to fight.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[1]/event/text","","","",""
"src-en/data/events_finalboss.xml:258","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[1]/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_finalboss.xml:264","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[2]/text","(Jerry) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[2]/text","","","",""
"src-en/data/events_finalboss.xml:268","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[3]/text","(Tully) Hail Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[3]/text","","","",""
"src-en/data/events_finalboss.xml:272","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[4]/text","(Nights) Nights seems to have something say to Vance.","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_EXTREME""]/choice[4]/text","","","",""
"src-en/data/events_finalboss.xml:278","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/text","Vance pauses, and appears on the vid screen. Nights scrolls up closer, taking another swig of his beer. ""Ssssay... what wassss your name again?""","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/text","","","",""
"src-en/data/events_finalboss.xml:280","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/text","","","",""
"src-en/data/events_finalboss.xml:282","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/text","Vance grunts and scowls. ""Admiral Vance Wentworth. What's it to you, slime pinata?""","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/text","","","",""
"src-en/data/events_finalboss.xml:284","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/text","","","",""
"src-en/data/events_finalboss.xml:286","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/text","Nights chuckles and takes another sip. ""Heheh... Admiral Vance Wentworth, huh? More like... Wentworthlessssss! HAHAHAHAHAHAHAHAH!""","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/text","","","",""
"src-en/data/events_finalboss.xml:289","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/choice/text","","","",""
"src-en/data/events_finalboss.xml:291","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/choice/event/text","Through Night's intoxicated laughter and hiccuping you can hear Vance growling, as his eye twitches in annoyance. At last, you've found validation for keeping this slimey asshole on your ship. Too bad you can't delay the inevitable any longer - it's time for a showdown!","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/choice/event/text","","","",""
"src-en/data/events_finalboss.xml:294","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/choice/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_NIGHTS""]/choice/event/choice/event/choice/event/choice/text","","","",""
"src-en/data/events_finalboss.xml:305","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/text","Vance pauses, and appears on the vid screen. Tully steps foward, arms crossed behind his back. ""Wentworth. Please, listen to me, not as an adversary, but as your old friend. Don't do this. Think of what you're doing, is all of this really worth it? You'll kill trillions of people and for what? To settle some petty score? You've built an empire that can compete with the Federation - why can't you just be satisfied with that?""","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/text","","","",""
"src-en/data/events_finalboss.xml:307","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/choice/text","","","",""
"src-en/data/events_finalboss.xml:309","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/choice/event/text","Vance's glare softens, but the determined look on his face doesn't falter. ""This is well beyond simple revenge, Brodric. Have you never wondered why we still carry the title of Rebellion? Because it keeps our ideals and our mission true to the heart of every man who marches under our banner. To simply co-exist with the Federation is to willingly allow not only trillions but a near infinite pool of people continue to suffer.""","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/choice/event/text","","","",""
"src-en/data/events_finalboss.xml:311","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/choice/event/choice/text","Continue...","data/events_finalboss.xml$/FTL/event[@name=""SHOWDOWN_TULLY""]/choice/event/choice/text","","","",""
