"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_fleet.xml:72","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/text","You've found the exit beacon but the Rebels got here first! You must survive long enough to be able to jump to the next sector.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/text","","","",""
"src-en/data/events_fleet.xml:78","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[1]/text","Continue...","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:82","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[2]/text","(Adv. Engines) Try to escape the Elite.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:86","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[3]/text","(Jerry) ""Hello!""","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:93","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[4]/text","(Forged ID) Try to trick the Elite.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:99","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/text","You've found the exit beacon but the Rebels got here first! You must survive long enough to be able to jump to the next sector.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/text","","","",""
"src-en/data/events_fleet.xml:105","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[1]/text","Continue...","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:109","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[2]/text","(Adv. Engines) Try to escape the Elite.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:113","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[3]/text","(Jerry) ""Hello!""","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:120","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[4]/text","(Forged ID) Try to trick the Elite.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:127","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/text","The Rebel fleet has found you, and a nearby ship turns to engage. The cruisers in the distance are firing on you!","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/text","","","",""
"src-en/data/events_fleet.xml:133","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[1]/text","Continue...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:137","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[2]/text","(Adv. Engines) Try to escape the Elite.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:141","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[3]/text","(Jerry) ""Hello!""","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:148","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[4]/text","(Forged ID) Try to trick the Elite.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:155","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/text","The Rebel fleet has found you, and a nearby ship turns to engage. The ship that approaches is no regular Elite, but rather an MFK Ace! Much stronger than most Rebel ships, if you can defeat it, it may delay the fleet a little longer.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/text","","","",""
"src-en/data/events_fleet.xml:161","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[1]/text","Continue...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:165","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[2]/text","(Adv. Engines) Try to escape the Elite.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:169","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[3]/text","(Jerry) ""Hello!""","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:176","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[4]/text","(Forged ID) Try to trick the Elite.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:183","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/text","You are unsuccessful in escaping the Elite. You prepare for battle.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/text","","","",""
"src-en/data/events_fleet.xml:185","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/choice/text","Continue...","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/choice/text","","","",""
"src-en/data/events_fleet.xml:190","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/text","You are unsuccessful in escaping the Elite. You prepare for battle.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/text","","","",""
"src-en/data/events_fleet.xml:192","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/choice/text","Continue...","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/choice/text","","","",""
"src-en/data/events_fleet.xml:197","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[3]/text","You manage to outrun the fleet ship by some odds. You take a moment to catch your breath.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[3]/text","","","",""
"src-en/data/events_fleet.xml:208","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_TRICK""]/event[5]/text","By some odds, the Elite is indifferent enough to accept your ID and allow you through. You aren't sure how long until they realize what you've done, so you better get away quickly.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_TRICK""]/event[5]/text","","","",""
"src-en/data/events_fleet.xml:213","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/text","As expected, the Elite fails to be tricked by your rudimentary attempt.","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/text","","","",""
"src-en/data/events_fleet.xml:215","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/choice/text","Continue...","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/choice/text","","","",""
"src-en/data/events_fleet.xml:284","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/text","The Rebel fleet has found you, and a nearby ship turns to engage. The cruisers in the distance are firing on you!","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/text","","","",""
"src-en/data/events_fleet.xml:292","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[1]/text","Continue...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:296","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[2]/text","(Adv. Engines) Try to escape the Elite.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:300","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[3]/text","(Jerry) ""Hello!""","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:307","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[4]/text","(Forged ID) Try to trick the Elite.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:314","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/text","The Rebel fleet has found you, and a nearby ship turns to engage. The ship that approaches is no regular Elite, but rather an MFK Ace! Much stronger than most Rebel ships, if you can defeat it, it may delay the fleet a little longer.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/text","","","",""
"src-en/data/events_fleet.xml:322","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[1]/text","Continue...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:326","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[2]/text","(Adv. Engines) Try to escape the Elite.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:330","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[3]/text","(Jerry) ""Hello!""","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[3]/text","","","",""
