"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_freemantis.xml:32","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/text","You have little time to prepare before a Free Mantis dropship beams some crew aboard. They demand you explain why you are in their territory.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/text","","","",""
"src-en/data/events_freemantis.xml:36","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/text","Refuse to share the information.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:38","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/text","The leader of the Free Mantis huffs. ""Fine, then we take your ship and information as ours.""","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:42","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/choice/text","Continue...","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_freemantis.xml:48","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/text","Explain your mission.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:50","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/event/text","You explain your mission to the Free Mantis, and they seem to believe you. They transfer over some scrap in hopes it will help you succeed.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/event/text","","","",""
"src-en/data/events_freemantis.xml:57","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/text","Two wrecks, both formerly Rebel ships, drift nearby. A Free Mantis ship hails you, its weapons raised boastfully in pride at its latest kill.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/text","","","",""
"src-en/data/events_freemantis.xml:59","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/text","Continue...","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/text","","","",""
"src-en/data/events_freemantis.xml:61","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/text","""Federation captain, have you seen latest kill?"" You nod. ""Yes, we hope to make proud.""","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/text","","","",""
"src-en/data/events_freemantis.xml:63","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/text","Just nod and keep listening.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/text","","","",""
"src-en/data/events_freemantis.xml:65","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/text","""You, Federation, you have protected us, given us home when we had nowhere to go. You save us, we are forever grateful. We offer you a slave, from this pitiful Rebel ships we kill for you.""","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/text","","","",""
"src-en/data/events_freemantis.xml:67","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/text","Accept the slave.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:69","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/event/text","Two Free Mantis guards come aboard and throw the Rebel officer onto the ground in front of you. They wave happily with their sharpened claws and bid you farewell.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:74","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/text","Refuse.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:76","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/text","You explain that you aren't interested in slavery. ""Oh... Yes yes, you Federation are so kind. Truly kinder than anyone else. Please, take some supplies. We beg of you to accept some gift from us.""","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/text","","","",""
"src-en/data/events_freemantis.xml:78","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[1]/text","Take some fuel.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:84","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[2]/text","Take some missiles.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:90","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[3]/text","Take some droneparts.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[3]/text","","","",""
"src-en/data/events_freemantis.xml:104","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/text","An Engi ship nearby hails you, as a Free Mantis ship approaches from behind.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/text","","","",""
"src-en/data/events_freemantis.xml:106","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/text","Accept their transmission.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:108","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/text","""Danger: Imminent. Free Mantis in pursuit. Request: contact Free Mantis, ask for intent.""","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:110","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/text","Agree and contact the Free Mantis ship.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:112","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/event/text","The Free Mantis captain seems happy to see you, and welcomes you to the sector. You waste no time and ask for his intent with the Engi. ""Harm them? No. This war, very troubling. Alliances are crucial, and best way is through mutually beneficial agreements, such as a trade. But the Engi run, we suspect they are afraid. I promise, we wish them no harm.""","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:114","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/event/choice/text","Explain the situation to the Engi.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_freemantis.xml:116","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/event/choice/event/text","""Gratitude, high. Appreciation, high. Simulated fear, low. Many thanks."" The Engi pay you and jump away. The Free Mantis captain shrugs and thanks you for trying.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[1]/event/choice/event/text","","","",""
"src-en/data/events_freemantis.xml:123","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/text","Refuse.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:125","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/event/text","You tell the Engi that you can't help. They almost immediately jump away afterwards.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_freemantis.xml:127","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/event/choice[1]/text","Do something onboard the ship.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:131","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/event/choice[2]/text","Do nothing.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[1]/event/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:139","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/text","Ignore them.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:141","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/event/text","The Engi ship continues to try to contact you before giving up and jumping away. The Free Mantis ship lingers a bit longer before jumping away as well, in the opposite direction.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/event/text","","","",""
"src-en/data/events_freemantis.xml:143","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/event/choice[1]/text","Do something onboard the ship.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:147","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/event/choice[2]/text","Do nothing.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_ENGI_SURRENDER""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:155","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/text","There is a rather large gathering of Free Mantis ships nearby. You don't know what's going on, but it might be important.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/text","","","",""
"src-en/data/events_freemantis.xml:157","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/text","Approach.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:159","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/text","As you assimilate with the crowd, you notice most of the ships are empty. All of the Mantis seem to have gathered in one large capital ship in the center. You come aboard, confident there is no danger. You find yourself overlooking a large colosseum-like structure, and in the center stands a Mantis wielding a blade over a Human officer.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:161","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[1]/text","Stick around and watch.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:163","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[1]/event/text","The executioner speaks to the crowd, ""At last! We have caught infamous Captain Briggs of Rebel Fleet! We kill him, in the name of our Federation brothers!"" A massive outroar from the crowd overwhelms the stadium as the executioner brings the sword down on the officer's head, slicing it clean off. Sickened by the show of brutality, you and your crew head back to your ship, not sure how to feel about what you just watched.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:167","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[2]/text","Rescue the officer.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:169","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[2]/event/text","Your crew aren't sure of the idea of upsetting hundreds of Mantis, but you're set on the idea. You jump down from the balcony, push the executioner off of the Human, and carry him back to your ship, with an angry crowd in pursuit!","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_freemantis.xml:171","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[2]/event/choice/text","Continue...","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[1]/event/choice[2]/event/choice/text","","","",""
"src-en/data/events_freemantis.xml:179","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[2]/text","Leave the Free Mantis to their business.","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_EXECUTIONER""]/choice[2]/text","","","",""
