"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_freemantis.xml:32","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/text","","","",""
"src-en/data/events_freemantis.xml:36","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:38","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:42","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/choice/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_freemantis.xml:48","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:50","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/event/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_DEMAND_INFO""]/choice[2]/event/text","","","",""
"src-en/data/events_freemantis.xml:57","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/text","","","",""
"src-en/data/events_freemantis.xml:59","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/text","","","",""
"src-en/data/events_freemantis.xml:61","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/text","","","",""
"src-en/data/events_freemantis.xml:63","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/text","","","",""
"src-en/data/events_freemantis.xml:65","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/text","","","",""
"src-en/data/events_freemantis.xml:67","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/text","","","",""
"src-en/data/events_freemantis.xml:69","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/event/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[1]/event/text","","","",""
"src-en/data/events_freemantis.xml:74","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/text","","","",""
"src-en/data/events_freemantis.xml:76","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/text","","","",""
"src-en/data/events_freemantis.xml:78","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[1]/text","","data/events_freemantis.xml$/FTL/event[@name=""FREEMANTIS_SLAVE_OFFER""]/choice/event/choice/event/choice[2]/event/choice[1]/text","","","",""
