"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_gb.xml:3","data/events_gb.xml$/FTL/event[@name=""STORAGE_CHECK_PROTONPACK_LOCATE_VAGABOND""]/text","It appears the nearest ship on the Database is a Vagabond vessel. You mark down the coordinates and shut off the Proton Pack.","data/events_gb.xml$/FTL/event[@name=""STORAGE_CHECK_PROTONPACK_LOCATE_VAGABOND""]/text","","","",""
"src-en/data/events_gb.xml:7","data/events_gb.xml$/FTL/event[@name=""STORAGE_CHECK_PROTONPACK_LOCATE_DYNASTY""]/text","It appears the nearest ship on the Database is a Dynasty vessel. You mark down the coordinates and shut off the Proton Pack.","data/events_gb.xml$/FTL/event[@name=""STORAGE_CHECK_PROTONPACK_LOCATE_DYNASTY""]/text","","","",""
"src-en/data/events_gb.xml:11","data/events_gb.xml$/FTL/event[@name=""STORAGE_CHECK_PROTONPACK_LOCATE_HAUNT""]/text","Suddenly, a bright light flashes on the device, signifying a high priority target is in the area. Looks like it's one of the Haunts again. Let's track this sucker down!","data/events_gb.xml$/FTL/event[@name=""STORAGE_CHECK_PROTONPACK_LOCATE_HAUNT""]/text","","","",""
"src-en/data/events_gb.xml:16","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[1]","""A demon maker comes on the hunt? He seeks to kill? There shall be blood in the river tonight, but these crimson streams shall not be mine but of my making!""","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[1]","","","",""
"src-en/data/events_gb.xml:17","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[2]","It appears the Dynasty ship is waiting for you. They must be used to Rebel ships always following them at this point, but you're just another ship who's come to kill them, Rebel or not.","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[2]","","","",""
"src-en/data/events_gb.xml:18","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[3]","""Your arrival is all but unexpected. Come, let us duel to most bitter ends, and may the most foul but determined spirit claim the victory on this fine rotation!"" What a weird way of saying ""I'm going to kill you.""","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[3]","","","",""
"src-en/data/events_gb.xml:19","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[4]","As expected, a Dynasty vessel is bunkered down here. They must already have been on edge, because as soon as you jump in, you swear their weapons have already come online.","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_DYNASTY""]/text[4]","","","",""
"src-en/data/events_gb.xml:22","data/events_gb.xml$/FTL/event[@name=""PROTON_DYNASTY""]/text","","data/events_gb.xml$/FTL/event[@name=""PROTON_DYNASTY""]/text","","","",""
"src-en/data/events_gb.xml:26","data/events_gb.xml$/FTL/event[@name=""PROTON_DYNASTY""]/choice/text","Continue...","data/events_gb.xml$/FTL/event[@name=""PROTON_DYNASTY""]/choice/text","","","",""
"src-en/data/events_gb.xml:32","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[1]","""Do you never tire of hunting us? Will your hunger never be sated? Oh, for what do I kid. To arms men, let us show these mercenaries what for!""","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[1]","","","",""
"src-en/data/events_gb.xml:33","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[2]","The Vagabonds live lives of danger and prospect. You aren't just another ship coming to kill them - you're also a chance at the score of a lifetime for a new ship, and they aren't going to miss that opportunity.","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[2]","","","",""
"src-en/data/events_gb.xml:34","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[3]","A worn out Vagabond stares you in the eyes. Without saying a word, you know that only one of you is making it out of here alive today.","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[3]","","","",""
"src-en/data/events_gb.xml:35","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[4]","You nearly mistake the wreck here for just another lifeless hunk of metal, but no. This is your target, and it's obvious as soon as the ship stirs to life and moves to face you.","data/events_gb.xml$/FTL/textList[@name=""TEXT_PROTON_VAGABOND""]/text[4]","","","",""
"src-en/data/events_gb.xml:38","data/events_gb.xml$/FTL/event[@name=""PROTON_VAGABOND""]/text","","data/events_gb.xml$/FTL/event[@name=""PROTON_VAGABOND""]/text","","","",""
"src-en/data/events_gb.xml:42","data/events_gb.xml$/FTL/event[@name=""PROTON_VAGABOND""]/choice/text","Continue...","data/events_gb.xml$/FTL/event[@name=""PROTON_VAGABOND""]/choice/text","","","",""
"src-en/data/events_gb.xml:56","data/events_gb.xml$/FTL/event[@name=""PROTON_HAUNT_DEFEAT""]/text","With the target neutralized, you can't help but take a peek at what their cargo might contain. Inside appears to be some ancient weapon.","data/events_gb.xml$/FTL/event[@name=""PROTON_HAUNT_DEFEAT""]/text","","","",""
"src-en/data/events_gb.xml:63","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/destroyed/text","The haunted vessel has been eliminated. Another to check off the list this time. That is, assuming they don't pop up again from across the Multiverse looking for revenge.","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/destroyed/text","","","",""
"src-en/data/events_gb.xml:66","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/destroyed/choice/text","Continue...","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/destroyed/choice/text","","","",""
"src-en/data/events_gb.xml:71","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/deadCrew/text","The haunted vessel has been eliminated. Another to check off the list this time. That is, assuming they don't pop up again from across the Multiverse looking for revenge.","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/deadCrew/text","","","",""
"src-en/data/events_gb.xml:74","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/deadCrew/choice/text","Continue...","data/events_gb.xml$/FTL/ship[@name=""SHIP_HAUNT_ELEANOR""]/deadCrew/choice/text","","","",""
"src-en/data/events_gb.xml:85","data/events_gb.xml$/FTL/event[@name=""PROTON_HAUNT_ELEANOR""]/text","According to the Proton Pack's database, this is Ellebeneare, wife to the Haunt's head honcho, Goziodeon. She was also a chef, but now she's a vicious murderer who isn't pleased that her husband is dead. Maybe today you'll reunite them at last.","data/events_gb.xml$/FTL/event[@name=""PROTON_HAUNT_ELEANOR""]/text","","","",""
