"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_generic.xml:34","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/text","A small Union refinery is operating away from all the asteroids. Though they mostly just process raw ores, you can probably pay them to refine some of your scrap.","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/text","","","",""
"src-en/data/events_generic.xml:37","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[1]/text","Pay them to create a weapon.","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[1]/text","","","",""
"src-en/data/events_generic.xml:39","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[1]/event/text","""Bit of an unconventional request, but we appreciate the donation. We'll see what we can do.""","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[1]/event/text","","","",""
"src-en/data/events_generic.xml:47","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[2]/text","Pay them to create an augment.","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[2]/text","","","",""
"src-en/data/events_generic.xml:49","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[2]/event/text","""Bit of an unconventional request, but we appreciate the donation. We'll see what we can do.""","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[2]/event/text","","","",""
"src-en/data/events_generic.xml:57","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[3]/text","Attack the refinery!","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[3]/text","","","",""
"src-en/data/events_generic.xml:59","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[3]/event/text","""Wait wait! What did we do?!"" You mute the civilians and open fire.","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[3]/event/text","","","",""
"src-en/data/events_generic.xml:62","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[3]/event/choice/text","Continue...","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[3]/event/choice/text","","","",""
"src-en/data/events_generic.xml:68","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[4]/text","Ignore the refinery.","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[4]/text","","","",""
"src-en/data/events_generic.xml:70","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[4]/event/text","There likely isn't anything good to come out of exploring this place. Let's move on.","data/events_generic.xml$/FTL/event[@name=""ASTEROID_REFINERY""]/choice[4]/event/text","","","",""
