"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_ghost.xml:28","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[1]","The Dynasty seems to appreciate keeping a very close watch over potential threats... so close in fact, that they've set up a forward station all the way out here. Maybe it contains data worth something to you?","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[1]","","","",""
"src-en/data/events_ghost.xml:29","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[2]","You've seen few factions as overly paranoid as the Dynasty. A full blown outpost has been established here, and scans show it has data. Valuable data.","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[2]","","","",""
"src-en/data/events_ghost.xml:30","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[3]","For what reason is this beacon marked as important? As soon as you jump in, it's clear. A Dynasty outpost has been established here, and the beacon marker was a warning for ships to stay away. Somehow they haven't spotted you, yet...","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[3]","","","",""
"src-en/data/events_ghost.xml:31","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[4]","Looks like a broadcast in many different languages is being sent out from a nearby Dynasty outpost. It's right to the point: ""This observation location is not to be tampered with. Attempts to raid or damage Dynasty property will be met with lethal force.""","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[4]","","","",""
"src-en/data/events_ghost.xml:32","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[5]","At first you assume your eyes are deceiving you, but nay. This is a Dynasty outpost, quite bravely posted so far out from Dynasty space.","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[5]","","","",""
"src-en/data/events_ghost.xml:38","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/text","Engage the outpost.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/text","","","",""
"src-en/data/events_ghost.xml:40","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/text","If the Dynasty is watching this sector, chances are they've already collected a ton of data... and data in any form is valuable to you!","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/text","","","",""
"src-en/data/events_ghost.xml:43","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/choice/text","Continue...","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_ghost.xml:49","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/text","Ignore the outpost.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/text","","","",""
"src-en/data/events_ghost.xml:51","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/text","Newton knows for what reason the Dynasty has been establishing these locations around the galaxy, but getting involved is a less than good idea.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/text","","","",""
