"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_ghost.xml:28","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[1]","유령 왕조는 잠재적 위협요소를 유심히 지켜보는 것을 좋아하는 모양입니다.... 너무나 긴밀하게 보는걸 좋아하는 나머지 이 멀리에다가 전초기지를 세워뒀군요. 함장님께 유용한 데이터를 가지고 있을지도 모르겠습니다.","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[1]","","","",""
"src-en/data/events_ghost.xml:29","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[2]","유령 왕조만큼 편집증에 시달리는 세력은 아마 본적 없을겁니다. 완전무장된 전초기지가 여기 세워져 있고, 스캔 결과 정보가 있다는 결과가 나왔읍니다. 아주 값진 정보요.","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[2]","","","",""
"src-en/data/events_ghost.xml:30","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[3]","대체 이 신호소가 주요 신호소로 표기되어 있는걸까요? 도약해 들어가자마자 의문이 풀립니다. 유령 왕조 전초지기자 여기 세워져 있었고, 신호소 마커는 함선들에게 이곳을 피하라는 경고였습니다. 어쩐일인지 아직 당신을 못 본모양입니다. 아직은요...","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[3]","","","",""
"src-en/data/events_ghost.xml:31","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[4]","근처 유령 왕조 전초 기지에서 방송이 여러 언어로 내보내지는 모양입니다. 정말 단도직입적인 내용입니다.""이 관찰기지에 함부로 손대는 행위는 엄격히 금지되어 있습니다. 왕조 사유 재산을 습격하거나 손상할시에는 무력으로 대처할것입니다.""","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[4]","","","",""
"src-en/data/events_ghost.xml:32","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[5]","당신은 우선 눈을 의심하지만, 웬걸요. 여긴 유령 왕조 구역에서 한참 떨어진 곳에 세워진 왕조 전초기지 입니다.","data/events_ghost.xml$/FTL/textList[@name=""TEXT_DYNASTY_OUTPOST""]/text[5]","","","",""
"src-en/data/events_ghost.xml:38","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/text","전초기지를 공격한다.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/text","","","",""
"src-en/data/events_ghost.xml:40","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/text","만약 왕조가 이 구역을 관찰하고 있었다면, 이미 방대한 양의 데이터를 축적했을 가능성이 큽니다... 그리고 데이터는 어떻게든 가치가 있겠지요!","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/text","","","",""
"src-en/data/events_ghost.xml:43","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/choice/text","계속...","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_ghost.xml:49","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/text","기지를 무시한다.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/text","","","",""
"src-en/data/events_ghost.xml:51","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/text","유령 왕조가 이 은하 곳곳에 기지를 세운 이유는 뉴턴님도 모를겁니다. 하지만 이에 관여하는 것은 정말 안좋은 생각임이 분명합니다.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/text","","","",""
"src-en/data/events_ghost.xml:53","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/choice[1]/text","함선에서 무언가를 한다.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_ghost.xml:57","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/choice[2]/text","아무것도 하지 않는다.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_ghost.xml:63","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[3]/text","(데시우스) 기지에 있는 데이터에 접근할 수 있는 권한을 요청한다.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[3]/text","","","",""
"src-en/data/events_ghost.xml:65","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[3]/event/text","만약 왕조가 이 구역을 관찰하고 있었다면, 이미 방대한 양의 데이터를 축적했을 가능성이 큽니다. 다행히도, 당신에게는 이 데이터에 접근할수 있는 권한을 줄수 있는 든든한 아군이 있군요. 하지만 입에 발린 소리와는 별개로, 보급품과 반란군 함대에 대한 이점을 획득할수 있게 되었습니다.","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST""]/choice[3]/event/text","","","",""
"src-en/data/events_ghost.xml:77","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[1]/text","전초기지를 공격한다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[1]/text","","","",""
"src-en/data/events_ghost.xml:79","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[1]/event/text","만약 왕조가 이 구역을 관찰하고 있었다면, 이미 방대한 양의 데이터를 축적했을 가능성이 큽니다... 그리고 데이터는 어떻게든 가치가 있겠지요!","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[1]/event/text","","","",""
"src-en/data/events_ghost.xml:82","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[1]/event/choice/text","계속...","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_ghost.xml:88","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/text","기지를 무시한다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/text","","","",""
"src-en/data/events_ghost.xml:90","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/event/text","유령 왕조가 이 은하 곳곳에 기지를 세운 이유는 뉴턴님도 모를겁니다. 하지만 이에 관여하는 것은 정말 안좋은 생각임이 분명합니다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/event/text","","","",""
"src-en/data/events_ghost.xml:92","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/event/choice[1]/text","함선에서 무언가를 한다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_ghost.xml:96","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/event/choice[2]/text","아무것도 하지 않는다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_ghost.xml:102","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[3]/text","(데시우스) 기지에 있는 데이터에 접근할 수 있는 권한을 요청한다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[3]/text","","","",""
"src-en/data/events_ghost.xml:104","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[3]/event/text","만약 왕조가 이 구역을 관찰하고 있었다면, 이미 방대한 양의 데이터를 축적했을 가능성이 큽니다. 다행히도, 당신에게는 이 데이터에 접근할수 있는 권한을 줄수 있는 든든한 아군이 있군요. 하지만 입에 발린 소리와는 별개로, 보급품과 반란군 함대에 대한 이점을 획득할수 있게 되었습니다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_OUTPOST""]/choice[3]/event/text","","","",""
"src-en/data/events_ghost.xml:113","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST_DEFEAT""]/text","전초기지가 함락되었습니다. 유령 왕조가 썩 좋아할것 같지는 않습니다만, 그들이 뭐 어쩔건가요?","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST_DEFEAT""]/text","","","",""
"src-en/data/events_ghost.xml:116","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST_DEFEAT""]/choice/text","계속...","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST_DEFEAT""]/choice/text","","","",""
"src-en/data/events_ghost.xml:118","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST_DEFEAT""]/choice/event/text","일종의 블랙박스 같아 보이는 기지의 컴퓨터 단말기 하나가 여전히 가동중인 모양입니다. 단말기 안에는 매우 자세한 구역 지도와 반란군 함대 진행 예측도가 저장되어 있었습니다. 매우 유용할것 같군요!","data/events_ghost.xml$/FTL/event[@name=""DYNASTY_OUTPOST_DEFEAT""]/choice/event/text","","","",""
"src-en/data/events_ghost.xml:142","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/text","이번 신호소는 이 구역에 깔린 단조로운 보라색 성운에서 잠시나마 벗어나게 해줍니다. 저 멀리 유령 왕조의 의사당이 있는듯 하고, 그리고 Prime Reaper의 궁전도 보입니다. 당신은 고스트들이 이런 주요 건물에 방어시설을 거의 세우지 않았다는 사실에 놀랍니다...","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/text","","","",""
"src-en/data/events_ghost.xml:145","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/text","계속...","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/text","","","",""
"src-en/data/events_ghost.xml:147","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/text","당신은 접근하자 뭔가 매우 잘못됨을 느낍니다. 빈 우주공간은 요란한 사이렌 소리로 가득차기 시작했고, 표면에서는 저 멀리 보이는 색깔진 얼룩들이 황급히 이리저리 움직이기 시작했습니다. 거대한 검은 물체의 그림자가 저 멀리 궁전에 접근하기 시작하면서 동떨어진 곳에서 발포하는 레이저 소리가 들리고, 유령 왕조 최고의 함대의 얼마 남지 않은 잔존병들만이 그 뒤를 바짝 따라가고있습니다..","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/text","","","",""
"src-en/data/events_ghost.xml:149","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/text","함선에 접근한다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/text","","","",""
"src-en/data/events_ghost.xml:151","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/text","이 함선은 무인함선인듯 하고, 보통 무인함선보다 훨씬 큽니다. 무인함선은 당신이 스캔 범위에 들어오자마자 교신하기 시작합니다. ""여기를 떠나시는게 바람직할겁니다. 저는 당신을 죽이고자 하는게 아닙니다. 적어도 오늘은 말이죠. 저는 차라리 더 쉬운 목표물을 상대로 제 함체를 시험하는데 배터리를 소비하고 싶습니다. 당장 떠나십시오. 꼭 먼 훗날에 죽여드리겠습니다. 약속하죠."" 로봇 치고는 수상할정도로 점잖은 말투군요...","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/text","","","",""
"src-en/data/events_ghost.xml:154","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[1]/text","이 고철덩이에 예절을 주입시키자.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_ghost.xml:156","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[1]/event/text","""전혀 바람직한 결정이 아니군요. 당신의 실패는 곧 저의 즐거움입니다. 지금 당신에게 매우 불리한 상황인거는 함장도 잘 아시겠지요? 어찌됬든.. 당신은 여기서 죽게 될겁니다.""","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_ghost.xml:159","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[1]/event/choice/text","계속...","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_ghost.xml:165","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[2]/text","이 수상한 경고를 받아들이고 떠난다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_ghost.xml:167","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[2]/event/text","""현명한 선택입니다. 제 상관들이 당신처럼 내 말을 들었으면 참 좋을텐데 말이죠.""","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_ghost.xml:173","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[2]/text","지금이 떠나기 딱 좋은 시기다..","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[2]/text","","","",""
"src-en/data/events_ghost.xml:175","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[2]/event/text","이 곳은 연방함선이 있기에 좋은 곳이 아닙니다. 당신은 유령 왕조에 빚지고 있는 신세가 아닙니다. 당신은 소중한 시간을 할애해 가며 반란군이 갓 만들어낸 저 흉물로부터 유령 왕조를 구하지는 않을 겁니다.","data/events_ghost.xml$/FTL/event[@name=""NEBULA_DYNASTY_DREADNAUGHT""]/choice/event/choice[2]/event/text","","","",""
