"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_guards.xml:15","data/events_guards.xml$/FTL/textList[@name=""TEXT_GUARD_SIGNAL""]/text[1]","It appears the guard ship is sending out a distress signal to a nearby ASB platform! Brace for impact!","data/events_guards.xml$/FTL/textList[@name=""TEXT_GUARD_SIGNAL""]/text[1]","","","",""
"src-en/data/events_guards.xml:16","data/events_guards.xml$/FTL/textList[@name=""TEXT_GUARD_SIGNAL""]/text[2]","Scans show the guard has sent a request for backup from an ASB defense system. That can't be good...","data/events_guards.xml$/FTL/textList[@name=""TEXT_GUARD_SIGNAL""]/text[2]","","","",""
"src-en/data/events_guards.xml:17","data/events_guards.xml$/FTL/textList[@name=""TEXT_GUARD_SIGNAL""]/text[3]","You catch chatter on the other ship, mentioning something about a signal requesting for ASB backup! Looks like we might have another hazard to worry about.","data/events_guards.xml$/FTL/textList[@name=""TEXT_GUARD_SIGNAL""]/text[3]","","","",""
"src-en/data/events_guards.xml:22","data/events_guards.xml$/FTL/event[@name=""GUARD_SIGNAL""]/choice[1]/text","(Signal Diluter) Jam their signal.","data/events_guards.xml$/FTL/event[@name=""GUARD_SIGNAL""]/choice[1]/text","","","",""
"src-en/data/events_guards.xml:24","data/events_guards.xml$/FTL/event[@name=""GUARD_SIGNAL""]/choice[1]/event/text","When no ASB activates, you assume that is a good sign that your augment has functioned properly, and you continue to fight.","data/events_guards.xml$/FTL/event[@name=""GUARD_SIGNAL""]/choice[1]/event/text","","","",""
"src-en/data/events_guards.xml:28","data/events_guards.xml$/FTL/event[@name=""GUARD_SIGNAL""]/choice[2]/text","Continue...","data/events_guards.xml$/FTL/event[@name=""GUARD_SIGNAL""]/choice[2]/text","","","",""
"src-en/data/events_guards.xml:37","data/events_guards.xml$/FTL/eventList[@name=""GUARD_MIND""]/event[1]/text","The captain struggles to keep the ship on track, but the rest of the crew seems to know something is up and keeps the ship on target.","data/events_guards.xml$/FTL/eventList[@name=""GUARD_MIND""]/event[1]/text","","","",""
"src-en/data/events_guards.xml:41","data/events_guards.xml$/FTL/eventList[@name=""GUARD_MIND""]/event[1]/choice/text","Continue...","data/events_guards.xml$/FTL/eventList[@name=""GUARD_MIND""]/event[1]/choice/text","","","",""
"src-en/data/events_guards.xml:46","data/events_guards.xml$/FTL/eventList[@name=""GUARD_MIND""]/event[2]/text","Your mind control proves effective and the guard ship goes silent.","data/events_guards.xml$/FTL/eventList[@name=""GUARD_MIND""]/event[2]/text","","","",""
"src-en/data/events_guards.xml:53","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[1]/text","You try to cloak and evade the enemy ship, but their scanners are too good and they lock onto your location!","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[1]/text","","","",""
"src-en/data/events_guards.xml:56","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[1]/choice/text","Continue...","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[1]/choice/text","","","",""
"src-en/data/events_guards.xml:61","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[2]/text","You try to cloak and evade the enemy ship, but their scanners are too good and they lock onto your location!","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[2]/text","","","",""
"src-en/data/events_guards.xml:64","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[2]/choice/text","Continue...","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[2]/choice/text","","","",""
"src-en/data/events_guards.xml:69","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[3]/text","You successfully manage to slip past the guard without being noticed.","data/events_guards.xml$/FTL/eventList[@name=""GUARD_CLOAK""]/event[3]/text","","","",""
"src-en/data/events_guards.xml:76","data/events_guards.xml$/FTL/eventList[@name=""GUARD_ESCAPE""]/event[1]/text","You attempt to slip past the guard, but they're faster than expected and catch up to you!","data/events_guards.xml$/FTL/eventList[@name=""GUARD_ESCAPE""]/event[1]/text","","","",""
"src-en/data/events_guards.xml:79","data/events_guards.xml$/FTL/eventList[@name=""GUARD_ESCAPE""]/event[1]/choice/text","Continue...","data/events_guards.xml$/FTL/eventList[@name=""GUARD_ESCAPE""]/event[1]/choice/text","","","",""
"src-en/data/events_guards.xml:84","data/events_guards.xml$/FTL/eventList[@name=""GUARD_ESCAPE""]/event[2]/text","You successfully manage to escape from the guard's range.","data/events_guards.xml$/FTL/eventList[@name=""GUARD_ESCAPE""]/event[2]/text","","","",""
"src-en/data/events_guards.xml:126","data/events_guards.xml$/FTL/textList[@name=""TEXT_START_CIVILIAN""]/text[1]","You have arrived in a Civilian sector. The Federation's promises to keep these sectors safe has fallen through, and now the civilians have turned to establishing their own militia. We shouldn't see too much trouble here.","data/events_guards.xml$/FTL/textList[@name=""TEXT_START_CIVILIAN""]/text[1]","","","",""
"src-en/data/events_guards.xml:127","data/events_guards.xml$/FTL/textList[@name=""TEXT_START_CIVILIAN""]/text[2]","You have arrived in a Civilian sector. The civilian-run Militia here is competent enough, but they're a little suspicious of strangers. Keep your Federation ID ready just in case.","data/events_guards.xml$/FTL/textList[@name=""TEXT_START_CIVILIAN""]/text[2]","","","",""
"src-en/data/events_guards.xml:139","data/events_guards.xml$/FTL/event[@name=""START_CIVILIAN""]/choice[1]/text","Continue...","data/events_guards.xml$/FTL/event[@name=""START_CIVILIAN""]/choice[1]/text","","","",""
"src-en/data/events_guards.xml:143","data/events_guards.xml$/FTL/event[@name=""START_CIVILIAN""]/choice[2]/text","Continue...","data/events_guards.xml$/FTL/event[@name=""START_CIVILIAN""]/choice[2]/text","","","",""
"src-en/data/events_guards.xml:149","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/text","Something seems off here. Usually, the Militia wouldn't bat an eye at ships like yours, but now, you catch suspicious chatter on the guard ship.","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/text","","","",""
"src-en/data/events_guards.xml:151","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/choice/text","Continue...","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/choice/text","","","",""
"src-en/data/events_guards.xml:153","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/choice/event/text","It seems your track record has caught up to you. The guard's crew have heard enough of the crimes you've been committing, and they don't intend to let you into the sector!","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/choice/event/text","","","",""
"src-en/data/events_guards.xml:156","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/choice/event/choice/text","Continue...","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN_CRIMINAL""]/choice/event/choice/text","","","",""
"src-en/data/events_guards.xml:164","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN""]/text","The Militia are tasked with protecting this sector, and have instated a guard to prevent unlawful entry to the sector. Luckily, you don't fall into this category.","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN""]/text","","","",""
"src-en/data/events_guards.xml:167","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN""]/choice[1]/text","Ignore the guard.","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN""]/choice[1]/text","","","",""
"src-en/data/events_guards.xml:169","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN""]/choice[1]/event/text","You now have some time to do something on the ship.","data/events_guards.xml$/FTL/event[@name=""GUARD_CIVILIAN""]/choice[1]/event/text","","","",""
