"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_hektar.xml:4","data/events_hektar.xml$/FTL/event[@name=""TEST_HEKTAR_STORE""]/text","Demo Store.","data/events_hektar.xml$/FTL/event[@name=""TEST_HEKTAR_STORE""]/text","","","",""
"src-en/data/events_hektar.xml:13","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/text","This distress beacon has landed you somewhere unexpected - a lush terraformed paradise, housing in its center a vast ring shaped building which is home to none other than Hektar HQ. Strangely, the distress beacon is broadcasting only on a few specific frequencies, one of which is a more secretive Federation channel.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/text","","","",""
"src-en/data/events_hektar.xml:17","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/text","Investigate.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/text","","","",""
"src-en/data/events_hektar.xml:19","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/text","You land on the HQ landing pad, surprised to find no intervention from any kind of security. As you approach the building however, you're stopped by a rather dangerous looking security system, which refuses you entry.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/text","","","",""
"src-en/data/events_hektar.xml:21","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/text","Attempt to gain access.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_hektar.xml:23","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/text","Your attempt at entry is met by alarms, which activate security turrets that fire upon your ship! Fortunately, you're able to shut them down and gain access afterwards, but your ship has taken a beating.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_hektar.xml:26","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/choice/text","Continue...","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_hektar.xml:32","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[2]/text","(Hektar Employee) Attempt to gain access.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_hektar.xml:36","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[3]/text","(Upg. Hacking) Attempt to gain access.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[3]/text","","","",""
"src-en/data/events_hektar.xml:40","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[4]/text","(Phasing Crew) Attempt to gain access.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[4]/text","","","",""
"src-en/data/events_hektar.xml:44","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[5]/text","(Metyunt) Attempt to gain access.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[5]/text","","","",""
