"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_lightspeed.xml:14","data/events_lightspeed.xml$/FTL/textList/text[1]","You've entered hyperspeed. Around you swirls distant stars and planets as they fly past at breakneck speed.","data/events_lightspeed.xml$/FTL/textList/text[1]","","","",""
"src-en/data/events_lightspeed.xml:15","data/events_lightspeed.xml$/FTL/textList/text[2]","You've entered hyperspeed. The mild concern of smashing into a planet crosses your mind, but you figure some sort of security system is in place to prevent that. Hopefully.","data/events_lightspeed.xml$/FTL/textList/text[2]","","","",""
"src-en/data/events_lightspeed.xml:16","data/events_lightspeed.xml$/FTL/textList/text[3]","You've entered hyperspeed. It's amazing to think long ago the idea of travelling between worlds in a matter of minutes to hours was nothing but a fantasy.","data/events_lightspeed.xml$/FTL/textList/text[3]","","","",""
"src-en/data/events_lightspeed.xml:17","data/events_lightspeed.xml$/FTL/textList/text[4]","You've entered hyperspeed. You hope the light doesn't mind that you've showed them up.","data/events_lightspeed.xml$/FTL/textList/text[4]","","","",""
"src-en/data/events_lightspeed.xml:18","data/events_lightspeed.xml$/FTL/textList/text[5]","You've entered hyperspeed. Old Earth scientists would be proud to know their research wasn't in vain.","data/events_lightspeed.xml$/FTL/textList/text[5]","","","",""
"src-en/data/events_lightspeed.xml:19","data/events_lightspeed.xml$/FTL/textList/text[6]","You've entered hyperspeed. You can feel the gentle vibrations running down the ship. It would be relaxing, if it wasn't for the giant space rocks flying towards your ship at alarming speeds every few seconds.","data/events_lightspeed.xml$/FTL/textList/text[6]","","","",""
"src-en/data/events_lightspeed.xml:20","data/events_lightspeed.xml$/FTL/textList/text[7]","You've entered hyperspeed. You make a quick trip to the engines to listen to the FTL drive hum away as it works.","data/events_lightspeed.xml$/FTL/textList/text[7]","","","",""
"src-en/data/events_lightspeed.xml:21","data/events_lightspeed.xml$/FTL/textList/text[8]","You've entered hyperspeed. The journey to the next sector will hopefully be quick. The Rebel fleet might be fast, but they still can't follow you through hyperspeed.","data/events_lightspeed.xml$/FTL/textList/text[8]","","","",""
"src-en/data/events_lightspeed.xml:22","data/events_lightspeed.xml$/FTL/textList/text[9]","You've entered hyperspeed. You catch a brief glimpse of what you think might be another ship in hyperspeed as well, but they quickly pass by.","data/events_lightspeed.xml$/FTL/textList/text[9]","","","",""
"src-en/data/events_lightspeed.xml:23","data/events_lightspeed.xml$/FTL/textList/text[10]","You've entered hyperspeed. It must be an interesting life as a Civilian who never leaves their home planet. It's a tough choice sure, but the life of a traveller is one you'd never pass up.","data/events_lightspeed.xml$/FTL/textList/text[10]","","","",""
"src-en/data/events_lightspeed.xml:24","data/events_lightspeed.xml$/FTL/textList/text[11]","You've entered hyperspeed. Your Multiverse drive is still charging. It can take months for it to be ready for the next reality jump, but your mission here isn't over yet anyways.","data/events_lightspeed.xml$/FTL/textList/text[11]","","","",""
"src-en/data/events_lightspeed.xml:25","data/events_lightspeed.xml$/FTL/textList/text[12]","You've entered hyperspeed. Not to be confused with Multiverse travel, hyperspeed is merely the process of travelling from system to system, or sector to sector.","data/events_lightspeed.xml$/FTL/textList/text[12]","","","",""
"src-en/data/events_lightspeed.xml:26","data/events_lightspeed.xml$/FTL/textList/text[13]","You've entered hyperspeed. While it can take mere minutes to travel between two beacons, it can take hours to travel between sectors. Fortunately this delay applies to all ships, including the Rebels.","data/events_lightspeed.xml$/FTL/textList/text[13]","","","",""
"src-en/data/events_lightspeed.xml:27","data/events_lightspeed.xml$/FTL/textList/text[14]","You've entered hyperspeed. Your journey to the next sector should hopefully remain uneventful. Dead-space, as it's called, is the territory between sectors, and is known to be mostly empty.","data/events_lightspeed.xml$/FTL/textList/text[14]","","","",""
"src-en/data/events_lightspeed.xml:31","data/events_lightspeed.xml$/FTL/event[@name=""ATLAS_EQUIPMENT""]/text","If you wish to do something during hyperspeed, now would be the time to do it.","data/events_lightspeed.xml$/FTL/event[@name=""ATLAS_EQUIPMENT""]/text","","","",""
