"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_mantis.xml.append:30","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/text","You come across an Engi wreck with one life-sign aboard; it turns out to be a Suzerain, and the sole survivor of the Mantis boarding party that wiped out the ship's crew. He's in no state to fight and he's brought aboard.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/text","","","",""
"src-en/data/events_mantis.xml.append:33","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[1]/text","Release him.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[1]/text","","","",""
"src-en/data/events_mantis.xml.append:37","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[2]/text","Kill him.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[2]/text","","","",""
"src-en/data/events_mantis.xml.append:41","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[3]/text","(Mantis Crew) Interrogate him.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[3]/text","","","",""
"src-en/data/events_mantis.xml.append:45","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/text","(Mind Control) Interrogate him.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/text","","","",""
"src-en/data/events_mantis.xml.append:47","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/event/text","Your mind control device allows you to quickly get his story without resistance. It appears the boarding party was attempting to steal an weapon that the Engi ship was transporting. However their team was wiped out by drones.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/event/text","","","",""
"src-en/data/events_mantis.xml.append:49","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/event/choice/text","Continue...","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/event/choice/text","","","",""
"src-en/data/events_mantis.xml.append:51","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/event/choice/event/text","You find the weapon in a hidden storage hold and decide to patch the ship up enough to let the Mantis leave.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_CAPTURE_COMMANDO""]/choice[4]/event/choice/event/text","","","",""
"src-en/data/events_mantis.xml.append:60","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_RELEASE""]/event[1]/text","You help get the Engi ship up and running but take some of their supplies. He takes off without another word.","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_RELEASE""]/event[1]/text","","","",""
"src-en/data/events_mantis.xml.append:64","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_RELEASE""]/event[2]/text","He takes your mercy as a sign of weakness and rigs up a small timed explosive before making off in the Engi vessel.","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_RELEASE""]/event[2]/text","","","",""
"src-en/data/events_mantis.xml.append:71","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_KILL""]/event[1]/text","The Mantis Suzerain shows no fear as the airlock's inner doors are sealed and space prepares to take him. You press the switch and then he's gone, whisked out into the great black.","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_KILL""]/event[1]/text","","","",""
"src-en/data/events_mantis.xml.append:75","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_KILL""]/event[2]/text","You strip the Engi ship before preparing to deal with the Mantis. However, the Suzerain immediately realizes your intentions and attacks!","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_KILL""]/event[2]/text","","","",""
"src-en/data/events_mantis.xml.append:82","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_TALK""]/event[1]/text","It's not clear what occurs between the two Mantis behind the locked door, but when they emerge the Suzerain is prepared to provide telemetry on the local sector. He then leaves on the Engi ship. Your map has been updated.","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_TALK""]/event[1]/text","","","",""
"src-en/data/events_mantis.xml.append:86","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_TALK""]/event[2]/text","After a short time alone with the Suzerain, you are told he wishes to join the crew. Although you are surprised at the Suzerain's willingness to swap allegiances, you trust your crewmembers' judgement about him.","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_CAPTURE_COMMANDO_TALK""]/event[2]/text","","","",""
"src-en/data/events_mantis.xml.append:93","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/text","This node is currently home to a Mantis leisure ship: a place of brothels and combat arenas for warriors to release steam. When they scan your inventory they indicate that you're eligible to engage in a grand game of chance.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/text","","","",""
"src-en/data/events_mantis.xml.append:95","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/text","You don't gamble with crooks. Prepare to jump.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/text","","","",""
"src-en/data/events_mantis.xml.append:97","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/event/text","Better not to get involved in what's going on in there.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/event/text","","","",""
"src-en/data/events_mantis.xml.append:99","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/event/choice[1]/text","Do something onboard the ship.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_mantis.xml.append:103","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/event/choice[2]/text","Do nothing.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_mantis.xml.append:109","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[2]/text","Bet 50 scrap on the warrior with blue paint.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[2]/text","","","",""
"src-en/data/events_mantis.xml.append:111","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[2]/event/text","You watch over the view-screen as two Mantis juveniles are pitched at one another in combat.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[2]/event/text","","","",""
"src-en/data/events_mantis.xml.append:116","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[2]/event/choice/text","Continue...","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[2]/event/choice/text","","","",""
"src-en/data/events_mantis.xml.append:122","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[3]/text","Bet 50 scrap on the warrior with red paint.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[3]/text","","","",""
"src-en/data/events_mantis.xml.append:124","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[3]/event/text","You watch over the view-screen as two Mantis juveniles are pitched at one another in combat.","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[3]/event/text","","","",""
"src-en/data/events_mantis.xml.append:129","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[3]/event/choice/text","Continue...","data/events_mantis.xml.append$/FTL/event[@name=""MANTIS_GAMBLE""]/choice[3]/event/choice/text","","","",""
"src-en/data/events_mantis.xml.append:137","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_GAMBLE_BLUE""]/event[1]/text","The one in blue gets pressed into a corner, but he lashes out at the last moment, decapitating his opponent. You claim your winnings!","data/events_mantis.xml.append$/FTL/eventList[@name=""MANTIS_GAMBLE_BLUE""]/event[1]/text","","","",""
