"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_multiverse.xml:19","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/destroyed/text",".","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/destroyed/text","","","",""
"src-en/data/events_multiverse.xml:22","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/deadCrew/text",".","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/deadCrew/text","","","",""
"src-en/data/events_multiverse.xml:31","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/unvisitedTooltip","This is the location of the Judges.","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_multiverse.xml:32","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/visitedTooltip","Explored location. Nothing left of interest.","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_multiverse.xml:33","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/undiscoveredTooltip","An unvisited location.","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/undiscoveredTooltip","","","",""
"src-en/data/events_multiverse.xml:43","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/text","A strange vessel approaches, and on your screen appears three aliens dressed in long robes and their faces covered with ornate masks. The first, a Zoltan, speaks. ""Hello. We are... the Observers. Maybe, long ago... we have met. Maybe not. We do not recall. But now, we have returned. We seek knowledge. You seek... what do you seek? We will find out, yes?""","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/text","","","",""
"src-en/data/events_multiverse.xml:46","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/text","Uhm, hello.","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/text","","","",""
"src-en/data/events_multiverse.xml:48","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/text","""Allow us to get... introductions out of the way. I am Thest, Judge of Diplomacy. I seek... travelers who make it their passion to make peace with all species. Prove to me your... dedication to building bridges and I shall grant you... great boons.""","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/text","","","",""
"src-en/data/events_multiverse.xml:50","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/text","Continue...","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/text","","","",""
"src-en/data/events_multiverse.xml:52","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/text","The second judge, a Separatist, appears next. ""[Hail], for I am: Corby - Judge of Technology. Judge of Technology! Mission of observation summary: analyze trends between travelers with [advanced] technology. Technology! Do you -possess- t-t-t-technology? Of the advanced form? Provide proof. Rewards await. Rewards await!""","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/text","","","",""
"src-en/data/events_multiverse.xml:54","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/text","Continue...","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/text","","","",""
"src-en/data/events_multiverse.xml:56","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/text","The final judge, a Rockman with the marks of a former Lost Sun commando, speaks last. ""I am WAKESON, Judge of WARFARE! A MILITARY VESSEL such as yours would not befit to be seen without an ARSENAL fit for a KING! Do not DISAPPOINT me, for great rewards await those WORTHY of my time!""","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/text","","","",""
