"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_multiverse.xml:19","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/destroyed/text","","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/destroyed/text","","","",""
"src-en/data/events_multiverse.xml:22","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/deadCrew/text","","data/events_multiverse.xml$/FTL/ship[@name=""SHIP_JUDGES""]/deadCrew/text","","","",""
"src-en/data/events_multiverse.xml:31","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/unvisitedTooltip","심판자들이 위치한 송신소입니다.","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_multiverse.xml:32","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/visitedTooltip","이미 방문한 송신소입니다. 더 이상 흥미로운 건 없습니다.","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_multiverse.xml:33","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/undiscoveredTooltip","방문하지 않은 송신소입니다.","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_LOAD""]/beaconType/undiscoveredTooltip","","","",""
"src-en/data/events_multiverse.xml:43","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/text","","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/text","","","",""
"src-en/data/events_multiverse.xml:46","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/text","","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/text","","","",""
"src-en/data/events_multiverse.xml:48","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/text","","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/text","","","",""
"src-en/data/events_multiverse.xml:50","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/text","계속...","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/text","","","",""
"src-en/data/events_multiverse.xml:52","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/text","","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/text","","","",""
"src-en/data/events_multiverse.xml:54","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/text","계속...","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/text","","","",""
"src-en/data/events_multiverse.xml:56","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/text","","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/text","","","",""
"src-en/data/events_multiverse.xml:58","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/choice/text","계속...","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/choice/text","","","",""
"src-en/data/events_multiverse.xml:60","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/choice/event/text","","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NEW""]/choice/event/choice/event/choice/event/choice/event/text","","","",""
"src-en/data/events_multiverse.xml:73","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NORMAL""]/text","","data/events_multiverse.xml$/FTL/event[@name=""THE_JUDGES_NORMAL""]/text","","","",""
