"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_nebula.xml.append:22","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/beaconType/undiscoveredTooltip","An unvisited location.","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/beaconType/undiscoveredTooltip","","","",""
"src-en/data/events_nebula.xml.append:23","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/beaconType/unvisitedTooltip","An unvisited location.","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_nebula.xml.append:24","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/beaconType/visitedTooltip","This is the exit beacon. Go here to travel to the next sector.","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_nebula.xml.append:26","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/text","You've discovered the exit beacon out of the sector. Once the FTL drive is charged you'll be able to leave this sector.","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/text","","","",""
"src-en/data/events_nebula.xml.append:28","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/choice[1]/text","Explore.","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/choice[1]/text","","","",""
"src-en/data/events_nebula.xml.append:32","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/choice[2]/text","Check the storage.","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/choice[2]/text","","","",""
"src-en/data/events_nebula.xml.append:36","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/choice[3]/text","Do nothing.","data/events_nebula.xml.append$/FTL/event[@name=""FINISH_BEACON_UNEXPLORED""]/choice[3]/text","","","",""
"src-en/data/events_nebula.xml.append:44","data/events_nebula.xml.append$/FTL/event[@name=""NEBULA_FINISH_BEACON_UNEXPLORED""]/beaconType/undiscoveredTooltip","An unvisited location.","data/events_nebula.xml.append$/FTL/event[@name=""NEBULA_FINISH_BEACON_UNEXPLORED""]/beaconType/undiscoveredTooltip","","","",""
"src-en/data/events_nebula.xml.append:45","data/events_nebula.xml.append$/FTL/event[@name=""NEBULA_FINISH_BEACON_UNEXPLORED""]/beaconType/unvisitedTooltip","An unvisited location.","data/events_nebula.xml.append$/FTL/event[@name=""NEBULA_FINISH_BEACON_UNEXPLORED""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_nebula.xml.append:46","data/events_nebula.xml.append$/FTL/event[@name=""NEBULA_FINISH_BEACON_UNEXPLORED""]/beaconType/visitedTooltip","This is the exit beacon. Go here to travel to the next sector.","data/events_nebula.xml.append$/FTL/event[@name=""NEBULA_FINISH_BEACON_UNEXPLORED""]/beaconType/visitedTooltip","","","",""
