"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_nexus.xml:28","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/text","The coordinates you found in Sylvan's secret room lead to a seemingly unremarkable stretch of space. You detect a couple anomalous signals but your preliminary scans can't lock onto anything.","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/text","","","",""
"src-en/data/events_nexus.xml:31","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/text","(Anomaly Detector) Your scanners are showing all kinds of strange results.","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/text","","","",""
"src-en/data/events_nexus.xml:33","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/text","Your advanced scanners lock onto a strange anomaly some distance away. You track it down and soon find yourself in the atmosphere of a vast ocean planet facing a giant rift. For a few moments you can bring yourself to do nothing other than stare in awe until you snap back to reality and take notice of the even more unusual patterns of this particular rift. It's unusually stable, and if you didn't know better you'd almost say it's man-made...","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/text","","","",""
"src-en/data/events_nexus.xml:36","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/text","Continue...","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_nexus.xml:38","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/text","In the distance you can make out a ship flying towards you, and you quickly realize it's Sylvan! ""Ssstranger, you ssshould not be here... How did you find thisss placcce? Oh, it doesss not matter. But you mussst not ssstay here ssstranger. It isss dangerousss!""","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_nexus.xml:41","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/text","What is this place?","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_nexus.xml:43","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/text","""Thisss isss not a good time for quessstionsss, ssstranger. You mussssn't go any clossser. I wissssh I could explain ssstranger, but thisss isss very ssserious. Thissss isss my final warning. Turn back or I'll have no choiccce but to make you, sssstranger...""","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_nexus.xml:45","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/text","We aren't leaving until we find out what this is.","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_nexus.xml:47","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/event/text","""Then I'm afraid you give me no choicccce, ssstranger...""","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_nexus.xml:51","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/event/choice/text","Continue...","data/events_nexus.xml$/FTL/event[@name=""NEXUS_PORTAL""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/event/choice/text","","","",""
