"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_outposts.xml:26","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/beaconType/unvisitedTooltip","","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_outposts.xml:27","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/beaconType/visitedTooltip","","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_outposts.xml:29","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/text","You've discovered a Federation outpost! It's mostly staffed by civilians, but it bears the Federation colors nonetheless.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/text","","","",""
"src-en/data/events_outposts.xml:32","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/text","Contact the outpost.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/text","","","",""
"src-en/data/events_outposts.xml:34","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/text","You transfer your Federation ID, just to be sure. They welcome you on-board. ""If it isn't the legendary ship we've heard so much about... It is an honor to meet you, captain. Whatever you need, we'll be happy to assist.""","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/text","","","",""
"src-en/data/events_outposts.xml:37","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[1]/text","Request fuel.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_outposts.xml:39","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[1]/event/text","A refuelling team is dispatched to restock your fuel supplies.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_outposts.xml:46","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[2]/text","Request ammunition.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_outposts.xml:48","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[2]/event/text","A shipment of ammunition is delivered to your ship.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_outposts.xml:55","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[3]/text","Request droneparts.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[3]/text","","","",""
"src-en/data/events_outposts.xml:57","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[3]/event/text","A shipment of ammunition is delivered to your ship.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[1]/event/choice[3]/event/text","","","",""
"src-en/data/events_outposts.xml:66","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/text","Contact the outpost.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/text","","","",""
"src-en/data/events_outposts.xml:68","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/text","You transfer your Federation ID, just to be sure. They welcome you on-board. ""If it isn't the legendary ship we've heard so much about... It is an honor to meet you, captain. Whatever you need, we'll be happy to assist.""","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/text","","","",""
"src-en/data/events_outposts.xml:70","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[1]/text","Request repairs.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_outposts.xml:72","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[1]/event/text","A Civilian repair team is dispatched to fix up your ship.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[1]/event/text","","","",""
"src-en/data/events_outposts.xml:77","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[2]/text","Request fuel.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_outposts.xml:79","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[2]/event/text","A refuelling team is dispatched to restock your fuel supplies.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[2]/event/text","","","",""
"src-en/data/events_outposts.xml:86","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[3]/text","Request ammunition.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[3]/text","","","",""
"src-en/data/events_outposts.xml:88","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[3]/event/text","A shipment of ammunition is delivered to your ship.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[3]/event/text","","","",""
"src-en/data/events_outposts.xml:95","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[4]/text","Request droneparts.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[4]/text","","","",""
"src-en/data/events_outposts.xml:97","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[4]/event/text","A shipment of ammunition is delivered to your ship.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[2]/event/choice[4]/event/text","","","",""
"src-en/data/events_outposts.xml:106","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[3]/text","Attack the outpost!","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[3]/text","","","",""
"src-en/data/events_outposts.xml:108","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[3]/event/text","You've decided, instead of receiving help, to attack this outpost full of friendlies...","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[3]/event/text","","","",""
"src-en/data/events_outposts.xml:111","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[3]/event/choice/text","Continue...","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_CIVILIAN""]/choice[3]/event/choice/text","","","",""
"src-en/data/events_outposts.xml:128","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/beaconType/unvisitedTooltip","","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_outposts.xml:129","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/beaconType/visitedTooltip","","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_outposts.xml:131","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/text","You've discovered a Federation outpost! It's maintained primarily by a staff of Federation officers, though there's plenty of Engi onboard as well.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/text","","","",""
"src-en/data/events_outposts.xml:134","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/text","Contact the outpost.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/text","","","",""
"src-en/data/events_outposts.xml:136","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/event/text","An Engi official in Federation garb responds. ""Federation identity recognized. Orders require assistance be provided to Federation ships passing through. What assistance is required?""","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/event/text","","","",""
"src-en/data/events_outposts.xml:139","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/event/choice[1]/text","Request fuel.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_outposts.xml:141","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/event/choice[1]/event/text","A large crew drone carrying fuel cells delivers them to your ship and returns to the outpost.","data/events_outposts.xml$/FTL/event[@name=""FEDERATION_OUTPOST_ENGI""]/choice[1]/event/choice[1]/event/text","","","",""
