"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_pirate.xml.append:487","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/text","Once you arrive, your screen lights up with warnings. A nearby pirate seems to have advanced hacking tools and they have tried to shut down your Engines. Your crew manages to keep them barely operational and you move into attack.","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/text","","","",""
"src-en/data/events_pirate.xml.append:490","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/text","Continue...","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/text","","","",""
"src-en/data/events_pirate.xml.append:492","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/text","Your Engines are down, and you prepare for combat.","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/text","","","",""
"src-en/data/events_pirate.xml.append:495","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[1]/text","Continue...","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_pirate.xml.append:499","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[2]/text","(Anti-Virus) Restore your engines.","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_pirate.xml.append:501","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[2]/event/text","Your engine system is restored to full power.","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_pirate.xml.append:504","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[2]/event/choice/text","Continue...","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[1]/event/choice[2]/event/choice/text","","","",""
"src-en/data/events_pirate.xml.append:512","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[2]/text","(Hacking System) Counter the remote hacking.","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[2]/text","","","",""
"src-en/data/events_pirate.xml.append:514","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[2]/event/text","Your Hacking System automatically counters the digital assault and you move in to fight the ship.","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[2]/event/text","","","",""
"src-en/data/events_pirate.xml.append:517","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[2]/event/choice/text","Continue...","data/events_pirate.xml.append$/FTL/event[@name=""ENCOUNTER_PIRATE_NO_ESCAPE""]/choice[2]/event/choice/text","","","",""
"src-en/data/events_pirate.xml.append:535","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_SUN""]/text","This beacon has been placed too close to a super-giant class M star! The ship will gradually overheat until you get out of here... or die. A pirate, apparently oblivious to the danger of the sun, moves in to engage.","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_SUN""]/text","","","",""
"src-en/data/events_pirate.xml.append:539","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_SUN""]/choice/text","Continue...","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_SUN""]/choice/text","","","",""
"src-en/data/events_pirate.xml.append:547","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_ASTEROID""]/text","A pirate ship was lying in wait inside this asteroid field. It immediately moves in to attack.","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_ASTEROID""]/text","","","",""
"src-en/data/events_pirate.xml.append:550","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_ASTEROID""]/choice[1]/text","Turn and fight.","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_ASTEROID""]/choice[1]/text","","","",""
"src-en/data/events_pirate.xml.append:554","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_ASTEROID""]/choice[2]/text","(Piloting) Attempt to escape from the pirate.","data/events_pirate.xml.append$/FTL/event[@name=""PIRATE_ASTEROID""]/choice[2]/text","","","",""
