"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_rebel.xml.append:40","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/text","On the nearby planet there appears to be a large circus held by some suspicious looking civilians. It's not likely they'll care if you're a Federation ship.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/text","","","",""
"src-en/data/events_rebel.xml.append:43","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/text","Check out the circus.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:45","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/text","The circus is much more underwhelming and run down than it appeared from above. Most of the attractions and rides look barely functional and definitely not safe. One exhibit however catches your eye, the freak show. On display are 5 aliens, likely slaves, a Slug, Rockman, Orchid, Zoltan, and Engi.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/text","","","",""
"src-en/data/events_rebel.xml.append:47","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/text","Inspect the Slug.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:49","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/text","A bald civilian with an incredibly long beard welcomes you. ""Step right up folks, and witness Sazalaraz the All-Seeing! He can see through walls, he can see the future, and he can see into your pockets! So keep a tight hand on your wallet, or next thing you know it might be missing!""","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_rebel.xml.append:51","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/text","Offer to purchase Sazalaraz.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:53","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/text","The man looks at you strangely. ""You want to BUY Sazalaraz the All-Seeing? Yeah sure, it'll be 20 bucks.""","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_rebel.xml.append:55","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/text","Pay.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:64","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[2]/text","Nevermind.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_rebel.xml.append:70","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[2]/text","This isn't worth our time.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_rebel.xml.append:76","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[2]/text","Inspect the Rockman.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[2]/text","","","",""
