"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_rebel.xml.append:40","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/text","인근 행성에 수상한 민간인들이 벌이는 대형 서커스가 있습니다. 그들은 당신이 연방 소속 이라는 것을 신경 쓰지 않을 것입니다.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/text","","","",""
"src-en/data/events_rebel.xml.append:43","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/text","서커스를 확인한다.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:45","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/text","서커스는 멀리서 내려다 본것 보다 형편 없었으며, 지루했습니다. 대부분의 놀이기구들은 작동 하지 않았고 안전해 보이지도 않습니다. 하지만 그중 한 괴상한 쇼가 당신의 눈길을 사로잡았습니다. 슬러그, 락맨, 오키드, 졸탄, 엔지 총 5명의 종족들로 이루어진 프릭쇼 입니다.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/text","","","",""
"src-en/data/events_rebel.xml.append:47","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/text","슬러그를 살펴 본다.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:49","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/text","엄청나게 기다란 수염을 가진 대머리 인간이 당신을 맞이합니다. ""올라오십시오 여러분, 그리고 만물을 꿰뚫는 Sazalaraz를 주목하세요! 그는 벽 너머를 볼 수 있으며, 미래를 엿 볼 수도, 심지어 여러분의 주머니속에 무엇이 들었는지도 알 수 있습니다! 그러니 지갑을 잘 간수 하세요. 그렇지 않으면 지갑이 사라진지도 모를 겁니다!""","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_rebel.xml.append:51","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/text","Sazalaraz를 사겠다고 제안한다.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:53","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/text","그 남자가 당신을 이상하게 쳐다봅니다. ""만물을 꿰뚫는 Sazalaraz를 '구매'하시겠다고요? 그렇다면, 20 스크랩입니다.""","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_rebel.xml.append:55","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/text","지불한다.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rebel.xml.append:64","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[2]/text","관둔다.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_rebel.xml.append:70","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[2]/text","이건 시간 낭비야.","data/events_rebel.xml.append$/FTL/event[@name=""REBEL_CIRCUS""]/choice[1]/event/choice[1]/event/choice[2]/text","","","",""
