"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_rock.xml.append:32","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/text","","","",""
"src-en/data/events_rock.xml.append:34","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[1]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[1]/text","","","",""
"src-en/data/events_rock.xml.append:38","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[2]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[2]/text","","","",""
"src-en/data/events_rock.xml.append:42","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/text","","","",""
"src-en/data/events_rock.xml.append:44","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/event/text","","","",""
"src-en/data/events_rock.xml.append:46","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/event/choice[1]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/event/choice[1]/text","","","",""
"src-en/data/events_rock.xml.append:50","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/event/choice[2]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_APOLOGY""]/choice[3]/event/choice[2]/text","","","",""
"src-en/data/events_rock.xml.append:58","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_INTERROGATE""]/event[1]/text","","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_INTERROGATE""]/event[1]/text","","","",""
"src-en/data/events_rock.xml.append:61","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_INTERROGATE""]/event[1]/choice/text","계속...","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_INTERROGATE""]/event[1]/choice/text","","","",""
"src-en/data/events_rock.xml.append:66","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_INTERROGATE""]/event[2]/text","","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_INTERROGATE""]/event[2]/text","","","",""
"src-en/data/events_rock.xml.append:72","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_ATTACK""]/event[1]/text","","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_ATTACK""]/event[1]/text","","","",""
"src-en/data/events_rock.xml.append:75","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_ATTACK""]/event[1]/choice/text","계속...","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_ATTACK""]/event[1]/choice/text","","","",""
"src-en/data/events_rock.xml.append:80","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_ATTACK""]/event[2]/text","","data/events_rock.xml.append$/FTL/eventList[@name=""ROCK_APOLOGY_ATTACK""]/event[2]/text","","","",""
"src-en/data/events_rock.xml.append:88","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/text","","","",""
"src-en/data/events_rock.xml.append:90","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/text","","","",""
"src-en/data/events_rock.xml.append:92","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/text","","","",""
"src-en/data/events_rock.xml.append:94","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[1]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rock.xml.append:96","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[1]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_rock.xml.append:101","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[2]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_rock.xml.append:103","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[2]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_rock.xml.append:106","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[2]/event/choice/text","계속...","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[2]/event/choice/text","","","",""
"src-en/data/events_rock.xml.append:112","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[3]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[3]/text","","","",""
"src-en/data/events_rock.xml.append:114","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[3]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[3]/event/text","","","",""
"src-en/data/events_rock.xml.append:120","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[4]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[4]/text","","","",""
"src-en/data/events_rock.xml.append:122","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[4]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[4]/event/text","","","",""
"src-en/data/events_rock.xml.append:128","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[5]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[5]/text","","","",""
"src-en/data/events_rock.xml.append:130","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[5]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[5]/event/text","","","",""
"src-en/data/events_rock.xml.append:133","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[5]/event/choice/text","계속...","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[1]/event/choice[5]/event/choice/text","","","",""
"src-en/data/events_rock.xml.append:141","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[2]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[2]/text","","","",""
"src-en/data/events_rock.xml.append:143","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[2]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_PUNS""]/choice[2]/event/text","","","",""
"src-en/data/events_rock.xml.append:149","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/text","","","",""
"src-en/data/events_rock.xml.append:151","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/text","","","",""
"src-en/data/events_rock.xml.append:153","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/text","","","",""
"src-en/data/events_rock.xml.append:155","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[1]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_rock.xml.append:157","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[1]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_rock.xml.append:165","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[2]/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_rock.xml.append:167","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[2]/event/text","","data/events_rock.xml.append$/FTL/event[@name=""ROCK_CRYOBSESSION""]/choice[1]/event/choice[2]/event/text","","","",""
