"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_ruins.xml:24","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[1]","In front of you lays a massive monolith structure on the surface of a moon. The exterior is entirely black, with a few dim lights here and there. Maybe it holds something of value?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[1]","","","",""
"src-en/data/events_ruins.xml:25","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[2]","A half cubical ship, split straight down the middle, has crash landed on the nearby lava planet. Though the conditions are hazardous, there might be something of worth remaining.","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[2]","","","",""
"src-en/data/events_ruins.xml:26","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[3]","Before you lies ruins unlike anything you've ever seen. Entirely black and cubical, the skeletons of a few massive warships remain at this beacon. Maybe you can salvage something here?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[3]","","","",""
"src-en/data/events_ruins.xml:27","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[4]","A humongous cubical mega-structure lies in your wake, transmitting a short but undecipherable message. Surely if this thing still has enough power to send a message, maybe it has something worth taking?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[4]","","","",""
"src-en/data/events_ruins.xml:28","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[5]","You appear to be witnessing the aftermath of a terribly damaged and brutally torn apart mega-class carrier ship, larger than your cruiser or even the Federation's largest fleet ships. Even stranger, the wreck is entirely black and cubical. Maybe it contains something worth salvaging?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[5]","","","",""
"src-en/data/events_ruins.xml:29","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[6]","The remains of a couple strange looking Auto-ships, certainly not of Rebel design though similar in tech according to scans, are scattered around the remains of a massive cubical cruiser. Maybe there's more tech aboard the ship?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[6]","","","",""
"src-en/data/events_ruins.xml:30","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[7]","The wreck of a dated and foreign vessel is being pelted by a small and thinly dispersed asteroid field. Though the asteroids have clearly caused some damage, the storm has mostly passed by, and won't be an issue for much longer. Maybe something of value is left behind?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[7]","","","",""
"src-en/data/events_ruins.xml:34","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/text","","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/text","","","",""
"src-en/data/events_ruins.xml:37","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[1]/text","Continue...","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[1]/text","","","",""
"src-en/data/events_ruins.xml:41","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[2]/text","Continue...","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[2]/text","","","",""
