"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_salvaging.xml:19","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_FAIL""]/text","Your crew find little of value; disappointed, they return to the ship.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_FAIL""]/text","","","",""
"src-en/data/events_salvaging.xml:25","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_ARM_LOW""]/text","You wait a reasonable amount of time in hopes the arm will attract any close range junk, then retract it and observe your haul.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_ARM_LOW""]/text","","","",""
"src-en/data/events_salvaging.xml:35","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_LOW""]/text","Your crew find little, but it's still something. They return back to the ship with their haul.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_LOW""]/text","","","",""
"src-en/data/events_salvaging.xml:40","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MED""]/text","Your crew find a decent amount of salvage. They return back to the ship with their haul.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MED""]/text","","","",""
"src-en/data/events_salvaging.xml:45","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_HIGH""]/text","Your crew find a large amount of salvage. They return back to the ship with their haul.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_HIGH""]/text","","","",""
"src-en/data/events_salvaging.xml:51","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_FUEL""]/text","Your crew find a ton of fuel cells, though their origin is uncertain. They return back to the ship with their haul.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_FUEL""]/text","","","",""
"src-en/data/events_salvaging.xml:57","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/text","Your crew stumble across an abandoned minefield. Certainly dubious, but also a potential source of a large amount of ammo and scrap. However, it's risky for the crew.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/text","","","",""
"src-en/data/events_salvaging.xml:60","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[1]/text","Take the risk.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[1]/text","","","",""
"src-en/data/events_salvaging.xml:64","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[2]/text","Your Crusader knows a lot about explosives, and can also take a hit.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[2]/text","","","",""
"src-en/data/events_salvaging.xml:66","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[2]/event/text","Though your Crusader knows quite a lot about explosives, the real reason he's a good choice is his thick skin. With little danger to their well-being, they return with an impressive haul, though it's not as good as you might have gotten with a larger team.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[2]/event/text","","","",""
"src-en/data/events_salvaging.xml:71","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[3]/text","Your Paladin knows a lot about explosives, and can also take a hit.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[3]/text","","","",""
"src-en/data/events_salvaging.xml:73","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[3]/event/text","Though your Paladin knows quite a lot about explosives, the real reason he's a good choice is because of his impressive resilience. With little danger to their well-being, they return with an impressive haul, although their slow speed prevents them from gathering more without letting the Rebel fleet gain time.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[3]/event/text","","","",""
"src-en/data/events_salvaging.xml:78","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[4]/text","Your Lanius can melt down some mines for scrap.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[4]/text","","","",""
"src-en/data/events_salvaging.xml:80","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[4]/event/text","It won't yield any functional ammo, but it's low risk for some reward. You send out your Lanius to liquify as many mines as they can.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[4]/event/text","","","",""
"src-en/data/events_salvaging.xml:85","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[5]/text","Don't risk it, just bring back a few of the outliers.","data/events_salvaging.xml$/FTL/event[@name=""SALVAGE_DEFAULT_MINEFIELD""]/choice[5]/text","","","",""
"src-en/data/events_salvaging.xml:93","data/events_salvaging.xml$/FTL/eventList[@name=""SALVAGE_DEFAULT_MINEFIELD_RISK""]/event[1]/text","With some amount of grace, your crew manage to drift through the field without setting off any explosives. Disarming as many as they can, they bring back an impressive haul.","data/events_salvaging.xml$/FTL/eventList[@name=""SALVAGE_DEFAULT_MINEFIELD_RISK""]/event[1]/text","","","",""
"src-en/data/events_salvaging.xml:97","data/events_salvaging.xml$/FTL/eventList[@name=""SALVAGE_DEFAULT_MINEFIELD_RISK""]/event[2]/text","Your crew are less than graceful navigating the field, almost setting the entire thing off twice. At last, they push their luck for the final time, and one of your crew is blown into chunks! You can hear the rest of the team screaming in terror through the radio, but you silence them and order them back to the ship immediately with however much they've already collected.","data/events_salvaging.xml$/FTL/eventList[@name=""SALVAGE_DEFAULT_MINEFIELD_RISK""]/event[2]/text","","","",""
