"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_separatist.xml:22","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/beaconType/unvisitedTooltip","This is the location of a Harmony Link.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_separatist.xml:23","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/beaconType/visitedTooltip","This is the location of a Harmony Link.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_separatist.xml:25","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/text","It appears you've discovered a Harmony Link. These massive planet-sized structures are made up of trillions of nanobots, and transmit a strong signal to all of the Engi in the sector. However, it appears this one is no longer functional, likely sabotaged by the Separatists when they took control of this sector.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/text","","","",""
"src-en/data/events_separatist.xml:28","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/choice[1]/text","Continue...","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/choice[1]/text","","","",""
"src-en/data/events_separatist.xml:32","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/choice[2]/text","Continue...","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEP""]/choice[2]/text","","","",""
"src-en/data/events_separatist.xml:49","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/text","A Separatist vessel is analyzing the Harmony link. They either don't notice you or couldn't care less about your presence.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/text","","","",""
"src-en/data/events_separatist.xml:52","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/text","Hail them.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/text","","","",""
"src-en/data/events_separatist.xml:54","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/text","""Yes, we -see- you, Federation. If you wish to be useful, perhaps you could lend us some explosives. We are attempting the [demolition] of the Harmony links.""","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/text","","","",""
"src-en/data/events_separatist.xml:56","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/text","Give them 5 missiles.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_separatist.xml:58","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/event/text","You transfer over the missiles to the Separatists.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_separatist.xml:63","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/event/choice/text","Continue...","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_separatist.xml:65","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/event/choice/event/text","""Wow. This is quite -unhelpful-. We cannot even use these. I suppose this is worth about, 5 scrap.""","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[1]/event/choice/event/text","","","",""
"src-en/data/events_separatist.xml:74","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/text","Give them 15 missiles.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_separatist.xml:76","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/event/text","You transfer over the missiles to the Separatists.","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/event/text","","","",""
"src-en/data/events_separatist.xml:81","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/event/choice/text","Continue...","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/event/choice/text","","","",""
"src-en/data/events_separatist.xml:83","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/event/choice/event/text","The Separatists load the missiles, then fire them directly into the Harmony link. It shatters the exterior, sending nanobots flying, only for them to reform again without any noticeable damage. ""Well, at least now we [know]. Accept this payment.""","data/events_separatist.xml$/FTL/event[@name=""HARMONY_LINK_SEPARATIST""]/choice[1]/event/choice[2]/event/choice/event/text","","","",""
