"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_shells.xml:46","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/text","Shells usually like to take refuge in the nebulas, but it seems one has wandered too far into a clearing. They seem to think you must be hunting them, because they immediately attack!","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/text","","","",""
"src-en/data/events_shells.xml:49","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/choice/text","Continue...","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/choice/text","","","",""
"src-en/data/events_shells.xml:55","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_CLAN_SHELL_CLEARING""]/text","","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_CLAN_SHELL_CLEARING""]/text","","","",""
"src-en/data/events_shells.xml:58","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_CLAN_SHELL_CLEARING""]/choice/text","Continue...","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_CLAN_SHELL_CLEARING""]/choice/text","","","",""
"src-en/data/events_shells.xml:63","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[1]","You've discovered a Slug Clansman resting outside of the nebula. However, as soon as they spot you they abandon their rest and attack immediately.","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[1]","","","",""
"src-en/data/events_shells.xml:64","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[2]","You notice several Slug Clansmen planning out their attack on a Shell colony when they notice you eavesdropping, prompting them to retaliate!","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[2]","","","",""
"src-en/data/events_shells.xml:68","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/text","A Shell and a Slug Clansmen ship have entered a dogfight at this beacon. It seems the only way to get past is to fight one of them.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/text","","","",""
"src-en/data/events_shells.xml:70","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/text","Attack the Shells.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/text","","","",""
"src-en/data/events_shells.xml:72","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/text","You attack the Shell ship head on. The Clan ship breaks away. Apparently, their dedication to the hunt does not go so far as to putting themselves in debt of a Federation ship, and so they jump away to leave you alone with the Shells.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/text","","","",""
"src-en/data/events_shells.xml:75","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/choice/text","Continue...","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_shells.xml:81","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/text","Attack the Clansmen.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/text","","","",""
"src-en/data/events_shells.xml:83","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/text","You attack the Slug Clansmen head on. The Shells don't seem to want to stick around to see the outcome, and jump away.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/text","","","",""
"src-en/data/events_shells.xml:86","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/choice/text","Continue...","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/choice/text","","","",""
"src-en/data/events_shells.xml:92","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[3]/text","(Cloaking) Cloak and fly away.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[3]/text","","","",""
"src-en/data/events_shells.xml:96","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[4]/text","(Upg. Engines) Fly away.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[4]/text","","","",""
"src-en/data/events_shells.xml:111","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/text","Nearby drifts a Shell biologist, close to a large unpopulated planet. You receive a hail from the ship. ""Long ago, we thhhink thhhis planet might have been habitable! Even more so, it could even hold thhhe fossils to thhe missing link between thhhe Shell and Slug races! Isn't thhhat cool?""","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/text","","","",""
"src-en/data/events_shells.xml:116","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/text","Express interest.","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/text","","","",""
