"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_slug.xml.append:36","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_CLEARING""]/text","슬러그 함선이오랫동안 공터에 노출되어 있는 것은 드문 일입니다.-여기 있는 함선은 길을 잃거나 그냥 지나치는 함선일 수도 있지만 , 어느 쪽이든 그 함선은 공격하기 위해 움직입니다!","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_CLEARING""]/text","","","",""
"src-en/data/events_slug.xml.append:39","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_CLEARING""]/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_CLEARING""]/choice/text","","","",""
"src-en/data/events_slug.xml.append:48","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_PIRATE_CLEARING""]/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_PIRATE_CLEARING""]/choice/text","","","",""
"src-en/data/events_slug.xml.append:53","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_PIRATE_CLEARING""]/text[1]","근처에 해적선이 있는 것 같습니다. 긴장해야 합니다.슬러그 지역에서 사냥을 시도하는 사람은 무시무시하거나 매우 멍청한 생물뿐입니다, 두 상황 모두 위험할 것입니다.","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_PIRATE_CLEARING""]/text[1]","","","",""
"src-en/data/events_slug.xml.append:54","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_PIRATE_CLEARING""]/text[2]","""슬러그 성운으로 몰래 들어가려고 할 정도로 멍청한 새끼는 개방된 공간에 있을 것정도는 잘 알고 있지. 물건을 바치면 살려주마."" 당신은 응답 대신 전송을 차단했습니다.","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_PIRATE_CLEARING""]/text[2]","","","",""
"src-en/data/events_slug.xml.append:55","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_PIRATE_CLEARING""]/text[3]","당신이 이 구역에 존재하는 성운에서 잠시 쉬기도 전에 해적선 한 척이 뒤에 나타나 사격을 개시합니다.","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_PIRATE_CLEARING""]/text[3]","","","",""
"src-en/data/events_slug.xml.append:62","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_REBEL_CLEARING""]/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_REBEL_CLEARING""]/choice/text","","","",""
"src-en/data/events_slug.xml.append:67","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_REBEL_CLEARING""]/text[1]","당신이 송신소에 도착하면서 적함이 즉시 스캐너에 스캔됩니다. 반군이 슬러그 지역으로 진출할 줄은 몰랐습니다. 무기를 충전해야 합니다!","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_REBEL_CLEARING""]/text[1]","","","",""
"src-en/data/events_slug.xml.append:68","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_REBEL_CLEARING""]/text[2]","당신은 빈 공간에 도약하여 센서가 다시 살아나는 것을 보고 안심할 수 있었습니다. 하지만 반군 함선이 즉시 접근 하는 걸 보니 별로 달갑지가  않습니다!","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_REBEL_CLEARING""]/text[2]","","","",""
"src-en/data/events_slug.xml.append:69","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_REBEL_CLEARING""]/text[3]","근처 함선으로부터 메시지를 받습니다. ""우리의 정보가 정확했던 것 같군! 겨우 슬러그들의 구름 사이로 몰래 들어가는 걸로는 안 되지... 아무도 반란으로부터 숨을 수 없다!","data/events_slug.xml.append$/FTL/textList[@name=""TEXT_SLUG_REBEL_CLEARING""]/text[3]","","","",""
"src-en/data/events_slug.xml.append:73","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_MANTIS_CLEARING""]/text","들어오는 맨티스 함선의 통신을 감청합니다.  ""이것 봐, 이 함선 지저분한 놈들 소유 아니네. 잘라도 냄새 그렇게 심하지 않을 것 같다!"". 그들은 당신의 위치로 이동합니다.","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_MANTIS_CLEARING""]/text","","","",""
"src-en/data/events_slug.xml.append:76","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_MANTIS_CLEARING""]/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""ENCOUNTER_SLUG_MANTIS_CLEARING""]/choice/text","","","",""
"src-en/data/events_slug.xml.append:91","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/text","당신은 우주에서 표류하는 난민선을 마주칩니다. 반군의 진격에서 도망쳐 연료가 떨어진 것 같습니다. 조난 표지판이 작동 중인데 탑승자가 있는지 확실하진 않습니다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/text","","","",""
"src-en/data/events_slug.xml.append:93","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[1]/text","교신을 보냅니다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:97","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/text","난민을 무시한다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/text","","","",""
"src-en/data/events_slug.xml.append:99","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/event/text","난민들은 당신을 신경 쓰지도 않고  결국 도망칩니다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/event/text","","","",""
"src-en/data/events_slug.xml.append:101","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/event/choice[1]/text","함선에서 무언가를 한다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:105","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/event/choice[2]/text","아무것도 하지 않는다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_REFUGEE_SLUG""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_slug.xml.append:115","data/events_slug.xml.append$/FTL/eventList[@name=""REFUGEE_HAIL_LIST_SLUG""]/event[2]/text","당신이 난민선을 맞이할 때 슬러그 함선이 행성계에 뛰어듭니다... 그들은  재미삼아 난민선을 사냥하다 당신을  찾은 겁니다!","data/events_slug.xml.append$/FTL/eventList[@name=""REFUGEE_HAIL_LIST_SLUG""]/event[2]/text","","","",""
"src-en/data/events_slug.xml.append:118","data/events_slug.xml.append$/FTL/eventList[@name=""REFUGEE_HAIL_LIST_SLUG""]/event[2]/choice/text","계속...","data/events_slug.xml.append$/FTL/eventList[@name=""REFUGEE_HAIL_LIST_SLUG""]/event[2]/choice/text","","","",""
"src-en/data/events_slug.xml.append:125","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/text","조난신호는 맨티스 습격자에 의해 공터에서 잡힌 민달팽이 배에서 발신된 것으로 보입니다. 그들은 비상시 주파수로 당신에게 연락합니다: ""쩨발, 당씬이 우리를 구해쭈면 우리가 가찐 모든 거쓸 드리게씁니다!""","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/text","","","",""
"src-en/data/events_slug.xml.append:127","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[1]/text","멘티스 함선을 공격한다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:129","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[1]/event/text","당신은 멘티스 함선에 무기를 장전하고 전투에 대비합니다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[1]/event/text","","","",""
"src-en/data/events_slug.xml.append:132","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[1]/event/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_slug.xml.append:138","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[2]/text","슬러그 함선을 공격한다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[2]/text","","","",""
"src-en/data/events_slug.xml.append:140","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[2]/event/text","당신은 멘티스 함선이 시작했던 것을 마무리 할려고 합니다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[2]/event/text","","","",""
"src-en/data/events_slug.xml.append:143","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[2]/event/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[2]/event/choice/text","","","",""
"src-en/data/events_slug.xml.append:149","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[3]/text","이 은하계의 모든 종족 중에서, 이 둘은 서로를 해칠 자격이 있습니다. 당신은 도약을 준비합니다.","data/events_slug.xml.append$/FTL/event[@name=""DISTRESS_SLUG_MANTIS""]/choice[3]/text","","","",""
"src-en/data/events_slug.xml.append:155","data/events_slug.xml.append$/FTL/eventList[@name=""SLUG_DISTRESS_MANTIS_SURRENDER""]/event[1]/text","그들은 더 이상 피해를 견딜 수 없을 것 같습니다. 몇 발 쏘고 나니 그들의 함선이 산산조각나고 당신은 잔해를 약탈하기 위해 움직입니다.","data/events_slug.xml.append$/FTL/eventList[@name=""SLUG_DISTRESS_MANTIS_SURRENDER""]/event[1]/text","","","",""
"src-en/data/events_slug.xml.append:159","data/events_slug.xml.append$/FTL/eventList[@name=""SLUG_DISTRESS_MANTIS_SURRENDER""]/event[2]/text","슬러그 선장이 말합니다 ""짤못해써요! 싸쏘한 씰쑤입니다! 물론 돈은 드릴 쑤 이써요! 보쎼요? 보쌍은 이미 쩐쏭해써요."" 당신은 그들이 살아서 떠날 수 있게 허락합니다.","data/events_slug.xml.append$/FTL/eventList[@name=""SLUG_DISTRESS_MANTIS_SURRENDER""]/event[2]/text","","","",""
"src-en/data/events_slug.xml.append:176","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/text","슬러그 정거장이 성운 깊숙이 숨어있습니다. 음침하지만 명백한 속임수는 보이지 않습니다. 그들은 당신을 환영하며 ""쩡말 쩌렴한 가격""에  연료를 제공합니다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/text","","","",""
"src-en/data/events_slug.xml.append:180","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[1]/text","연료를 산다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:182","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[1]/event/text","당신이 스크랩을 건네줄 때, 슬러그는 그들의 우스꽝스러운 사기극에 당신이 속아 넘어 가는 것에 대한 조소를 참기 위해 최선을 다합니다. 그나저나 당신 정말 멍청했네요.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[1]/event/text","","","",""
"src-en/data/events_slug.xml.append:188","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[1]/event/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_slug.xml.append:194","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/text","낮은 가격을 위해 협상한다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/text","","","",""
"src-en/data/events_slug.xml.append:196","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/text","""쪼아요.... 쩡말 탐욕쓰럽군요""","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/text","","","",""
"src-en/data/events_slug.xml.append:198","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[1]/text","연료를 새로운 가격에 삽니다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:200","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[1]/event/text","당신이 스크랩을 건네줄 때, 슬러그는 그들의 우스꽝스러운 사기극에 당신이 속아 넘어 가는 것에 대한 조소를 참기 위해 최선을 다합니다. 그나저나 당신 정말 멍청했네요.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[1]/event/text","","","",""
"src-en/data/events_slug.xml.append:206","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[1]/event/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_slug.xml.append:212","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/text","더 낮은 가격에 연료를 협상한다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_slug.xml.append:214","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/text","""으윽, 쩡말 당씬 은유쩍인 쩨 다리를 비트네요.""","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/text","","","",""
"src-en/data/events_slug.xml.append:216","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[1]/text","연료를 산다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:218","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[1]/event/text","당신이 스크랩을 건네줄 때, 슬러그는 그들의 우스꽝스러운 사기극에 당신이 속아 넘어 가는 것에 대한 조소를 참기 위해 최선을 다합니다. 그나저나 당신 정말 멍청했네요.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[1]/event/text","","","",""
"src-en/data/events_slug.xml.append:224","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[1]/event/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_slug.xml.append:230","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/text","더 협상한다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_slug.xml.append:232","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/text","""당씬 쩡말로 골찠거리에요 썬짱님.""","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/text","","","",""
"src-en/data/events_slug.xml.append:234","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/text","연료를 산다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:236","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/text","당신이 스크랩을 건네줄 때, 슬러그는 그들의 우스꽝스러운 사기극에 당신이 속아 넘어 가는 것에 대한 조소를 참기 위해 최선을 다합니다. 그나저나 당신 정말 멍청했네요.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/text","","","",""
"src-en/data/events_slug.xml.append:242","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_slug.xml.append:248","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/text","더 협상한다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_slug.xml.append:250","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/text","찌금 농담 하씨는 거에요? 흥쩡은 끝나써요. 이게 마찌막 쩨안이에요!","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/text","","","",""
"src-en/data/events_slug.xml.append:252","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/text","연료를 산다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_slug.xml.append:254","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/text","당신이 스크랩을 건네줄 때, 슬러그는 그들의 우스꽝스러운 사기극에 당신이 속아 넘어 가는 것에 대한 조소를 참기 위해 최선을 다합니다. 그나저나 당신 정말 멍청했네요.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/text","","","",""
"src-en/data/events_slug.xml.append:260","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/choice/text","계속...","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_slug.xml.append:266","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/text","더 협상한다.","data/events_slug.xml.append$/FTL/event[@name=""NEBULA_SLUG_HIGH_PRICE""]/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/event/choice[2]/text","","","",""
