"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_spider.xml:4","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/text","You find a number of ships fleeing from a small space station. A squadron of Militia vessels have been deployed around the area. One ship hails you: ""Civilian, this system is restricted. We must request that you leave immediately.""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/text","","","",""
"src-en/data/events_spider.xml:7","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/text","We're no Civilian ship, what is the issue?","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/text","","","",""
"src-en/data/events_spider.xml:9","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/text","""A Federation military vessel? My bad then. This station has been infected by some kind of weird... giant alien spiders. Think you could clear this station of the infestation, without causing too much damage?""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/text","","","",""
"src-en/data/events_spider.xml:12","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/text","Agree.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_spider.xml:14","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/text","The Militiamen give you clearance to engage the station, but give two last warnings. ""We aren't sure what these things are, but they seem to be able to keep the station's systems functional. If you have to cause some damage that's understandable, but please do not cause very much, we can't go around destroying civilian property.""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_spider.xml:17","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/choice/text","Continue...","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_spider.xml:23","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[2]/text","Decline.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_spider.xml:29","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/text","We're no Civilian ship, what is the issue?","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/text","","","",""
"src-en/data/events_spider.xml:31","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/text","""Well, I'll be! You're the ship who was sent out to take care of that spider issue. Unfortunately, there's still some spider problems on the outskirts here. Don't suppose you could take care of these ones again, could you?""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/text","","","",""
"src-en/data/events_spider.xml:34","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/text","Agree.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_spider.xml:36","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/event/text","The Militiamen give you clearance to engage the station. ""Just as before, please try and be careful! We can't go around blowing up civilian property!""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/event/text","","","",""
"src-en/data/events_spider.xml:39","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/event/choice/text","Continue...","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_spider.xml:45","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[2]/text","Decline.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_spider.xml:51","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[3]/text","Agree to leave.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[3]/text","","","",""
"src-en/data/events_spider.xml:53","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[3]/event/text","You navigate away from the station, but you stay in the system long enough to do something on the ship.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[3]/event/text","","","",""
"src-en/data/events_spider.xml:55","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[3]/event/choice[1]/text","Do something onboard the ship.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[3]/event/choice[1]/text","","","",""
