"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_standard.xml:4","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/text","You've been here already, and there's nothing left of interest.","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/text","","","",""
"src-en/data/events_standard.xml:6","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[1]/text","Do something onboard the ship.","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:10","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[2]/text","Do nothing.","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[2]/text","","","",""
"src-en/data/events_standard.xml:35","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL""]/text","","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL""]/text","","","",""
"src-en/data/events_standard.xml:44","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL_GENERIC""]/text","","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL_GENERIC""]/text","","","",""
"src-en/data/events_standard.xml:50","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL_GENERIC""]/choice/text","Continue...","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL_GENERIC""]/choice/text","","","",""
"src-en/data/events_standard.xml:57","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_RESOURCES_AMMUNITIONS""]/event[1]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_RESOURCES_AMMUNITIONS""]/event[1]/text","","","",""
"src-en/data/events_standard.xml:65","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_RESOURCES_AMMUNITIONS""]/event[2]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_RESOURCES_AMMUNITIONS""]/event[2]/text","","","",""
"src-en/data/events_standard.xml:84","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[1]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[1]/text","","","",""
"src-en/data/events_standard.xml:92","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[2]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[2]/text","","","",""
"src-en/data/events_standard.xml:100","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[3]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[3]/text","","","",""
"src-en/data/events_standard.xml:108","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[4]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[4]/text","","","",""
"src-en/data/events_standard.xml:116","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[5]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_CREW_MANTISSLAVE""]/event[5]/text","","","",""
"src-en/data/events_standard.xml:134","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_BURST""]/event[1]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_BURST""]/event[1]/text","","","",""
"src-en/data/events_standard.xml:142","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_BURST""]/event[2]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_BURST""]/event[2]/text","","","",""
"src-en/data/events_standard.xml:150","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_BURST""]/event[3]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_BURST""]/event[3]/text","","","",""
"src-en/data/events_standard.xml:161","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_HEAVY""]/event[1]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_HEAVY""]/event[1]/text","","","",""
"src-en/data/events_standard.xml:169","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_HEAVY""]/event[2]/text","","data/events_standard.xml$/FTL/eventList[@name=""TRADELIST_LASERS_HEAVY""]/event[2]/text","","","",""
