"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_storage.xml:22","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/text","What do you want to do?","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/text","","","",""
"src-en/data/events_storage.xml:24","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[1]/text","[Federation Database] Learn about the storage menu.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[1]/text","","","",""
"src-en/data/events_storage.xml:28","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[2]/text","Talk to your crew.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[2]/text","","","",""
"src-en/data/events_storage.xml:32","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[3]/text","Check the mission report.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[3]/text","","","",""
"src-en/data/events_storage.xml:36","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[4]/text","Perform a task.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[4]/text","","","",""
"src-en/data/events_storage.xml:40","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[5]/text","Install an internal upgrade.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[5]/text","","","",""
"src-en/data/events_storage.xml:44","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[6]/text","Install the onboard lab.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[6]/text","","","",""
"src-en/data/events_storage.xml:48","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[7]/text","Check the onboard lab.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[7]/text","","","",""
"src-en/data/events_storage.xml:52","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[8]/text","Use an augment.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[8]/text","","","",""
"src-en/data/events_storage.xml:56","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[9]/text","Modify a modular weapon.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[9]/text","","","",""
"src-en/data/events_storage.xml:60","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[10]/text","Hold a ritual.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[10]/text","","","",""
"src-en/data/events_storage.xml:64","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[11]/text","Hold a ritual.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[11]/text","","","",""
"src-en/data/events_storage.xml:68","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[12]/text","Open a crate.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[12]/text","","","",""
"src-en/data/events_storage.xml:72","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[13]/text","Use a weapon.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[13]/text","","","",""
"src-en/data/events_storage.xml:76","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[14]/text","Use a drone.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[14]/text","","","",""
"src-en/data/events_storage.xml:80","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[15]/text","(Clone Cannon) Configure the Cannon.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[15]/text","","","",""
"src-en/data/events_storage.xml:84","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[16]/text","(Hibernating Alien) Try to awaken the alien.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[16]/text","","","",""
"src-en/data/events_storage.xml:88","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[17]/text","(Gatling Parts) Construct the Gatling.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[17]/text","","","",""
"src-en/data/events_storage.xml:92","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[18]/text","Read one of your comic books.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[18]/text","","","",""
"src-en/data/events_storage.xml:96","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[19]/text","Do nothing.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[19]/text","","","",""
"src-en/data/events_storage.xml:102","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/text","What do you want to do?","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/text","","","",""
"src-en/data/events_storage.xml:105","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[1]/text","[Federation Database] Learn about the storage menu.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[1]/text","","","",""
"src-en/data/events_storage.xml:109","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[2]/text","Talk to your crew.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[2]/text","","","",""
"src-en/data/events_storage.xml:113","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[3]/text","Check the mission report.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[3]/text","","","",""
"src-en/data/events_storage.xml:117","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[4]/text","Install an internal upgrade.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_BUTTON""]/choice[4]/text","","","",""
