"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_storage.xml:22","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/text","무엇을 하시겠습니까?","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/text","","","",""
"src-en/data/events_storage.xml:24","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[1]/text","[연방 데이터베이스] 창고 메뉴에 대해 알아본다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[1]/text","","","",""
"src-en/data/events_storage.xml:28","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[2]/text","선원들과 대화한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[2]/text","","","",""
"src-en/data/events_storage.xml:32","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[3]/text","임무 보고서를 확인한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[3]/text","","","",""
"src-en/data/events_storage.xml:36","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[4]/text","작업한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[4]/text","","","",""
"src-en/data/events_storage.xml:40","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[5]/text","내부 업그레이드를 설치한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[5]/text","","","",""
"src-en/data/events_storage.xml:44","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[6]/text","선상 연구실을 설치한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[6]/text","","","",""
"src-en/data/events_storage.xml:48","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[7]/text","선상 연구실을 확인한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[7]/text","","","",""
"src-en/data/events_storage.xml:52","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[8]/text","보조장비를 사용한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[8]/text","","","",""
"src-en/data/events_storage.xml:56","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[9]/text","모듈식 무기를 조정한다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[9]/text","","","",""
"src-en/data/events_storage.xml:60","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[10]/text","의식을 치른다.","data/events_storage.xml$/FTL/event[@name=""STORAGE_CHECK_REAL""]/choice[10]/text","","","",""
