"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_transports.xml:14","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/text","You destroyed the transport, but nothing remains of its cargo. Dismayed, you scrap what remains of the hull and the few supplies that are floating around.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/text","","","",""
"src-en/data/events_transports.xml:17","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[1]/text","(Scrap Arm) Use the arm to collect extra scrap.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[1]/text","","","",""
"src-en/data/events_transports.xml:23","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[2]/text","(Drone Arm) Use the arm to collect extra drone parts.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[2]/text","","","",""
"src-en/data/events_transports.xml:29","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[3]/text","(Magnet Arm) Use the magnet to draw in some extra supplies.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[3]/text","","","",""
"src-en/data/events_transports.xml:35","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[4]/text","Continue...","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[4]/text","","","",""
"src-en/data/events_transports.xml:49","data/events_transports.xml$/FTL/ship[@name=""SHIP_CIVILIAN_TRANSPORT_LOOT""]/escape/text","They look like they don't want to fight. They are trying to escape.","data/events_transports.xml$/FTL/ship[@name=""SHIP_CIVILIAN_TRANSPORT_LOOT""]/escape/text","","","",""
"src-en/data/events_transports.xml:60","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/unvisitedTooltip","An unvisited location.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_transports.xml:61","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/visitedTooltip","Explored location. Nothing left of interest.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_transports.xml:62","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/undiscoveredTooltip","An unvisited location.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/undiscoveredTooltip","","","",""
"src-en/data/events_transports.xml:64","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/text","This beacon hosts a civilian transport. It's safe to bet the ship is most likely carrying some special tech. If you can kill its crew, their cargo will be yours.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/text","","","",""
