"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_trapper.xml:18","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/text","The Engi take the security of their sectors very seriously, so there's no question to the purpose of the Trapper vessel here.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/text","","","",""
"src-en/data/events_trapper.xml:21","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/text","Attack, we can steal their Mine Launcher tech!","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/text","","","",""
"src-en/data/events_trapper.xml:23","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/text","You've taken the risky choice of fighting the ship. Hopefully, you can protect yourself from their salvo long enough.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/text","","","",""
"src-en/data/events_trapper.xml:26","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/choice/text","Continue...","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_trapper.xml:32","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/text","Avoid the Trapper.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/text","","","",""
"src-en/data/events_trapper.xml:34","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/text","Messing with a Trapper is a bad idea.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/text","","","",""
"src-en/data/events_trapper.xml:36","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[1]/text","Do something onboard the ship.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_trapper.xml:40","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[2]/text","Do nothing.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_trapper.xml:63","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/text","As soon as you arrive at the beacon, a mine locks onto your ship and you only just barely manage to swerve out of the way in time. In the distance appears an irate Separatist, who begins to yell. ""NOT [YOU] GOD DAMN FEDS AGAIN! GET -OUT- OF MY STAR FIELD! DON'T MAKE ME COME [DOWN] THERE!""","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/text","","","",""
"src-en/data/events_trapper.xml:66","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/text","Attack, we can steal their Mine Launcher tech!","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/text","","","",""
