"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_zoltan.xml.append:18","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/text","You've arrived at the Long-Range Beacon. When the FTL Drive is charged you can jump to the next Sector.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/text","","","",""
"src-en/data/events_zoltan.xml.append:20","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[1]/text","Explore.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:24","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[2]/text","Check the storage.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:28","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[3]/text","Do nothing.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[3]/text","","","",""
"src-en/data/events_zoltan.xml.append:62","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/text","A Zoltan academy sits docked just outside the beacon perimeter. They're happy to show you the fruits of their labor, and offer something to take home with you.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/text","","","",""
"src-en/data/events_zoltan.xml.append:65","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[1]/text","Do something onboard the ship.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:69","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[2]/text","Do nothing.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:75","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_MAP""]/text","The Zoltans stationed near this beacon are happy to receive you. As they give you the formal tour of their ship you spy some local star charts and mentally log the details.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_MAP""]/text","","","",""
"src-en/data/events_zoltan.xml.append:81","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/text","Something strikes you as odd about a moon in the distance.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/text","","","",""
"src-en/data/events_zoltan.xml.append:84","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[1]/text","Check it out.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:88","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/text","Leave it be.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:90","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/text","You try not to fixate on the moon in the aft scanner as you set the coordinates for the next jump.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/text","","","",""
"src-en/data/events_zoltan.xml.append:92","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/choice[1]/text","Do something onboard the ship.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:96","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/choice[2]/text","Do nothing.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:102","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/text","(Boarding Drone) Send a drone to probe the surface.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/text","","","",""
"src-en/data/events_zoltan.xml.append:104","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/event/text","Initial scans indicate a network of caves not far underground. You launch a boarding drone and it breaks through the surface into the cavern below.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/event/text","","","",""
"src-en/data/events_zoltan.xml.append:109","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/event/choice/text","Continue...","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/event/choice/text","","","",""
"src-en/data/events_zoltan.xml.append:111","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/event/choice/event/text","Your drone discovers a vast cave network and evidence of excavation. Buried deep below you find a Zoltan scientist, still hard at work. He tells you that all his colleagues are long dead. You decide not to ask questions and offer to let him join your crew.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[3]/event/choice/event/text","","","",""
"src-en/data/events_zoltan.xml.append:120","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[1]/text","A closer inspection reveals signs of habitation on the surface, but nothing else particularly interesting.","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:123","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[2]/text","Sending a shuttle to explore a beckoning cave system you discover signs of a battle - and a still-functioning weapon!","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:127","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[3]/text","A deep scan of the surface reveals a cave system that runs for miles, and what looks like a scrap heap left over from some heavy-duty construction.","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[3]/text","","","",""
"src-en/data/events_zoltan.xml.append:131","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[4]/text","It looks as if a team could break through the fragile layer of the moon's surface into a hidden cavern.","data/events_zoltan.xml.append$/FTL/eventList[@name=""ZOLTAN_ODD_MOON_CHECK""]/event[4]/text","","","",""
