"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_zoltan.xml.append:18","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/text","당신은 장거리 송신소에 도착했습니다. 초광속 도약 장치가 충전되면 다음 구역으로 넘어갈 수 있습니다.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/text","","","",""
"src-en/data/events_zoltan.xml.append:20","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[1]/text","탐사한다.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:24","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[2]/text","창고를 확인한다.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:28","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[3]/text","아무것도 하지 않는다.","data/events_zoltan.xml.append$/FTL/event[@name=""FINISH_BEACON_ZOLTAN""]/choice[3]/text","","","",""
"src-en/data/events_zoltan.xml.append:62","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/text","졸탄 아카데미가 송신소 바로 밖에 정박해있습니다.그들은 당신에게 노력의 결실을 보여주고, 가져갈 무언가를 제공하는걸 행복하게 여깁니다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/text","","","",""
"src-en/data/events_zoltan.xml.append:65","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[1]/text","함선에서 무언가를 한다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:69","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[2]/text","아무것도 하지 않는다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_AUGMENT""]/choice[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:75","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_MAP""]/text","이 송신소 근처에 배치된 졸탄들이 당신을 반갑게 맞이합니다. 그들의 함선에서 당신을 초대해 관광할때 당신은 그 함선의 지도를 엿보고 그 세부사항을 기억합니다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_FREE_MAP""]/text","","","",""
"src-en/data/events_zoltan.xml.append:81","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/text","무언가 저 멀리에 있는 위성이 이상하다는 생각이 매우 강하게 듭니다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/text","","","",""
"src-en/data/events_zoltan.xml.append:84","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[1]/text","확인해본다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[1]/text","","","",""
"src-en/data/events_zoltan.xml.append:88","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/text","내버려둔다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/text","","","",""
"src-en/data/events_zoltan.xml.append:90","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/text","당신은 위성을 정찰할 생각은 완전히 접고, 다음 도약을 위한 좌표를 입력했습니다.","data/events_zoltan.xml.append$/FTL/event[@name=""ZOLTAN_ODD_MOON""]/choice[2]/event/text","","","",""
