"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/hyperspace.xml:460","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[1]/tooltip","무인기:
이 적은 무인기이므로 나포할 수 없습니다. 시스템은 관리되고 있는 것처럼 작동하며 수리가 자동적으로 이루어집니다. 균열이 발생한 선실은 수리하지 못합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[1]/tooltip","","","",""
"src-en/data/hyperspace.xml:465","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[2]/tooltip","인공지능 탑재:
이 적은 모든 선원이 죽을 시 자동화 모드에 돌입합니다. 자동화 모드가 활성화되면 이 함선은 무인기의 모든 이점을 얻습니다. 선원을 제거해 이 선박을 무력화 하는것은 불가능합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[2]/tooltip","","","",""
"src-en/data/hyperspace.xml:470","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[3]/tooltip","위험도 높은 적:
이 적은 충분한 대비 없이는 큰 위협이 될 수 있습니다. 이 적을 상대할 지 신중하게 생각하고 상황이 나쁘다면 도망치기 위해 엔진을 가동해 두십시오.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[3]/tooltip","","","",""
"src-en/data/hyperspace.xml:475","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[4]/tooltip","극도로 위험한 적:
무슨 수를 써서라도 이 적과의 충돌을 피하십시오. 이 함선보단 차라리 신을 죽이는게 더 쉬울 것입니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[4]/tooltip","","","",""
"src-en/data/hyperspace.xml:480","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[5]/tooltip","위험도 낮은 적:
이 적은 당신의 함선에 거의 위협이 되지 않습니다. 이 안쓰러운 함선의 선장이 하는 위협은 모두 무시하십시오.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[5]/tooltip","","","",""
"src-en/data/hyperspace.xml:485","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[6]/tooltip","특수 장비:
이 적은 특수 제작된 무기나 드론을 가지고 있습니다. 이 장비는 선박을 파괴할 경우 고작 50%의 확률로 주어지지만, 나포 시 확정적으로 주어집니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[6]/tooltip","","","",""
"src-en/data/hyperspace.xml:490","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[7]/tooltip","정거장:
이 적은 정거장이므로 은폐장 없이는 회피를 할 수 없습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[7]/tooltip","","","",""
"src-en/data/hyperspace.xml:495","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[8]/tooltip","저항 선실:
이 적은 회색 테두리와 좌상단의 R 아이콘으로 표시되는 저항 선실을 하나 이상 갖고 있습니다. 저항 선실은 무기로부터의 시스템 피해를 무시하지만 선원과 화재로부터의 피해는 받을 수 있습니다. 이온과 선체 피해는 정상적으로 받습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[8]/tooltip","","","",""
"src-en/data/hyperspace.xml:500","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[9]/tooltip","감압 상태:
이 적은 산소 시스템이 없어 감압 상태에 있습니다. 오키드와 같이 산소를 생산하는 선원은 이 함선을 산소로 채울 수 없습니다. 이 함선에 적절한 예방책 없이 산소가 필요한 선원으로 강습하는 것은 권장되지 않습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[9]/tooltip","","","",""
"src-en/data/hyperspace.xml:505","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[10]/tooltip","침공 전술:
이 적은 특수한 강습 전술을 사용합니다. 체력이 적은 선원을 순간이동으로 복귀시키는 대신 더 많은 선원을 보내는 것을 우선시합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[10]/tooltip","","","",""
"src-en/data/hyperspace.xml:510","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[11]/tooltip","교육 프로그램:
이 오작동 중인 무인기는 당신에게 주기적으로 수학 문제를 내도록 프로그래밍되어 있습니다. 문제를 틀리면 위험한 결과가 초래될 수 있으니 주의하십시오!","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[11]/tooltip","","","",""
"src-en/data/hyperspace.xml:516","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[12]/tooltip","방어막 가속기:
이 적의 방어막 재충전 속도가 17% 빨라집니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[12]/tooltip","","","",""
"src-en/data/hyperspace.xml:521","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[13]/tooltip","엔진 가속기:
이 적의 엔진 충전 속도가 30% 빨라집니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[13]/tooltip","","","",""
"src-en/data/hyperspace.xml:526","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[14]/tooltip","자동 재장전기:
이 적의 무기 충전 속도가 10% 빨라집니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[14]/tooltip","","","",""
"src-en/data/hyperspace.xml:531","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[15]/tooltip","재구성 텔레포트:
이 적의 선원은 순간이동 할 때마다 체력을 완전히 회복합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[15]/tooltip","","","",""
"src-en/data/hyperspace.xml:536","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[16]/tooltip","산소마스크:
이 적의 선원이 입는 질식 피해는 반감됩니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[16]/tooltip","","","",""
"src-en/data/hyperspace.xml:541","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[17]/tooltip","이온 반발 장:
이 적은 50%의 확률로 이온 피해에 완전히 저항합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[17]/tooltip","","","",""
"src-en/data/hyperspace.xml:546","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[18]/tooltip","유전 정보 저장소:
이 적의 선원은 클론 배양실이 꺼져있거나 망가진 상태라도, 배양기 안에 안전하게 보존됩니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[18]/tooltip","","","",""
"src-en/data/hyperspace.xml:552","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[19]/tooltip","의료용 나노봇:
이 적의 선원들은 함선의 어디에 있든 가동중인 의료실 출력의 25%의 속도로 회복합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[19]/tooltip","","","",""
"src-en/data/hyperspace.xml:557","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[20]/tooltip","드론 가속기:
이 적의 승선 드론들은 이동속도가 2배 증가하고 대인 공격력, 시스템 파괴 속도, 수리속도, 화재 진압 속도가 50% 증가합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[20]/tooltip","","","",""
"src-en/data/hyperspace.xml:562","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[21]/tooltip","방어 드론 교란기:
이 적은 당신의 방어 드론을 교란하여 아무것도 조준할 수 없게 만듭니다. 적의 해킹 장비 시스템이 기능중일때만 활성화됩니다. 적의 해킹 장비가 파괴되면 당신의 드론이 원래대로 돌아옵니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[21]/tooltip","","","",""
"src-en/data/hyperspace.xml:568","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[22]/tooltip","티타늄 시스템 케이싱:
당신의 선원은 이 적의 시스템을 60% 느리게 파괴합니다. 또한 시스템이 15%의 확률로 직접적인 피해에 저항합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[22]/tooltip","","","",""
"src-en/data/hyperspace.xml:573","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[23]/tooltip","물질 분해 그리드:
이 적의 시스템은 고스트의 침식으로부터 보호되어 있어 고스트의 시스템 파괴 속도를 20% 늦춥니다. 2/3/4레밸의 문 제어실이 존재한다면 함내의 모든 선원과 드론이 초당 4/5/6의 피해를 입습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[23]/tooltip","","","",""
"src-en/data/hyperspace.xml:579","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[24]/tooltip","페로몬:
이 적 함선은 페로몬으로 채워져 있습니다. 산소실에 공급되는 전력마다 선원들이 25% 이동속도와 6.25%의 최대 체력 보너스를 얻습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[24]/tooltip","","","",""
"src-en/data/hyperspace.xml:584","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[25]/tooltip","합성 페로몬:
이 적 함선은 불안정한 페로몬으로 채워져 있습니다. 산소실에 공급되는 전력마다 선원들이 15%의 대인 공격력 보너스를 얻지만, 1레밸을 초과한 전력마다 수리속도가 25% 감소합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[25]/tooltip","","","",""
"src-en/data/hyperspace.xml:589","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[26]/tooltip","영주의 페로몬:
이 적 함선은 우월한 페로몬으로 채워져 있습니다. 산소실에 공급되는 전력마다 선원들이 33% 이동속도와 15%의 능력 충전 시간 감축을 얻습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[26]/tooltip","","","",""
"src-en/data/hyperspace.xml:594","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[27]/tooltip","에너지 우회기:
이 적은 에너지 방어막을 무시하고 선원과 폭탄의 순간이동 그리고 정신 지배를 할 수 있습니다. 평범한 투사체는 여전히 에너지 방어막을 관통하지 못합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[27]/tooltip","","","",""
"src-en/data/hyperspace.xml:600","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[28]/tooltip","에너지 방어막:
이 적은 에너지 방어막에 보호받고 있습니다. 무력화되기 전까지 해킹, 정신 지배, 강습 드론, 순간이동, 그리고 모든 선체 또는 이온 피해를 가지는 공격이 막힙니다. 대안으로, 에너지 방어막 우회 장치를 설치해 이 방어막을 우회할 수 있습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[28]/tooltip","","","",""
"src-en/data/hyperspace.xml:606","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[29]/tooltip","낱알 온실:
이 적은 무기를 발사할 때 65%의 확률로 탄약을 소모하지 않게 해주는 선상 온실을 가지고 있습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[29]/tooltip","","","",""
"src-en/data/hyperspace.xml:611","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[30]/tooltip","포자 분산기:
This enemy pollutes its air with toxic spores, which will make enemy boarders take 20% more damage from all sources.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[30]/tooltip","","","",""
"src-en/data/hyperspace.xml:617","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[31]/tooltip","독성 가스:
이 적함은 셸 또는 흡혈초가 아닌 선원에게 지속적인 피해를 주는 치명적인 신경독으로 가득 채워져 있습니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[31]/tooltip","","","",""
"src-en/data/hyperspace.xml:622","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[32]/tooltip","신속한 가스:
이 적함은 셸 또는 흡혈초가 아닌 선원에게 지속적인 피해를 주는 치명적인 신경독으로 가득 채워져 있습니다. 의료실이 가동중이라면, 의료실 밖에 있는 선원들이 1 레밸 의료실의 90%의 속도로 회복합니다.","data/hyperspace.xml$/FTL/ships/shipIcons/shipIcon[32]/tooltip","","","",""
