"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/newEvents.xml.append:328","data/newEvents.xml.append$/FTL/textList[@name=""TIPS_LIST""]/text","","data/newEvents.xml.append$/FTL/textList[@name=""TIPS_LIST""]/text","","","",""
"src-en/data/newEvents.xml.append:434","data/newEvents.xml.append$/FTL/textList[@name=""TIPS_LIST_PC""]/text","","data/newEvents.xml.append$/FTL/textList[@name=""TIPS_LIST_PC""]/text","","","",""
"src-en/data/newEvents.xml.append:438","data/newEvents.xml.append$/FTL/textList[@name=""TIPS_LIST_IPAD""]/text","","data/newEvents.xml.append$/FTL/textList[@name=""TIPS_LIST_IPAD""]/text","","","",""
"src-en/data/newEvents.xml.append:476","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/text","You detect multiple ships running at maximum power nearby, but you can't see anything through this thick nebula.","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/text","","","",""
"src-en/data/newEvents.xml.append:478","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[1]/text","Get closer.","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[1]/text","","","",""
"src-en/data/newEvents.xml.append:482","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/text","Ignore them.","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/text","","","",""
"src-en/data/newEvents.xml.append:484","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/event/text","You distance yourself from the ships, just in case.","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/event/text","","","",""
"src-en/data/newEvents.xml.append:486","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/event/choice[1]/text","Do something onboard the ship.","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/newEvents.xml.append:490","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/event/choice[2]/text","Do nothing.","data/newEvents.xml.append$/FTL/event[@name=""NEBULA_ROCK_SLUG_ARGUMENT""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/newEvents.xml.append:499","data/newEvents.xml.append$/FTL/event[@name=""ROCK_SLUG_ARGUMENT""]/text","You find a Slug Cruiser and Rock ship at a standoff, both with weapons armed and ready to fight. You could intervene before this gets out of hand.","data/newEvents.xml.append$/FTL/event[@name=""ROCK_SLUG_ARGUMENT""]/text","","","",""
