"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/sector_data.xml.append:309","data/sector_data.xml.append$/FTL/sectorDescription[@name=""STANDARD_SPACE""]/nameList/name","Federation Space","data/sector_data.xml.append$/FTL/sectorDescription[@name=""STANDARD_SPACE""]/nameList/name","","","",""
"src-en/data/sector_data.xml.append:418","data/sector_data.xml.append$/FTL/sectorDescription[@name=""FINAL""]/nameList/name","Node 17 [Federation Capital]","data/sector_data.xml.append$/FTL/sectorDescription[@name=""FINAL""]/nameList/name","","","",""
"src-en/data/sector_data.xml.append:540","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[1]","Mining Colonies","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[1]","","","",""
"src-en/data/sector_data.xml.append:541","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[2]","Mining Territory","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[2]","","","",""
"src-en/data/sector_data.xml.append:542","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[3]","Mining District","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[3]","","","",""
"src-en/data/sector_data.xml.append:543","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[4]","Mining Regions","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[4]","","","",""
"src-en/data/sector_data.xml.append:544","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[5]","Mining Settlements","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[5]","","","",""
"src-en/data/sector_data.xml.append:545","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[6]","Mining Turf","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[6]","","","",""
"src-en/data/sector_data.xml.append:547","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[7]","Excavation Territory","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[7]","","","",""
"src-en/data/sector_data.xml.append:548","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[8]","Excavation District","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[8]","","","",""
