"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/sector_data.xml.append:309","data/sector_data.xml.append$/FTL/sectorDescription[@name=""STANDARD_SPACE""]/nameList/name","연방의 우주","data/sector_data.xml.append$/FTL/sectorDescription[@name=""STANDARD_SPACE""]/nameList/name","","","",""
"src-en/data/sector_data.xml.append:418","data/sector_data.xml.append$/FTL/sectorDescription[@name=""FINAL""]/nameList/name","노드 17 [연방 수도]","data/sector_data.xml.append$/FTL/sectorDescription[@name=""FINAL""]/nameList/name","","","",""
"src-en/data/sector_data.xml.append:540","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[1]","광부 주거지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[1]","","","",""
"src-en/data/sector_data.xml.append:541","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[2]","광업 지역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[2]","","","",""
"src-en/data/sector_data.xml.append:542","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[3]","광업 특수지구","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[3]","","","",""
"src-en/data/sector_data.xml.append:543","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[4]","광업 변지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[4]","","","",""
"src-en/data/sector_data.xml.append:544","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[5]","광부 정착지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[5]","","","",""
"src-en/data/sector_data.xml.append:545","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[6]","광업 구역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[6]","","","",""
"src-en/data/sector_data.xml.append:547","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[7]","채굴꾼의 영토","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[7]","","","",""
"src-en/data/sector_data.xml.append:548","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[8]","채광 특수지구","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[8]","","","",""
"src-en/data/sector_data.xml.append:549","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[9]","채광 변지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[9]","","","",""
"src-en/data/sector_data.xml.append:550","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[10]","채광 지구","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[10]","","","",""
"src-en/data/sector_data.xml.append:552","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[11]","채석장 주거지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[11]","","","",""
"src-en/data/sector_data.xml.append:553","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[12]","채석장 구역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[12]","","","",""
"src-en/data/sector_data.xml.append:554","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[13]","채석장 특수지구","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[13]","","","",""
"src-en/data/sector_data.xml.append:555","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[14]","채석장 변지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[14]","","","",""
"src-en/data/sector_data.xml.append:556","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[15]","채석장 정착지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[15]","","","",""
"src-en/data/sector_data.xml.append:558","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[16]","탐광자 주거지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[16]","","","",""
"src-en/data/sector_data.xml.append:559","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[17]","탐광자의 우주","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[17]","","","",""
"src-en/data/sector_data.xml.append:560","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[18]","탐광자 정착지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[18]","","","",""
"src-en/data/sector_data.xml.append:561","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[19]","탐광자 외곽지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[19]","","","",""
"src-en/data/sector_data.xml.append:562","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[20]","탐광자의 영역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[20]","","","",""
"src-en/data/sector_data.xml.append:563","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[21]","탐광자 통치 구역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[21]","","","",""
"src-en/data/sector_data.xml.append:564","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[22]","광맥 외곽 지역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_ASTEROID_GENERIC""]/nameList/name[22]","","","",""
"src-en/data/sector_data.xml.append:658","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[1]","연맹 구역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[1]","","","",""
"src-en/data/sector_data.xml.append:659","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[2]","연맹 주거지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[2]","","","",""
"src-en/data/sector_data.xml.append:660","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[3]","연맹의 우주","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[3]","","","",""
"src-en/data/sector_data.xml.append:661","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[4]","연맹 정착지","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[4]","","","",""
"src-en/data/sector_data.xml.append:662","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[5]","연맹 국경 지역","data/sector_data.xml.append$/FTL/sectorDescription[@name=""SECTOR_CIVILIAN""]/nameList/name[5]","","","",""
