"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/text_blueprints.xml.append:7","data/text_blueprints.xml.append$/FTL/text[@name=""crew_anaerobic_desc""]","These anaerobic beings seem friendly enough.","data/text_blueprints.xml.append$/FTL/text[@name=""crew_anaerobic_desc""]","","","",""
"src-en/data/text_blueprints.xml.append:8","data/text_blueprints.xml.append$/FTL/text[@name=""crew_anaerobic_power_1""]","Drains oxygen from rooms","data/text_blueprints.xml.append$/FTL/text[@name=""crew_anaerobic_power_1""]","","","",""
"src-en/data/text_blueprints.xml.append:9","data/text_blueprints.xml.append$/FTL/text[@name=""crew_anaerobic_power_2""]","Takes no damage from lack of oxygen","data/text_blueprints.xml.append$/FTL/text[@name=""crew_anaerobic_power_2""]","","","",""
"src-en/data/text_blueprints.xml.append:11","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_title""]","Morph","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_title""]","","","",""
"src-en/data/text_blueprints.xml.append:12","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_desc""]","The Morphs are a genetic experiment from the Shells gone wrong. They have the unique ability to mimic other carbon crew and their capabilities.","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_desc""]","","","",""
"src-en/data/text_blueprints.xml.append:13","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_power_1""]","45 Health, immune to suffocation","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_power_1""]","","","",""
"src-en/data/text_blueprints.xml.append:14","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_power_2""]","At empty beacons can be made to mimic most genetic crew types. All mimicked crew will have 25% less health than normal and suffocation immunity.","data/text_blueprints.xml.append$/FTL/text[@name=""crew_morph_power_2""]","","","",""
"src-en/data/text_blueprints.xml.append:16","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_title""]","Malform","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_title""]","","","",""
"src-en/data/text_blueprints.xml.append:17","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_desc""]","A reverse engineered monstrosity produced by the members of a secret Rebel organization. Do not underestimate these blobish creatures because of their size.","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_desc""]","","","",""
"src-en/data/text_blueprints.xml.append:18","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_power_1""]","60 Health, immune to suffocation","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_power_1""]","","","",""
"src-en/data/text_blueprints.xml.append:19","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_power_2""]","At empty beacons can be made to mimic most elite crew types. All mimicked crew will have 25% less health than normal and suffocation immunity. Cannot change its form after morphing.","data/text_blueprints.xml.append$/FTL/text[@name=""crew_gold_power_2""]","","","",""
"src-en/data/text_blueprints.xml.append:21","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_title""]","Technopath","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_title""]","","","",""
"src-en/data/text_blueprints.xml.append:22","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_desc""]","The Technopaths carry a special mutation of the Morph genes that allow them to conduct electricity, and therefore imitate certain electronics or metaloid beings.","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_desc""]","","","",""
"src-en/data/text_blueprints.xml.append:23","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_power_1""]","55 Health, immune to suffocation","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_power_1""]","","","",""
"src-en/data/text_blueprints.xml.append:24","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_power_2""]","At empty beacons can be made to mimic most electronic or Drone crew types. All mimicked crew will have 15% less health than normal and suffocation immunity.","data/text_blueprints.xml.append$/FTL/text[@name=""crew_techno_power_2""]","","","",""
"src-en/data/text_blueprints.xml.append:31","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_1_title""]","Kukri Beam","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_1_title""]","","","",""
"src-en/data/text_blueprints.xml.append:32","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_1_short""]","Kukri","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_1_short""]","","","",""
"src-en/data/text_blueprints.xml.append:34","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_FIRE_title""]","Torch Beam","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_FIRE_title""]","","","",""
"src-en/data/text_blueprints.xml.append:35","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_FIRE_short""]","Torch","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_FIRE_short""]","","","",""
"src-en/data/text_blueprints.xml.append:37","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_HULL_title""]","Mace Beam","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_HULL_title""]","","","",""
"src-en/data/text_blueprints.xml.append:38","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_HULL_short""]","Mace","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_HULL_short""]","","","",""
"src-en/data/text_blueprints.xml.append:40","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_2_short""]","Halberd","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_2_short""]","","","",""
"src-en/data/text_blueprints.xml.append:41","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_3_short""]","Glaive","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_3_short""]","","","",""
"src-en/data/text_blueprints.xml.append:42","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_LONG_short""]","Pike","data/text_blueprints.xml.append$/FTL/text[@name=""weapon_BEAM_LONG_short""]","","","",""
"src-en/data/text_blueprints.xml.append:49","data/text_blueprints.xml.append$/FTL/text[@name=""ship_LOCKED""]","???","data/text_blueprints.xml.append$/FTL/text[@name=""ship_LOCKED""]","","","",""
"src-en/data/text_blueprints.xml.append:56","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVFED_unlock""]","Get to Sector 5 with the Kestrel Multiverse Cruiser to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVFED_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:57","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVSTEALTH_unlock""]","Get to Sector 5 with the Federation Multiverse Cruiser to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVSTEALTH_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:58","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVENGI_unlock""]","Get to Sector 5 with the Stealth Multiverse Cruiser to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVENGI_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:59","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVCIVILIAN_unlock""]","Get to Sector 5 with the Harmony Multiverse Cruiser to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVCIVILIAN_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:60","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVCRYSTAL_unlock""]","Get to Sector 5 with the Union Multiverse Cruiser to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVCRYSTAL_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:61","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVDYNASTY_unlock""]","Get to Sector 5 with the Imperial Multiverse Cruiser to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVDYNASTY_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:62","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVLANIUS_unlock""]","Get to Sector 5 with the Spectral Multiverse Cruiser to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_MVLANIUS_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:64","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_PROTOMV_unlock""]","Travel the Multiverses and unlock all of the page 1 Multiverse cruisers to unlock the first Federation Multiverse vessel.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_PROTOMV_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:65","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_PROTOMV_2_unlock""]","Get to Sector 8 with the Proto-MV Cruiser Type A to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_PROTOMV_2_unlock""]","","","",""
"src-en/data/text_blueprints.xml.append:66","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_PROTOMV_3_unlock""]","Defeat the Flagship with the Proto-MV Cruiser Type B to unlock this ship.","data/text_blueprints.xml.append$/FTL/text[@name=""ship_PLAYER_SHIP_PROTOMV_3_unlock""]","","","",""
