"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/text_misc.xml.append:2","data/text_misc.xml.append$/FTL/text[@name=""tip_""]","Tip:","data/text_misc.xml.append$/FTL/text[@name=""tip_""]","","","",""
"src-en/data/text_misc.xml.append:20","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_start""]","Starting Power: \1","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_start""]","","","",""
"src-en/data/text_misc.xml.append:21","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_max""]","Maximum Power: \1","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_max""]","","","",""
"src-en/data/text_misc.xml.append:34","data/text_misc.xml.append$/FTL/text[@name=""temporal""]","\1x/\4x speed for \3/\6 sec","data/text_misc.xml.append$/FTL/text[@name=""temporal""]","","","",""
"src-en/data/text_misc.xml.append:35","data/text_misc.xml.append$/FTL/text[@name=""temporal_tooltip""]","\1x/\4x speed for \3/\6 sec","data/text_misc.xml.append$/FTL/text[@name=""temporal_tooltip""]","","","",""
"src-en/data/text_misc.xml.append:37","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_super_shields""]","Blocked by super shields.","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_super_shields""]","","","",""
"src-en/data/text_misc.xml.append:38","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_speed""]","Speed up everything in the room by \1x for \3 seconds.","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_speed""]","","","",""
"src-en/data/text_misc.xml.append:39","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_slow""]","Slow down everything in the room by \4x for \6 seconds.","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_slow""]","","","",""
"src-en/data/text_misc.xml.append:41","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_speed""]","Speed up everything that occurs in a room for a short duration.\nHotkey: \1","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_speed""]","","","",""
"src-en/data/text_misc.xml.append:42","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_slow""]","Slow down everything that occurs in a room for a short duration.\nHotkey: \1","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_slow""]","","","",""
"src-en/data/text_misc.xml.append:50","data/text_misc.xml.append$/FTL/text[@name=""fire_chance""]","Fire Chance: \1%","data/text_misc.xml.append$/FTL/text[@name=""fire_chance""]","","","",""
"src-en/data/text_misc.xml.append:51","data/text_misc.xml.append$/FTL/text[@name=""breach_chance""]","Breach Chance: \1% (Adjusted: \2%)","data/text_misc.xml.append$/FTL/text[@name=""breach_chance""]","","","",""
"src-en/data/text_misc.xml.append:52","data/text_misc.xml.append$/FTL/text[@name=""stun_chance""]","Stun Chance: \1%","data/text_misc.xml.append$/FTL/text[@name=""stun_chance""]","","","",""
"src-en/data/text_misc.xml.append:53","data/text_misc.xml.append$/FTL/text[@name=""free_missile_chance""]","Chance for Ammo Replication: \1%","data/text_misc.xml.append$/FTL/text[@name=""free_missile_chance""]","","","",""
"src-en/data/text_misc.xml.append:54","data/text_misc.xml.append$/FTL/text[@name=""accuracy_modifier""]","Accuracy Bonus: +\1%","data/text_misc.xml.append$/FTL/text[@name=""accuracy_modifier""]","","","",""
"src-en/data/text_misc.xml.append:61","data/text_misc.xml.append$/FTL/text[@name=""tip_laser""]","Tip: Each laser shot will be blocked by a single shield bubble, regardless of the laser's damage.","data/text_misc.xml.append$/FTL/text[@name=""tip_laser""]","","","",""
"src-en/data/text_misc.xml.append:63","data/text_misc.xml.append$/FTL/text[@name=""tip_light_laser""]","Tip: Light lasers do no system or crew damage, but reload fast. They still pop shield bubbles too!","data/text_misc.xml.append$/FTL/text[@name=""tip_light_laser""]","","","",""
"src-en/data/text_misc.xml.append:64","data/text_misc.xml.append$/FTL/text[@name=""tip_laser_stun""]","Tip: The Neural Laser functions just as any Laser, except it also stuns crew. This is perfect for targeting manned systems, because stunned crew cannot make repairs!","data/text_misc.xml.append$/FTL/text[@name=""tip_laser_stun""]","","","",""
"src-en/data/text_misc.xml.append:65","data/text_misc.xml.append$/FTL/text[@name=""tip_frost""]","Tip: Frost weapons lock down rooms and briefly stun crew that they hit on top of doing more damage to them. These properties makes these weapons valuable for impeding enemy movements.","data/text_misc.xml.append$/FTL/text[@name=""tip_frost""]","","","",""
"src-en/data/text_misc.xml.append:66","data/text_misc.xml.append$/FTL/text[@name=""tip_laser_bio""]","Tip: The Anti-Bio Laser cannot pierce any shields nor do any damage to hull or systems, but it is very efficient at killing crew.","data/text_misc.xml.append$/FTL/text[@name=""tip_laser_bio""]","","","",""
"src-en/data/text_misc.xml.append:68","data/text_misc.xml.append$/FTL/text[@name=""tip_sniper""]","Tip: It's a sniper. In space. GO WILD!","data/text_misc.xml.append$/FTL/text[@name=""tip_sniper""]","","","",""
"src-en/data/text_misc.xml.append:75","data/text_misc.xml.append$/FTL/text[@name=""tip_ion""]","Tip: For every one point of ion damage, one power bar is removed from the target system and it is then locked for 5 seconds, preventing re-powering. If an ion weapon hits shields, the damage is automatically applied to the Shield System.","data/text_misc.xml.append$/FTL/text[@name=""tip_ion""]","","","",""
"src-en/data/text_misc.xml.append:77","data/text_misc.xml.append$/FTL/text[@name=""tip_ion_fire""]","Tip: Fire ions act much like any ordinary ion, but start fires in the room they hit. If they hit while the shields are still up, they will not start a fire.","data/text_misc.xml.append$/FTL/text[@name=""tip_ion_fire""]","","","",""
"src-en/data/text_misc.xml.append:78","data/text_misc.xml.append$/FTL/text[@name=""tip_ion_bio""]","Tip: Rad ions act much like any ordinary ion, but do additional crew damage to the crew in the room they hit. If they hit while the shields are still up, they will not do extra crew damage, but will still apply the debuff to any crew in the shields room.","data/text_misc.xml.append$/FTL/text[@name=""tip_ion_bio""]","","","",""
"src-en/data/text_misc.xml.append:79","data/text_misc.xml.append$/FTL/text[@name=""tip_ion_stun""]","Tip: Along with typical ion effects, Stunners temporarily stun crew in the rooms they hit. If they hit while the shields are still up, the stun will be applied to whoever is in the Shield room.","data/text_misc.xml.append$/FTL/text[@name=""tip_ion_stun""]","","","",""
"src-en/data/text_misc.xml.append:80","data/text_misc.xml.append$/FTL/text[@name=""tip_phase""]","Tip: Phasers pierce all shield layers. They will do ion damage for the first shield layer pierced, plus additional damage to whatever system they hit.","data/text_misc.xml.append$/FTL/text[@name=""tip_phase""]","","","",""
"src-en/data/text_misc.xml.append:82","data/text_misc.xml.append$/FTL/text[@name=""tip_ancient_plasma""]","Tip: Plasma weapons are specialized Ancient ions, that do both ion and system damage. If a plasma projectile hits the shields of an enemy, it will both ion AND damage their shields.","data/text_misc.xml.append$/FTL/text[@name=""tip_ancient_plasma""]","","","",""
"src-en/data/text_misc.xml.append:89","data/text_misc.xml.append$/FTL/text[@name=""tip_energy""]","Tip: Energy weapons are very versatile as they can do both ion and hull damage, but do not damage crew or systems.","data/text_misc.xml.append$/FTL/text[@name=""tip_energy""]","","","",""
"src-en/data/text_misc.xml.append:91","data/text_misc.xml.append$/FTL/text[@name=""tip_chain_energy""]","Tip: The Chain Energy decreases its cooldown every time it fires. Check the green lights on the weapon to see how many times it has fired.","data/text_misc.xml.append$/FTL/text[@name=""tip_chain_energy""]","","","",""
"src-en/data/text_misc.xml.append:98","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles""]","Tip: Missiles will ignore all enemy shields, but cost one missile to launch. Enemy defense drones will shoot down incoming missiles.","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles""]","","","",""
"src-en/data/text_misc.xml.append:100","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_recycler""]","Tip: This weapon is equipped with Recycler technology, removing its ammo cost, while still granting the usual benefits of Launchers or Bombs. However, the weapon suffers from a longer cooldown as a result.","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_recycler""]","","","",""
"src-en/data/text_misc.xml.append:102","data/text_misc.xml.append$/FTL/text[@name=""tip_leto""]","Tip: The Leto is a very weak Missile weapon. Unlike its elder cousins, it does not have hull-bust attributes, and serves best as a temporary support weapon.","data/text_misc.xml.append$/FTL/text[@name=""tip_leto""]","","","",""
"src-en/data/text_misc.xml.append:104","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_heavy""]","Tip: Heavy missiles always carry hull-bust attributes, making them great for dealing hull damage, but can also be used to quickly take down systems instead if necessary.","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_heavy""]","","","",""
"src-en/data/text_misc.xml.append:106","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_burst""]","Tip: Burst missiles replicate multiple warheads which each do 1 damage. You will only need 1 missile to fire them.","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_burst""]","","","",""
"src-en/data/text_misc.xml.append:108","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_cloak""]","Tip: Missiles shot by this Launcher cannot be targeted by solid-targeting defense drones. However, projectile-targeting defense drones can still intercept them.","data/text_misc.xml.append$/FTL/text[@name=""tip_missiles_cloak""]","","","",""
"src-en/data/text_misc.xml.append:110","data/text_misc.xml.append$/FTL/text[@name=""tip_mine""]","Tip: Mine Launchers do no system damage, but have reasonable status effect chances and fire salvos of slow moving mines which pierce all shields. Decent for spreading chaos.","data/text_misc.xml.append$/FTL/text[@name=""tip_mine""]","","","",""
"src-en/data/text_misc.xml.append:112","data/text_misc.xml.append$/FTL/text[@name=""tip_kernel""]","Tip: Kernels function much like missiles, but have a moderate chance to ignore their ammo cost with each volley.","data/text_misc.xml.append$/FTL/text[@name=""tip_kernel""]","","","",""
