"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/text_misc.xml.append:2","data/text_misc.xml.append$/FTL/text[@name=""tip_""]","팁:","data/text_misc.xml.append$/FTL/text[@name=""tip_""]","","","",""
"src-en/data/text_misc.xml.append:20","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_start""]","시작 반응로: \1","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_start""]","","","",""
"src-en/data/text_misc.xml.append:21","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_max""]","최대 반응로: \1","data/text_misc.xml.append$/FTL/text[@name=""reactor_desc_max""]","","","",""
"src-en/data/text_misc.xml.append:34","data/text_misc.xml.append$/FTL/text[@name=""temporal""]","","data/text_misc.xml.append$/FTL/text[@name=""temporal""]","","","",""
"src-en/data/text_misc.xml.append:35","data/text_misc.xml.append$/FTL/text[@name=""temporal_tooltip""]","","data/text_misc.xml.append$/FTL/text[@name=""temporal_tooltip""]","","","",""
"src-en/data/text_misc.xml.append:37","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_super_shields""]","","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_super_shields""]","","","",""
"src-en/data/text_misc.xml.append:38","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_speed""]","","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_speed""]","","","",""
"src-en/data/text_misc.xml.append:39","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_slow""]","","data/text_misc.xml.append$/FTL/text[@name=""temporal_arm_slow""]","","","",""
"src-en/data/text_misc.xml.append:41","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_speed""]","","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_speed""]","","","",""
"src-en/data/text_misc.xml.append:42","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_slow""]","","data/text_misc.xml.append$/FTL/text[@name=""temporal_button_slow""]","","","",""
"src-en/data/text_misc.xml.append:50","data/text_misc.xml.append$/FTL/text[@name=""fire_chance""]","화재 발생 확률: \1%","data/text_misc.xml.append$/FTL/text[@name=""fire_chance""]","","","",""
