"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/blue/blueprints.xml.append:18","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/title","ERROR","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/title","","","",""
"src-en/data/blue/blueprints.xml.append:21","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/desc","You should never see this.","data/blueprints.xml.append$/FTL/FTL[1]/weaponBlueprint/desc","","","",""
"src-en/data/blue/blueprints.xml.append:57","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""PLAYER_SHIP_TUTORIAL""]/class","Kestral","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""PLAYER_SHIP_TUTORIAL""]/class","","","",""
"src-en/data/blue/blueprints.xml.append:94","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""DEFAULT""]/class","THIS IS A BUG. REPORT IT ALONG WITH THE EVENT AND SECTOR.","data/blueprints.xml.append$/FTL/FTL[1]/shipBlueprint[@name=""DEFAULT""]/class","","","",""
"src-en/data/blue/blueprints.xml.append:119","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/desc","???","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/desc","","","",""
"src-en/data/blue/blueprints.xml.append:121","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/title","Errorman","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/title","","","",""
"src-en/data/blue/blueprints.xml.append:125","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[1]","Skills improve slightly faster","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[1]","","","",""
"src-en/data/blue/blueprints.xml.append:126","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[2]","Resilience and determination makes them take less damage from the environment","data/blueprints.xml.append$/FTL/FTL[1]/crewBlueprint/powerList/power[2]","","","",""
"src-en/data/blue/blueprints.xml.append:178","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/title","Burst Laser Mark I","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:181","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/desc","This simple burst laser isn't flashy but it gets the job done.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_2_A""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:216","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_3""]/title","Burst Laser Mark II","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_3""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:219","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_3""]/desc","Slightly improved version of the burst laser that fires more shots per charge.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_3""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:254","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_5""]/title","Burst Laser Mark III","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_5""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:257","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_5""]/desc","Powerful burst laser that fires off an impressive barrage.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_BURST_5""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:293","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_1""]/title","Heavy Laser Mark I","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_1""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:296","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_1""]/desc","Heavy lasers can wreak more havoc than their smaller, burst laser counterparts","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_1""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:332","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_2""]/title","Heavy Laser Mark II","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_2""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:335","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_2""]/desc","This heavy laser fires two shots in quick succession, each dealing 2 damage.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""LASER_HEAVY_2""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:372","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_3""]/title","Hermes Missile","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_3""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:374","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_3""]/desc","Standard but powerful missile.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_3""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:412","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BURST""]/title","Pegasus Missile","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BURST""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:414","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BURST""]/desc","Creative missile design allows for two projectiles for the cost of one!","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BURST""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:452","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BREACH""]/title","Breach Missiles","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BREACH""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:454","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BREACH""]/desc","These missiles are designed to cause maximum destruction to ship hull armor.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""MISSILES_BREACH""]/desc","","","",""
"src-en/data/blue/blueprints.xml.append:491","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""BEAM_LONG""]/title","Pike Beam","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""BEAM_LONG""]/title","","","",""
"src-en/data/blue/blueprints.xml.append:493","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""BEAM_LONG""]/desc","Can cut across entire ships, assuming there's no shield to stop it.","data/blueprints.xml.append$/FTL/FTL[2]/weaponBlueprint[@name=""BEAM_LONG""]/desc","","","",""
